DIRECTORIO;SECUENCIA_P;ORDEN;AREA;REGIS;P7250;P7260;P7280;P7280S1;P7290;P7300;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P7424;P7424S1;DSI;OFICIO1;OFICIO2;RAMA4D_D;RAMA2D_D;DPTO;fex_c_2011
549810;1;1;05;70;100;48;1; ;1;1;2;100;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;79;79;1810;18;05;745,97542247423
549819;1;2;05;70;8;48;1; ;2;2;2;8;1; ;2;8; ; ; ; ; ; ; ; ; ;1; ;2; ;1;100000;1;45;45;5262;52;05;1215,92260583087
549823;1;2;05;70;52;48;1; ;1;1;2;100;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;39;39;6022;60;05;1086,67819788838
549844;1;2;05;70;48;48;1; ;1;1;2;260;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;45;44;6512;65;05;1025,35373828169
549859;1;4;05;70;2;48;1; ;1;1;2;2;1; ;6;4; ; ; ; ; ; ; ; ; ;1; ;1;433700;1;1301100;1;97;77;1581;15;05;859,09537028339
549863;1;5;05;70;4;48;1; ;1;1;2;4;1; ;8;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1500000;1;32;00;8050;80;05;1132,57080878364
549877;1;3;05;70;52;48;1; ;2;2;2;40;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1901000;1;13;53;5521;55;05;459,629982697197
549889;1;3;05;70;4;48;1; ;1;1;2;5;1; ;9;8; ; ; ; ; ; ; ; ; ;1; ;2; ;1;270000;1;45;44;6340;63;05;1645,91368509147
549901;1;6;05;70;24;48;4; ;1;1;2;96;4; ;2;1; ; ;1; ; ; ; ; ; ; ; ;2; ;2; ;1;95;95;4521;45;05;852,074552882903
549902;1;2;05;70;60;48;4; ;1;1;2;65;1; ;4;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;98;37;7421;74;05;814,465850764416
549904;1;6;05;70;24;48;1; ;1;1;2;96;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;45;39;2424;24;05;1000,3911029232
549908;1;2;05;70;1;48;1; ;2;2;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;34; ; ; ;05;735,364928075448
549918;1;4;05;70;45;48;1; ;1;1;2;96;1; ;6;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;39;39;5030;50;05;1043,86095422007
549934;1;1;05;70;50;48;4; ;1;1;2;60;1; ;3;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1000000;1;54;53;5530;55;05;784,580389802751
