DIRECTORIO;SECUENCIA_P;ORDEN;REGIS;P6016;P6020;P6030;P6030S1;P6030S3;P6040;P6050;P6060;P6060S1;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6180;P6180S1;P6180S2;P6190;P6190S1;P6200;P6200S1;P6210;P6210S1;P6220;P6177S1;CLASE;DPTO;fex_c_2011
557603;1;1;10;1;1;1;8;1940;67;1;2; ;2;1; ; ;3; ; ;2;2;2; ; ; ; ; ; ; ; ;1;0; ; ;2;20;1411,95697142241
557603;1;2;10;2;2;1;5;1952;55;2;2; ;2;1; ; ;3; ; ;2;2;2; ; ; ; ; ; ; ; ;1;0; ; ;2;20;1411,95697142241
557603;1;3;10;3;2;1;5;1984;23;3;2; ;5;1; ; ;3; ; ;2;1;2; ; ; ; ;2; ;2; ;3;4; ; ;2;20;1411,95697142241
557605;1;1;10;1;1;1;9;1963;44;1;2; ;2;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;3;1; ; ;2;20;1334,22087309491
557605;1;2;10;2;1;1;8;1971;36;2;2; ;2;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;3;5; ; ;2;20;1334,22087309491
557605;1;3;10;2;1;1;12;2001;6;3;2; ; ;1; ; ;3; ; ;2;1;1;1;2; ; ;2; ;2; ;3;1; ; ;2;20;1334,22087309491
557605;1;4;10;2;2;1;12;2004;3;3;2; ; ;1; ; ;3; ; ;2;2;2; ; ; ; ;2; ;2; ;1;0; ; ;2;20;1334,22087309491
557606;1;1;10;1;1;1;1;1987;20;1;2; ;1;2;2; ; ; ; ; ;1;2; ; ; ; ;2; ;2; ;3;3; ; ;2;20;1841,36634084276
557606;1;2;10;2;2;1;12;1992;15;2;2; ;1;2;2; ; ; ; ; ;1;2; ; ; ; ;2; ;2; ;4;7; ; ;2;20;1841,36634084276
557607;1;1;10;1;1;1;3;1947;60;1;2; ;2;1; ; ;3; ; ;2;2;2; ; ; ; ; ; ; ; ;1;0; ; ;2;20;1958,6805241409
557607;1;2;10;2;2;1;4;1947;60;2;2; ;2;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;3;5; ; ;2;20;1958,6805241409
