Directorio;Area;Secuencia_p;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090s1;P5100;P5110;P5130;P5140;P5210s1;P5210s2;P5210s3;P5210s4;P5210s5;P5210s6;P5210s7;P5210s8;P5210s9;P5210s10;P5210s11;P5210s14;P5210s15;P5210s16;P5210s17;P5210s18;P5210s19;P5210s20;P5210s21;P5210s22;P5210s24;Hogar;P4000;P4010;P4020;P4030s1;P4030s2;P4030s3;P4030s4;P4030s5;P4030s1a1;P4030s4a1;P4040;Regis;Dpto;Orden;Fex_c_2011
345127;05;2;1;1;1;1;1;1;1;1;3; ; ; ; ;150000;1;1;2;2;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;4;2;1;01;05;1;1056,23978313122
345128;05;2;2;1;1;1;1;1;1;1;3; ; ; ; ;150000;1;2;2;2;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;1;835,440372650066
345129;05;2;5;2;1;1;1;1;1;1;1; ; ;80000000;400000; ;1;1;2;1;1;1;1;1;1;1;1;1;2;2;2;2;1;1;2;1;2;1;1;1;4;1;2;1;1;1;3;2;1;01;05;1;874,783043653897
345130;05;2;4;1;1;1;1;1;6; ;2; ;400000;20000000;200000; ;1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;4;1;1;1;1;1;3;2;1;01;05;1;1056,23978313122
345132;05;2;6;3;1;1;1;1;1;4;1; ; ;65000000;500000; ;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;2;1;2;2;2;2;1;2;1;4;1;2;1;1;1;4;2;1;01;05;1;779,597281010408
345133;05;2;5;2;1;1;1;1;1;1;1; ; ;50000000;300000; ;1;2;2;1;1;1;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;4;2;1;01;05;1;874,783043653897
345134;05;2;3;2;1;1;1;1;1;4;3; ; ; ; ;280000;1;1;2;1;1;1;2;2;2;2;1;1;1;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;1;862,425372934865
345135;05;2;3;1;1;1;1;1;1;4;3; ; ; ; ;334000;1;2;2;1;1;1;2;2;2;1;1;2;1;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;4;2;1;01;05;1;1067,749551457
345135;05;3;1;1;1;1;1;1;6; ;3; ; ; ; ;150000;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;01;05;1;1067,749551457
345136;05;2;5;3;1;1;1;1;1;4;3; ; ; ; ;220000;1;1;2;1;1;1;2;2;2;2;1;1;1;2;2;2;2;1;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;1;1014,46952380824
345137;05;2;6;3;1;1;1;1;1;4;3; ; ; ; ;150000;1;2;2;1;1;1;1;2;2;2;1;2;1;2;2;2;1;1;2;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;05;1;1089,71010099716
345138;05;2;2;1;1;1;1;1;1;4;3; ; ; ; ;80000;1;1;2;2;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;2;1;2;1;1;1;2;2;1;01;05;1;1119,32081347008
345139;05;2;4;2;1;1;1;1;1;4;1; ; ;20000000;180000; ;1;2;2;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;2;2;1;01;05;1;857,876762464818
345140;05;2;3;2;1;1;1;1;1;4;3; ; ; ; ;260000;1;2;2;2;1;2;2;2;2;2;1;1;2;1;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;4;2;1;01;05;1;691,863557430718
345141;05;2;3;2;1;1;1;1;1;1;3; ; ; ; ;300000;1;1;2;2;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;4;2;1;01;05;1;998,376184664086
345142;05;2;3;1;1;1;1;1;1;1;1; ; ;60000000;400000; ;1;1;2;1;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;4;2;1;01;05;1;1056,23978313122
345143;05;2;3;1;1;1;1;1;1;4;3; ; ; ; ;220000;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;1;835,440372650066
345144;05;2;3;1;1;1;1;1;1;4;3; ; ; ; ;250000;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;1;809,485709888959
345145;05;2;3;2;1;1;1;1;1;3;4; ; ; ;300000; ;1;1;2;1;1;1;2;2;2;2;1;1;1;2;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;3;2;1;01;05;1;668,929495169099
345146;05;2;4;3;1;1;1;1;1;3;3; ; ; ; ;250000;1;1;2;1;1;1;2;2;2;2;1;1;1;2;2;2;2;1;2;2;2;1;2;1;4;1;1;1;1;1;3;2;1;01;05;1;1051,79168798459
345147;05;2;4;3;1;1;1;1;1;4;3; ; ; ; ;200000;1;1;2;1;1;1;1;2;1;2;1;1;1;2;2;2;2;1;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;1;1059,08641920438
345148;05;2;3;2;1;1;1;1;1;3;3; ; ; ; ;200000;1;2;2;1;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;3;2;1;01;05;1;869,72010415466
345149;05;2;4;1;1;1;1;1;1;1;1; ; ;25000000;150000; ;1;2;2;2;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;1;1;4;1;2;1;1;1;2;2;1;01;05;1;848,828380892789
345150;05;2;3;2;1;1;1;1;1;4;3; ; ; ; ;160000;1;2;2;2;1;2;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;05;1;733,769292425438
345154;05;2;4;2;1;1;1;1;1;4;2; ;109000;70000000;280000; ;1;1;2;1;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;1;862,901213209461
345155;05;2;4;2;1;1;1;1;1;1;2; ;160000;40000000;250000; ;1;1;2;2;1;1;1;2;1;2;1;1;1;1;2;2;2;2;2;1;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;1;961,054020487734
345156;05;2;6;5;1;1;1;1;1;4;1; ; ;100000000;400000; ;1;2;2;2;1;1;1;2;2;1;1;1;1;1;2;2;2;1;2;2;2;1;1;1;4;1;2;1;1;1;4;2;1;01;05;1;687,89130255868
345157;05;2;2;1;1;1;1;1;6; ;3; ; ; ; ;170000;1;1;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;1;2;2;1;2;1;4;1;2;1;1;1;3;1;1;01;05;1;1056,23978313122
345158;05;2;4;3;1;1;1;1;3;1;3; ; ; ; ;220000;1;1;2;1;2;1;2;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;1;2;1;2;1;1;1;3;2;1;01;05;1;831,468117778028
345159;05;2;5;2;1;1;1;1;1;1;1; ; ;70000000;600000; ;1;1;2;1;1;1;1;2;1;1;1;2;2;2;2;2;2;2;2;2;2;1;1;1;4;1;2;1;1;1;4;2;1;01;05;1;964,572293434089
345160;05;2;4;3;1;1;1;1;1;4;3; ; ; ; ;220000;1;1;1;1;1;1;2;2;2;1;1;1;1;1;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;1;885,337603024213
345161;05;2;3;2;1;1;1;1;1;1;3; ; ; ; ;140000;1;2;2;1;1;1;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;05;1;934,062228964132
345162;05;2;6;2;1;1;1;1;2;3;3; ; ; ; ;340000;1;1;2;1;1;1;1;1;2;1;1;1;1;1;2;2;2;1;2;1;2;1;2;1;4;1;1;1;1;1;3;2;1;01;05;1;998,852024938683
345163;05;2;1;1;1;1;1;1;2;4;1; ; ;55000000;300000; ;1;2;2;2;1;2;1;2;2;2;1;2;2;2;2;2;1;2;2;1;1;1;2;1;4;1;2;1;1;1;3;2;1;01;05;1;966,45053335103
345164;05;2;4;3;1;1;1;1;1;1;2; ;550000;65000000;450000; ;1;1;2;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;2;1;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;1;742,240156485734
345169;05;2;3;2;1;1;1;1;1;4;3; ; ; ; ;300000;1;1;2;1;1;1;2;2;1;1;1;1;2;2;2;2;2;2;2;1;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;1;998,852024938683
345170;05;2;2;2;1;2;1;1;1;4;3; ; ; ; ;100000;1;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;2;1;2;1;2;1;1;1;1;2;1;01;05;1;998,852024938683
345171;05;2;2;2;1;2;1;1;1;4;3; ; ; ; ;100000;1;2;2;2;1;1;1;2;2;1;1;2;2;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;1;2;1;01;05;1;960,578180213138
345172;05;2;4;2;1;1;1;1;1;1;1; ; ;15000000;150000; ;1;1;2;1;1;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;05;1;1089,71010099716
345173;05;2;4;3;1;1;1;1;1;3;1; ; ;40000000;250000; ;1;1;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;2;2;1;01;05;1;926,320307057457
345174;05;2;3;2;1;1;1;1;1;3;3; ; ; ; ;200000;1;2;2;1;1;1;1;1;2;1;1;2;2;1;2;2;2;1;2;2;2;1;2;1;4;1;1;1;1;1;3;2;1;01;05;1;733,769292425438
345177;05;2;3;2;1;1;1;1;1;1;3; ; ; ; ;180000;1;1;2;1;1;1;1;2;2;2;1;2;1;1;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;1;909,06277515849
345179;05;2;4;3;1;1;1;1;1;1;1; ; ;50000000;300000; ;1;1;2;2;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;1;945,571997289914
345180;05;2;5;2;1;1;1;1;1;3;1; ; ;120000000;380000; ;1;1;2;1;1;1;1;2;1;2;1;1;2;1;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;3;2;1;01;05;1;1003,91496443792
345181;05;2;5;4;1;1;1;1;1;3;3; ; ; ; ;450000;1;1;1;1;1;1;1;2;2;2;1;1;1;1;2;2;2;2;1;2;2;1;2;1;4;1;1;1;1;1;3;2;1;01;05;1;1052,26752825918
345182;05;2;4;3;1;1;1;1;1;1;3; ; ; ; ;200000;1;2;2;1;1;1;1;1;1;2;1;2;1;1;2;2;2;2;1;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;1;983,490410302486
345183;05;2;3;1;1;1;1;1;6; ;4; ; ; ;70000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;1;2;1;1;1;1;2;1;01;05;1;966,45053335103
345185;05;2;4;3;1;1;1;1;1;1;1; ; ;30000000;150000; ;1;1;2;1;1;1;1;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;2;1;4;1;2;1;1;1;1;2;1;01;05;1;1020,95484138938
345186;05;2;4;2;1;1;1;1;1;3;3; ; ; ; ;150000;1;1;2;1;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;2;2;1;01;05;1;1067,27371118241
345187;05;2;4;2;1;1;1;1;1;3;1; ; ;25000000;250000; ;1;1;2;1;1;1;1;2;2;1;1;2;1;2;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;2;2;1;01;05;1;1003,91496443792
345188;05;2;4;3;1;1;1;1;1;3;1; ; ;22000000;120000; ;1;2;2;2;1;1;1;1;2;2;1;2;1;2;2;2;2;2;2;2;2;1;1;1;4;1;1;1;1;1;2;2;1;01;05;1;753,642618249301
345189;05;2;3;1;1;1;1;1;1;1;3; ; ; ; ;180000;1;1;2;2;1;1;1;1;2;2;1;1;2;2;2;2;2;1;2;2;2;1;2;3;2;1;2;1;1;1;3;2;1;01;05;1;998,376184664086
345190;05;2;4;2;1;1;1;1;1;3;1; ; ;60000000;300000; ;1;1;2;2;1;1;1;1;1;1;1;1;1;2;2;2;1;2;2;1;2;1;2;3;4;1;1;1;1;1;3;2;1;01;05;1;799,066626190376
345191;05;2;4;3;1;1;1;1;1;3;3; ; ; ; ;285000;1;1;2;1;1;1;1;2;1;2;1;1;1;2;2;2;2;2;2;2;2;1;2;3;4;1;1;1;1;1;3;2;1;01;05;1;711,468378282419
345192;05;2;4;1;1;1;1;1;1;3;3; ; ; ; ;330000;1;1;2;1;1;1;1;1;2;1;1;2;2;2;2;2;1;2;2;1;2;1;2;3;4;1;1;1;1;1;3;2;1;01;05;1;874,783043653897
345193;05;2;4;3;1;1;1;1;1;4;1; ; ;90000000;350000; ;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;1;2;1;2;3;4;1;2;1;1;1;3;2;1;01;05;1;846,950140975848
345194;05;2;6;5;1;1;1;1;1;4;1; ; ;100000000;500000; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;2;2;2;1;2;3;4;1;2;1;1;1;3;2;1;01;05;1;832,057575375444
345195;05;2;3;2;1;1;1;1;1;4;1; ; ;30000000;200000; ;1;2;2;1;1;1;1;1;1;1;1;1;2;1;2;2;2;2;2;2;2;1;2;3;4;1;2;1;1;1;3;2;1;01;05;1;945,571997289914
345196;05;2;3;2;1;1;1;1;1;1;1; ; ;30000000;160000; ;1;1;1;1;1;1;1;1;2;2;1;2;2;1;2;2;1;2;2;2;2;1;2;3;4;1;2;1;1;1;1;2;1;01;05;1;862,425372934865
345197;05;2;3;1;1;1;1;1;6; ;4; ; ; ;160000; ;1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;3;4;1;2;1;1;1;2;2;1;01;05;1;966,45053335103
345198;05;2;5;2;1;1;1;1;1;4;3; ; ; ; ;155000;1;1;1;1;1;1;1;1;1;2;1;2;1;1;2;2;2;2;2;2;2;1;2;3;4;1;2;1;1;1;2;2;1;01;05;1;998,852024938683
345199;05;2;3;2;1;1;1;1;1;3;1; ; ;40000000;280000; ;1;1;2;1;1;1;1;1;2;1;1;1;1;2;2;2;1;2;1;1;2;1;2;3;4;1;1;1;1;1;3;2;1;01;05;1;964,572293434089
345200;05;2;1;1;1;1;1;1;2;1;3; ; ; ; ;165000;1;2;2;2;1;1;1;2;2;2;1;1;1;2;2;2;1;1;2;2;2;1;2;1;2;1;2;1;1;1;3;2;1;01;05;1;938,617630672982
345201;05;2;4;2;1;1;1;1;1;1;3; ; ; ; ;220000;1;1;2;2;1;1;1;2;2;1;1;1;2;2;2;2;2;2;2;2;2;1;2;3;4;1;2;1;1;1;3;2;1;01;05;1;1005,79320435486
345202;05;2;4;1;1;1;1;1;1;4;1; ; ;80000000;300000; ;1;1;2;2;1;1;1;1;2;2;1;1;2;2;2;2;2;2;2;2;2;1;2;3;4;1;2;1;1;1;3;2;1;01;05;1;835,440372650066
345204;05;2;3;2;1;1;1;1;1;1;3; ; ; ; ;220000;1;1;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;2;2;2;2;1;2;3;4;1;2;1;1;1;3;2;1;01;05;1;616,147139967197
345205;05;2;4;2;1;1;1;1;1;1;4; ; ; ;220000; ;1;1;1;1;1;1;1;1;2;1;1;1;1;1;2;2;2;2;2;2;2;1;2;3;4;1;2;1;1;1;3;2;1;01;05;1;831,922099703711
345206;05;2;4;2;1;1;1;1;1;1;3; ; ; ; ;270000;1;1;2;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;1;1;2;1;2;3;4;1;2;1;1;1;3;2;1;01;05;1;1127,50810544811
345207;05;2;3;1;1;1;1;1;1;1;1; ; ;50000000;150000; ;1;2;2;1;1;1;1;2;2;1;1;2;2;2;2;2;2;2;2;2;2;1;2;3;4;1;2;1;1;1;2;2;1;01;05;1;835,440372650066
345208;05;2;1;1;1;1;1;1;2;4;3; ; ; ; ;70000;2;2;2;2;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;3;4;1;2;1;1;1;1;2;1;01;05;1;1067,27371118241
345209;05;2;3;1;1;1;1;1;1;4;1; ; ;20000000;150000; ;1;2;2;2;1;1;1;2;2;2;1;2;1;2;2;2;1;2;2;2;2;1;2;3;2;1;2;1;1;1;2;2;1;01;05;1;874,783043653897
345210;05;2;4;1;1;1;1;1;1;1;3; ; ; ; ;180000;1;1;2;2;1;1;1;1;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;05;1;966,45053335103
345211;05;2;4;1;1;1;1;1;1;3;1; ; ;20000000;150000; ;1;1;2;1;1;1;1;1;2;2;1;2;1;2;2;2;1;2;2;2;2;1;2;3;4;1;1;1;1;1;2;2;1;01;05;1;835,440372650066
345212;05;2;4;3;1;1;1;1;1;1;1; ; ;25000000;150000; ;1;1;1;1;1;1;1;1;1;2;1;2;1;1;2;2;2;1;2;1;2;1;2;3;4;1;2;1;1;1;2;2;1;01;05;1;991,557293718887
345214;05;2;8;2;1;1;1;1;1;4;1; ; ;400000000;800000; ;1;1;2;1;1;1;1;1;1;1;1;2;1;2;2;2;1;2;2;2;2;1;2;1;4;1;2;1;1;1;4;2;1;01;05;1;874,783043653897
345215;05;2;7;5;1;1;1;1;1;4;3; ; ; ; ;600000;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;1;1;2;1;2;1;4;1;2;1;1;1;4;2;1;01;05;1;983,991637332269
345216;05;2;10;3;1;1;1;1;1;1;1; ; ;250000000;900000; ;1;2;2;1;1;1;1;1;2;1;1;1;1;2;2;2;1;1;2;1;2;1;1;1;4;1;2;1;1;1;4;2;1;01;05;1;665,493401498522
345217;05;2;6;3;1;1;1;1;1;3;2; ;2500000;98;4000000; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;2;1;2;1;2;1;5;1;1;1;1;1;6;2;1;01;05;1;2714,42084461254
345218;05;2;5;3;1;1;1;1;1;1;1; ; ;150000000;700000; ;1;2;2;1;1;1;1;1;1;2;1;1;1;1;2;2;2;2;2;1;2;1;1;1;4;1;2;1;1;1;4;2;1;01;05;1;1065,41950469841
