Directorio;Area;Secuencia_p;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090s1;P5100;P5110;P5130;P5140;P5210s1;P5210s2;P5210s3;P5210s4;P5210s5;P5210s6;P5210s7;P5210s8;P5210s9;P5210s10;P5210s11;P5210s14;P5210s15;P5210s16;P5210s17;P5210s18;P5210s19;P5210s20;P5210s21;P5210s22;P5210s24;Hogar;P4000;P4010;P4020;P4030s1;P4030s2;P4030s3;P4030s4;P4030s5;P4030s1a1;P4030s4a1;P4040;Regis;Dpto;Orden;Fex_c_2011
323350;08;2;4;3;1;1;1;1;1;3;1; ; ;40000000;300000; ;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1;1;4;1;1;1;1;1;3;3;1;01;08;1;600,288344941844
323353;08;2;4;3;1;1;1;1;1;3;1; ; ;40000000;360000; ;1;2;2;1;1;1;1;2;2;2;1;1;1;2;2;2;1;2;2;2;2;1;1;1;4;1;1;1;1;1;3;3;1;01;08;1;588,839293917519
323354;08;2;4;3;1;1;1;1;1;3;1; ; ;60000000;360000; ;1;1;2;1;1;1;1;1;2;2;1;1;1;2;2;2;1;2;2;2;2;1;1;1;4;1;1;1;1;1;3;3;1;01;08;1;429,949911866691
323355;08;2;4;3;1;1;1;1;1;3;3; ; ; ; ;360000;1;1;2;1;1;1;1;1;2;2;1;1;1;1;2;2;1;1;2;2;2;1;1;1;4;1;1;1;1;1;3;3;1;01;08;1;587,326251723511
323356;08;2;7;6;1;1;1;1;1;3;1; ; ;99;99; ;1;2;2;1;1;1;1;2;2;2;1;1;1;2;2;2;1;2;2;2;2;1;1;1;4;1;1;1;1;1;2;3;1;01;08;1;299,269308618218
323357;08;2;4;3;1;1;1;1;1;3;1; ; ;30000000;250000; ;1;1;2;1;1;1;1;2;2;2;1;1;1;2;2;2;1;2;2;2;2;1;1;1;4;1;1;1;1;1;2;3;1;01;08;1;429,303837282491
323358;08;2;3;2;1;1;1;1;1;3;1; ; ;99;99; ;1;1;2;2;1;1;1;2;2;2;1;1;1;1;2;2;1;1;2;2;2;1;1;1;4;1;1;1;1;1;2;3;1;01;08;1;555,992090436928
323360;08;2;4;3;1;1;1;1;1;3;1; ; ;80000000;450000; ;1;1;2;1;1;1;1;2;2;2;1;2;2;1;2;2;1;2;2;2;2;1;2;1;4;1;1;1;1;1;4;3;1;01;08;1;391,962744409906
323361;08;2;3;2;1;1;1;1;1;3;1; ; ;12000000;150000; ;2;2;2;2;1;1;1;2;2;2;1;1;1;2;2;2;1;2;2;2;2;1;1;1;4;1;1;1;1;1;2;3;1;01;08;1;433,500763737866
323362;08;2;4;3;1;1;1;1;1;3;1; ; ;80000000;450000; ;1;2;2;1;1;1;1;2;2;2;1;2;1;2;2;2;1;2;2;2;2;1;2;1;4;1;1;1;1;1;4;3;1;01;08;1;483,566572131919
323363;08;2;4;3;1;1;1;1;1;3;1; ; ;20000000;200000; ;2;2;2;2;1;1;1;2;2;2;1;2;1;2;2;2;1;2;2;2;2;1;1;1;4;1;1;1;1;1;2;3;1;01;08;1;559,490327877292
