DIRECTORIO;SECUENCIA_P;ORDEN;REGIS;P7250;P7260;P7280;P7280S1;P7290;P7300;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P7424;P7424S1;CLASE;OFICIO1;OFICIO2;RAMA4D_D;RAMA2D_D;DSI;DPTO;AREA;fex_c_2011
525534;1;3;70;4;48;1; ;2;2;2;4;1; ;7;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;5000000;1;45;97;5235;52;1;05;05;787,013614258161
525583;1;1;70;2;48;1; ;2;2;2;2;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;280000;1;1200000;1;87;87;2811;28;1;05;05;777,988004344512
525583;1;3;70;52;48;2; ;2;2;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;58; ; ; ;1;05;05;777,988004344512
525599;1;2;70;99;48;1; ;1;1;2;36;3; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;00;54;9500;95;1;05;05;677,667618969034
525608;1;2;70;2;48;1; ;2;2;2;2;1; ;3;4; ; ; ; ; ; ; ; ; ;1; ;1;600000;1;3600000;1;08;08;7499;74;1;05;05;887,335612926466
525622;1;2;70;32;48;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;45; ; ; ;1;05;05;719,736565514589
525627;1;1;70;8;48;1; ;2;1;2;12;1; ;9;3; ; ; ; ;1; ; ; ; ; ; ;2; ;1;9000000;1;39;39;5169;51;1;05;05;808,761797227425
525630;1;1;70;2;48;1; ;2;2;2;2;1; ;4;8; ; ; ; ; ; ; ; ; ;1; ;2; ;1;4770700;1;90;90;2529;25;1;05;05;1666,77160998492
525634;1;2;70;1;48;1; ;1;1;2;12;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;55;79;1810;18;1;05;05;787,013614258161
525635;1;3;70;2;48;1; ;1;1;2;48;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;45;45;5211;52;1;05;05;1470,45201729704
525635;1;4;70;4;48;1; ;1;1;2;48;1; ;6;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;45;79;1810;18;1;05;05;1470,45201729704
525649;1;3;70;2;48;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;93; ; ; ;1;05;05;636,038960350147
525667;1;1;70;24;50;1; ;1;1;2;24;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;800000;1;84;80;1921;19;1;05;05;821,222778253618
