DIRECTORIO;SECUENCIA_P;ORDEN;AREA;REGIS;P6016;P6020;P6030;P6030S1;P6030S3;P6050;P6060;P6060S1;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6180;P6180S1;P6180S2;P6190;P6190S1;P6200;P6200S1;P6210;P6210S1;P6220;P6177S1;P6040;DPTO;fex_c_2011
502651;1;1;05;10;1;1;1;5;1968;1;2; ;2;1; ; ;1;1;17300;2;1;2; ; ; ; ; ; ; ; ;5;11;2; ;39;05;874,134463318699
502651;1;2;05;10;2;2;1;3;1961;2;2; ;2;1; ; ;1;1;44800;2;1;2; ; ; ; ; ; ; ; ;6;3;3; ;46;05;874,134463318699
502651;1;3;05;10;3;1;1;1;1984;3;2; ;5;1; ; ;1;1;17300;2;1;2; ; ; ; ;2; ;2; ;5;11;2; ;23;05;874,134463318699
502651;1;4;05;10;1;2;1;7;1996;3;2; ;5;1; ; ;1;5; ;2;1;1;2;2; ; ;2; ;2; ;3;4; ; ;11;05;874,134463318699
502652;1;1;05;10;1;2;1;9;1964;1;2; ;3;1; ; ;1;1;25000;2;1;2; ; ; ; ; ; ; ; ;5;10;1; ;43;05;595,977295415678
502652;1;2;05;10;2;2;1;9;1988;3;2; ;5;1; ; ;1;5; ;2;1;1;1;2; ; ;2; ;2; ;5;10;1; ;19;05;595,977295415678
502654;1;1;05;10;1;1;1;5;1976;1;2; ;6;1; ; ;1;1;17300;2;1;2; ; ; ; ;2; ;2; ;5;11;2; ;31;05;767,237690304403
502654;1;2;05;10;2;2;1;10;1986;2;2; ;6;1; ; ;1;1;17300;2;1;2; ; ; ; ;2; ;2; ;5;11;2; ;20;05;767,237690304403
502655;1;1;05;10;1;2;1;6;1957;1;2; ;6;1; ; ;1;1;17300;2;1;2; ; ; ; ; ; ; ; ;4;8; ; ;50;05;879,873223733001
502655;1;2;05;10;2;1;1;6;1966;2;2; ;6;1; ; ;1;1;17350;2;1;2; ; ; ; ; ; ; ; ;4;6; ; ;41;05;879,873223733001
502655;1;3;05;10;1;1;1;2;1990;3;2; ;5;1; ; ;1;5; ;2;1;1;1;2; ; ;2; ;2; ;5;10;1; ;17;05;879,873223733001
502655;1;4;05;10;4;1;1;11;1980;5;2; ;2;1; ; ;3; ; ;2;1;2; ; ; ; ;2; ;2; ;5;11;2; ;26;05;879,873223733001
502655;1;5;05;10;5;2;1;9;1984;9;2; ;2;1; ; ;3; ; ;2;1;2; ; ; ; ;2; ;2; ;4;7; ; ;23;05;879,873223733001
502655;1;6;05;10;5;2;1;1;2005;5;2; ; ;1; ; ;3; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;05;879,873223733001
502656;1;1;05;10;1;1;1;6;1958;1;2; ;2;1; ; ;1;1;28600;2;1;2; ; ; ; ; ; ; ; ;3;5; ; ;49;05;817,802041060034
502656;1;2;05;10;2;2;1;12;1961;2;2; ;2;1; ; ;1;5; ;2;1;2; ; ; ; ; ; ; ; ;4;7; ; ;45;05;817,802041060034
502657;1;1;05;10;1;1;1;2;1942;1;2; ;2;1; ; ;2;2;40000;2;1;2; ; ; ; ; ; ; ; ;4;7; ; ;65;05;893,201693213056
502657;1;2;05;10;2;2;1;10;1955;2;2; ;2;1; ; ;1;5; ;2;1;2; ; ; ; ; ; ; ; ;5;11;2; ;52;05;893,201693213056
502658;1;1;05;10;1;2;1;12;1932;1;2; ;4;1; ; ;1;2;54300;2;1;2; ; ; ; ; ; ; ; ;3;5; ; ;74;05;593,274899026225
502658;1;2;05;10;2;2;1;7;1958;3;2; ;5;1; ; ;1;3;54300;2;1;2; ; ; ; ; ; ; ; ;4;7; ; ;49;05;593,274899026225
502659;1;1;05;10;1;1;1;1;1976;1;2; ;2;1; ; ;1;3;54300;2;1;2; ; ; ; ;2; ;2; ;6;2;2; ;31;05;740,664503548555
502659;1;2;05;10;2;2;1;11;1978;2;2; ;2;1; ; ;1;5; ;2;1;2; ; ; ; ;2; ;2; ;6;1;2; ;28;05;740,664503548555
502659;1;3;05;10;2;1;1;3;2002;3;2; ; ;1; ; ;1;5; ;2;1;1;2;2; ; ;2; ;2; ;2;0; ; ;5;05;740,664503548555
502660;1;1;05;10;1;1;1;4;1976;1;2; ;1;1; ; ;1;3;54300;2;1;2; ; ; ; ;2; ;2; ;5;11;2; ;31;05;825,660582990402
502660;1;2;05;10;2;2;1;5;1976;2;2; ;1;1; ; ;1;1;18000;2;1;2; ; ; ; ;2; ;2; ;6;3;3; ;31;05;825,660582990402
502661;1;1;05;10;1;1;1;1;1952;1;2; ;2;1; ; ;1;1;17300;2;1;2; ; ; ; ; ; ; ; ;3;3; ; ;55;05;927,763072858798
502661;1;2;05;10;2;2;1;10;1958;2;2; ;2;1; ; ;1;5; ;2;1;2; ; ; ; ; ; ; ; ;3;3; ; ;48;05;927,763072858798
502661;1;3;05;10;3;1;1;12;1980;3;2; ;2;1; ; ;1;1;17300;2;1;2; ; ; ; ;2; ;2; ;4;6; ; ;26;05;927,763072858798
502661;1;4;05;10;4;2;1;10;1977;9;2; ;2;1; ; ;3; ; ;2;1;2; ; ; ; ;2; ;2; ;3;5; ; ;30;05;927,763072858798
502661;1;5;05;10;2;1;1;10;1996;4;2; ;5;1; ; ;3; ; ;2;1;1;1;2; ; ;2; ;2; ;4;0; ; ;11;05;927,763072858798
502662;1;1;05;10;1;1;1;9;1968;1;2; ;6;1; ; ;2;1;55000;2;1;2; ; ; ; ; ; ; ; ;6;5;4; ;39;05;953,498261458129
502662;1;2;05;10;2;2;1;7;1969;2;2; ;6;1; ; ;1;1;21000;2;1;2; ; ; ; ; ; ; ; ;6;2;3; ;38;05;953,498261458129
502662;1;3;05;10;2;2;1;12;1996;3;2; ;5;1; ; ;1;5; ;2;1;1;1;2; ; ;2; ;2; ;3;4; ; ;10;05;953,498261458129
502662;1;4;05;10;2;2;1;3;2007;3;2; ; ;1; ; ;1;5; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;05;953,498261458129
502663;1;1;05;10;1;1;1;4;1957;1;2; ;6;1; ; ;1;1;33000;2;1;2; ; ; ; ; ; ; ; ;3;5; ; ;50;05;669,898951554349
502663;1;2;05;10;2;2;1;5;1962;2;2; ;6;1; ; ;1;5; ;2;1;2; ; ; ; ; ; ; ; ;4;7; ; ;45;05;669,898951554349
502663;1;3;05;10;3;1;1;1;1985;3;2; ;5;2;1;24; ; ; ; ;1;1;1;2; ; ;2; ;2; ;6;4;2; ;22;05;669,898951554349
502663;1;4;05;10;2;1;1;12;1990;3;2; ;5;1; ; ;1;5; ;2;1;1;2;2; ; ;2; ;2; ;5;10;1; ;16;05;669,898951554349
502664;1;1;05;10;2;1;1;12;1966;1;2; ;6;1; ; ;1;1;17300;2;1;2; ; ; ; ; ; ; ; ;5;11;2; ;40;05;640,61551113361
502664;1;2;05;10;2;2;1;8;1967;2;2; ;6;1; ; ;1;3;54300;2;1;2; ; ; ; ; ; ; ; ;5;11;2; ;40;05;640,61551113361
502664;1;3;05;10;2;2;1;12;1991;3;2; ;5;1; ; ;1;5; ;2;1;1;1;1;200;3500;2; ;2; ;4;9; ; ;15;05;640,61551113361
502664;1;4;05;10;2;1;1;7;2000;3;2; ; ;1; ; ;1;5; ;2;1;1;1;1;200;5000;2; ;2; ;3;0; ; ;7;05;640,61551113361
502665;1;1;05;10;1;2;1;4;1966;1;2; ;2;1; ; ;1;5; ;2;1;2; ; ; ; ; ; ; ; ;5;11;2; ;41;05;805,499425940167
502665;1;2;05;10;2;1;1;4;1963;2;2; ;6;1; ; ;1;3;54300;2;1;2; ; ; ; ; ; ; ; ;4;6; ; ;44;05;805,499425940167
502665;1;3;05;10;3;1;1;7;1987;3;2; ;5;2;1;2; ; ; ; ;1;2; ; ; ; ;2; ;2; ;5;11;2;POR DEDICARSE AL FUTBOL;20;05;805,499425940167
502665;1;4;05;10;1;1;1;1;1996;3;2; ;5;1; ; ;1;5; ;2;2;2; ; ; ; ;2; ;2; ;1;0; ; ;11;05;805,499425940167
502665;1;5;05;10;5;1;1;4;1964;5;2; ;3;1; ; ;1;1;17300;2;1;2; ; ; ; ; ; ; ; ;4;7; ; ;43;05;805,499425940167
502666;1;1;05;10;1;1;1;11;1955;1;2; ;6;1; ; ;1;5; ;2;1;2; ; ; ; ; ; ; ; ;3;5; ; ;51;05;669,898951554349
502666;1;2;05;10;2;2;1;7;1959;2;2; ;6;1; ; ;1;5; ;2;1;2; ; ; ; ; ; ; ; ;5;10;1; ;48;05;669,898951554349
502666;1;3;05;10;3;1;1;12;1982;3;2; ;5;1; ; ;1;1;17300;2;1;2; ; ; ; ;2; ;2; ;6;2;3; ;24;05;669,898951554349
502666;1;4;05;10;2;1;1;11;1992;3;2; ;5;1; ; ;3; ; ;2;1;1;2;2; ; ;2; ;2; ;4;8; ; ;14;05;669,898951554349
502667;1;1;05;10;1;1;1;7;1969;1;2; ;6;1; ; ;1;1;25000;2;1;2; ; ; ; ; ; ; ; ;5;11;2; ;38;05;865,81455260201
502667;1;2;05;10;2;2;1;7;1969;2;2; ;6;1; ; ;1;5; ;2;1;2; ; ; ; ; ; ; ; ;4;8; ; ;38;05;865,81455260201
502667;1;3;05;10;2;1;1;10;1994;3;2; ;5;1; ; ;1;5; ;2;1;1;1;2; ; ;2; ;2; ;4;6; ; ;13;05;865,81455260201
502667;1;4;05;10;2;2;1;1;2007;3;2; ; ;1; ; ;1;5; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;05;865,81455260201
502668;1;1;05;10;1;1;1;1;1960;1;2; ;6;1; ; ;1;1;30000;2;1;2; ; ; ; ; ; ; ; ;3;4; ; ;47;05;714,561114654478
502668;1;2;05;10;2;2;1;9;1969;2;2; ;6;1; ; ;1;5; ;2;1;2; ; ; ; ; ; ; ; ;5;11;2; ;38;05;714,561114654478
502668;1;3;05;10;3;1;1;12;1987;3;2; ;5;1; ; ;1;1;17800;2;1;1;2;2; ; ;2; ;2; ;6;2;2; ;19;05;714,561114654478
502668;1;4;05;10;2;1;1;7;1995;3;2; ;5;1; ; ;1;5; ;2;1;1;1;2; ; ;2; ;2; ;4;0; ; ;12;05;714,561114654478
502669;1;1;05;10;1;1;1;7;1950;1;2; ;6;1; ; ;1;1;39000;2;1;2; ; ; ; ; ; ; ; ;4;6; ; ;57;05;1006,43064862592
502669;1;2;05;10;2;2;1;11;1952;2;2; ;6;1; ; ;1;5; ;2;1;2; ; ; ; ; ; ; ; ;5;11;2; ;54;05;1006,43064862592
502669;1;3;05;10;3;1;1;11;1978;3;2; ;5;1; ; ;1;1;50000;2;1;2; ; ; ; ;2; ;2; ;6;5;4; ;28;05;1006,43064862592
502670;1;1;05;10;1;2;1;5;1939;1;2; ;4;1; ; ;1;5; ;2;2;2; ; ; ; ; ; ; ; ;1;0; ; ;68;05;695,604124125559
502671;1;1;05;10;1;2;1;2;1973;1;2; ;4;1; ; ;3; ; ;1;1;2; ; ; ; ;2; ;2; ;3;5; ; ;34;05;768,899650874651
502671;1;2;05;10;1;1;1;1;1998;3;2; ; ;1; ; ;3; ; ;1;1;1;1;1;320;2000;2; ;2; ;3;3; ; ;9;05;768,899650874651
502671;1;3;05;10;1;2;1;8;2002;3;2; ; ;1; ; ;3; ; ;2;2;2; ; ; ; ;2; ;2; ;1;0; ;NO ESTABA EN EDAD ESCOLAR;5;05;768,899650874651
502672;1;1;05;10;1;1;1;5;1941;1;2; ;4;1; ; ;1;2;54200;2;1;2; ; ; ; ; ; ; ; ;3;5; ; ;66;05;924,994015039673
502672;1;2;05;10;2;2;1;12;1979;3;2; ;5;1; ; ;3; ; ;2;1;2; ; ; ; ;2; ;2; ;6;1;2; ;27;05;924,994015039673
502672;1;3;05;10;2;1;1;9;1997;4;2; ;5;1; ; ;3; ; ;2;1;1;1;2; ; ;2; ;2; ;3;3; ; ;10;05;924,994015039673
502673;1;1;05;10;1;1;1;5;1974;1;2; ;2;1; ; ;3; ; ;1;1;2; ; ; ; ;2; ;2; ;4;9; ; ;33;05;674,228568151868
502673;1;2;05;10;2;2;1;9;1972;2;2; ;2;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;4;8; ; ;35;05;674,228568151868
502673;1;3;05;10;2;1;1;1;1995;3;2; ;5;1; ; ;3; ; ;1;1;1;1;2; ; ;2; ;2; ;4;6; ; ;12;05;674,228568151868
502673;1;4;05;10;2;1;1;1;2001;3;2; ; ;1; ; ;3; ; ;2;1;1;1;1;120;700;2; ;2; ;3;0; ; ;6;05;674,228568151868
502673;1;5;05;10;5;2;1;8;1941;5;2; ;4;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;1;0; ; ;66;05;674,228568151868
502674;1;1;05;10;1;1;1;6;1981;1;2; ;6;1; ; ;1;1;25000;2;1;2; ; ; ; ;2; ;2; ;6;4;3;ESTA HACIENDO UN RECESO;26;05;766,687017596852
502674;1;2;05;10;2;2;1;4;1978;2;2; ;6;1; ; ;1;1;20000;2;1;2; ; ; ; ;2; ;2; ;6;3;3;ESTA DESCANSANDO DE ESTUDIO PARA VOLVER A RETOMAR;29;05;766,687017596852
502675;1;1;05;10;1;1;1;11;1978;1;2; ;6;1; ; ;1;1;32000;2;1;2; ; ; ; ;2; ;2; ;5;10;1; ;28;05;812,68870883137
502675;1;2;05;10;2;2;1;3;1984;2;2; ;6;1; ; ;1;5; ;2;1;2; ; ; ; ;2; ;2; ;5;11;2;POR SU MATERNIDAD;23;05;812,68870883137
502675;1;3;05;10;2;2;1;7;2007;3;2; ; ;1; ; ;1;5; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;05;812,68870883137
502676;1;1;05;10;1;1;1;10;1974;1;2; ;6;1; ; ;3; ; ;2;1;2; ; ; ; ;2; ;2; ;4;7; ; ;33;05;769,612251332617
502676;1;2;05;10;2;2;1;12;1976;2;2; ;6;1; ; ;3; ; ;2;1;2; ; ; ; ;2; ;2; ;5;11;2; ;30;05;769,612251332617
502676;1;3;05;10;2;1;1;1;1997;3;2; ;5;1; ; ;3; ; ;2;1;1;1;2; ; ;2; ;2; ;3;4; ; ;10;05;769,612251332617
502676;1;4;05;10;4;1;1;1;2002;3;2; ; ;1; ; ;3; ; ;1;2;1;1;2; ; ;2; ;2; ;2;0; ; ;5;05;769,612251332617
502677;1;1;05;10;1;2;1;5;1986;1;2; ;6;1; ; ;1;1;25000;2;1;1;2;2; ; ;2; ;2; ;6;2;2; ;21;05;719,283086900732
502677;1;2;05;10;2;1;1;4;1979;2;2; ;6;1; ; ;1;1;24000;2;1;2; ; ; ; ;2; ;2; ;5;11;2; ;28;05;719,283086900732
502678;1;1;05;10;1;1;1;6;1969;1;2; ;6;1; ; ;1;1;26000;2;1;2; ; ; ; ; ; ; ; ;6;3;3; ;38;05;708,731628881298
502678;1;2;05;10;2;2;1;6;1969;2;2; ;6;1; ; ;1;1;20000;2;1;2; ; ; ; ; ; ; ; ;5;11;2; ;38;05;708,731628881298
502678;1;3;05;10;4;1;1;11;1993;3;2; ;5;1; ; ;1;5; ;2;1;1;1;2; ; ;2; ;2; ;4;7; ; ;13;05;708,731628881298
502678;1;4;05;10;4;2;1;3;1947;5;2; ;4;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;3;2; ; ;60;05;708,731628881298
502679;1;1;05;10;1;1;1;3;1953;1;2; ;6;1; ; ;1;1;82000;2;1;2; ; ; ; ; ; ; ; ;3;5; ; ;54;05;759,148916157914
502679;1;2;05;10;2;2;1;12;1947;2;2; ;6;1; ; ;1;5; ;2;1;2; ; ; ; ; ; ; ; ;3;5; ; ;59;05;759,148916157914
502680;1;1;05;10;1;1;1;3;1980;1;2; ;5;1; ; ;1;1;17350;2;1;2; ; ; ; ;2; ;2; ;5;11;2; ;27;05;830,238600815392
502680;1;2;05;10;2;1;1;5;1985;5;2; ;5;1; ; ;3; ; ;2;1;1;2;2; ; ;2; ;2; ;6;0;2; ;22;05;830,238600815392
502681;1;1;05;10;1;2;1;11;1966;1;2; ;5;2;1;4; ; ; ; ;1;2; ; ; ; ; ; ; ; ;5;11;2; ;40;05;811,698606506239
502681;1;2;05;10;1;1;1;11;1994;3;2; ;5;2;1;4; ; ; ; ;1;1;1;2; ; ;2; ;2; ;4;6; ; ;12;05;811,698606506239
502681;1;3;05;10;1;2;1;1;2001;3;2; ; ;2;2; ; ; ; ; ;2;1;1;2; ; ;2; ;2; ;3;0; ; ;6;05;811,698606506239
502681;1;4;05;10;4;1;1;10;1980;5;2; ;5;2;1;24; ; ; ; ;1;2; ; ; ; ;2; ;2; ;5;11;2; ;27;05;811,698606506239
502682;1;1;05;10;2;2;1;12;1935;1;2; ;4;1; ; ;1;2;54200;2;1;2; ; ; ; ; ; ; ; ;3;5; ; ;71;05;593,274899026225
502682;1;2;05;10;2;2;1;7;1968;3;2; ;5;2;2; ; ; ; ; ;1;2; ; ; ; ; ; ; ; ;4;8; ; ;39;05;593,274899026225
