DIRECTORIO;AREA;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;DPTO;ORDEN;fex_c_2011
502651;05;1;4;3;1;1;1;1;1;3;2; ;300000;50000000;200000; ;1;1;1;1;1;1;1;1;2;1;2;2;1;1;2;2;2;2;2;2;2;1;2;1;2;1;1;1;1;1;2;2;1;01;05;1;874,134463318699
502652;05;1;3;1;1;1;1;1;1;4;3; ; ; ; ;148000;1;1;2;1;1;1;1;2;1;2;1;1;1;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;05;1;595,977295415678
502654;05;1;3;1;1;1;1;1;1;4;3; ; ; ; ;190000;1;1;2;2;1;1;1;2;1;1;1;1;1;2;2;2;2;2;2;2;2;1;2;1;2;1;2;1;1;1;2;2;1;01;05;1;767,237690304403
502655;05;1;5;3;1;1;1;1;1;4;3; ; ; ; ;200000;1;1;1;1;1;1;1;2;2;2;1;1;1;1;2;2;2;2;2;2;2;1;2;1;2;1;2;1;1;1;2;2;1;01;05;1;879,873223733001
502656;05;1;3;1;1;1;1;1;1;3;1; ; ;30000000;250000; ;1;1;2;1;1;1;1;1;2;2;1;1;1;2;2;2;2;2;2;2;2;1;1;1;4;1;1;1;1;1;2;2;1;01;05;1;817,802041060034
502657;05;1;5;2;1;1;1;1;1;4;3; ; ; ; ;250000;1;1;2;1;1;1;1;1;2;2;1;1;1;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;05;1;893,201693213056
502658;05;1;4;1;1;1;1;1;1;1;1; ; ;27000000;350000; ;1;1;2;2;1;1;1;1;2;1;1;2;1;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;05;1;593,274899026225
502659;05;1;3;2;1;1;1;1;1;4;1; ; ;55000000;300000; ;1;1;2;1;1;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;2;1;2;1;4;1;1;1;1;1;2;2;1;01;05;1;740,664503548555
502660;05;1;3;1;1;1;1;1;1;4;3; ; ; ; ;180000;1;1;2;1;1;1;1;2;1;1;1;1;1;1;2;2;2;2;1;2;2;1;2;1;2;1;2;1;1;1;2;2;1;01;05;1;825,660582990402
502661;05;1;4;3;1;1;1;1;1;4;3; ; ; ; ;330000;1;1;2;1;1;1;1;1;2;1;1;1;1;2;2;2;2;2;2;1;2;1;2;1;4;1;2;1;1;1;2;2;1;01;05;1;927,763072858798
