DIRECTORIO;SECUENCIA_P;ORDEN;REGIS;P7250;P7260;P7280;P7280S1;P7290;P7300;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P7424;P7424S1;CLASE;OFICIO1;OFICIO2;RAMA4D_D;RAMA2D_D;DSI;DPTO;AREA;fex_c_2011
502655;1;4;70;30;48;1; ;1;1;2;30;1; ;5;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;45;45;5223;52;1;05;05;879,873223733001
502671;1;1;70;32;48;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;55; ; ; ;1;05;05;768,899650874651
502681;1;4;70;8;60;1; ;1;1;2;28;1; ;8;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;3500000;1;98;03;1010;10;1;05;05;811,698606506239
502683;1;2;70;16;48;1; ;1;1;2;16;6; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;4500000;1;79;79;1810;18;1;05;05;560,609014493622
502684;1;3;70;48;50;1; ;2;2;2;48;1; ;8;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;45;85;2915;29;1;05;05;669,898951554349
502686;1;2;70;5;48;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;79; ; ; ;1;05;05;1052,38442484432
502687;1;2;70;12;42;1; ;1;1;2;136;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;45;45;5233;52;1;05;05;886,959507727495
502692;1;3;70;104;48;2; ;1;1;2;104;2; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;39;13;7512;75;1;05;05;540,629837307401
502702;1;3;70;40;48;1; ;1;2;2;40;1; ;6;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;37;55;5521;55;1;05;05;1119,65960403878
502703;1;6;70;160;50;1; ;1;1;2;150;1; ;9;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;11;11;7512;75;1;05;05;1131,84946471157
502713;1;2;70;24;48;1; ;2;2;2;6;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1500000;1;98;37;1810;18;1;05;05;549,556231364612
502719;1;2;70;110;48;1; ;1;1;2;110;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;16;59;8513;85;1;05;05;640,61551113361
502726;1;4;70;13;24;1; ;2;2;2;12;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;150000;1;03;97;5125;51;1;05;05;408,22697070529
502727;1;3;70;32;48;1; ;1;1;2;28;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;280000;1;84;97;4521;45;1;05;05;1484,67566632333
502727;1;4;70;32;48;1; ;1;2;2;52;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;120000;1;95;95;4530;45;1;05;05;1484,67566632333
502740;1;2;70;12;50;1; ;1;1;2;16;1; ;3;3; ; ; ; ; ; ; ; ; ;1; ;2; ;1;2600000;1;53;53;5521;55;1;05;05;827,270911290891
502751;1;2;70;24;48;1; ;2;2;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;58; ; ; ;1;05;05;601,681585050873
502756;1;6;70;12;48;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;95; ; ; ;1;05;05;586,536157171421
502768;1;1;70;4;48;1; ;1;2;2;4;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;40000;1;600000;1;55;54;9500;95;1;05;05;876,57858335838
502768;1;6;70;48;48;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;95; ; ; ;1;05;05;876,57858335838
502773;1;2;70;4;24;1; ;2;2;2;4;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;1;1000000;1;1600000;1;33;33;5211;52;1;05;05;545,775596959606
502773;1;4;70;5;48;1; ;2;1;2;5;1; ;9;8; ; ; ; ; ; ; ; ; ;1; ;2; ;1;2000000;1;33;33;5211;52;1;05;05;545,775596959606
502777;1;3;70;1;48;1; ;1;1;2;1;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;433800;1;2850000;1;93;58;7492;74;1;05;05;938,709384029219
502812;1;1;70;12;48;2; ;1;1;2;20;5; ;9;2; ; ;1; ; ; ; ; ; ; ; ;2; ;1;48000000;1;02;11;1810;18;1;05;05;1131,19786088366
502814;1;2;70;208;48;1; ;1;2;2;200;3; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;55;54;9500;95;1;05;05;518,194999745712
502826;1;1;70;20;48;1; ;2;2;2;20;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;6070000;1;21;21;6512;65;1;05;05;766,687017596852
502851;1;2;70;8;48;1; ;2;2;2;9;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;380000;1;45;37;6340;63;1;05;05;1210,12805832547
502852;1;1;70;2;48;1; ;1;1;2;9;4; ;5;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;3000000;1;45;45;5233;52;1;05;05;1638,66415863135
