DIRECTORIO;SECUENCIA_P;ORDEN;REGIS;P7495;P7500;P7500S1;P7500S2;P7500S3A1;P7500S2A1;P7500S1A1;P7500S3;P7505;P7510S3;P7510S4;P7510S6;P7510S2A1;P7510S4A1;P7510S6A1;P7510S5A1;P7510S3A1;P7510S1A1;P7510S5;P7510S1;P7510S2;CLASE;DPTO;AREA;fex_c_2011
448060;1;1;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;5000000; ; ; ;2;2;2;1;05;05;701,589142118332
448060;1;2;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;701,589142118332
448060;1;3;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;701,589142118332
448060;1;4;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;701,589142118332
448060;1;5;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;701,589142118332
448061;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;821,412373343643
448062;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;862,637053707853
448062;1;2;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;408000; ; ; ;2;2;2;1;05;05;862,637053707853
448064;1;1;95;2; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ; ;60000;2;1;2;1;05;05;764,332967808281
448065;1;1;95;2; ; ; ; ; ; ; ;1;2;2;2; ; ; ;120000; ; ;1;2;2;1;05;05;847,176674779566
448066;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;960,008614601931
448066;1;2;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;960,008614601931
448067;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;980,402190977192
448067;1;2;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;980,402190977192
448068;1;1;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;90000; ; ; ;2;2;2;1;05;05;707,253562272918
448069;1;1;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;90000; ; ; ;2;2;2;1;05;05;653,247638744421
448069;1;2;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;65000; ; ; ;2;2;2;1;05;05;653,247638744421
448071;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;771,412456827505
448071;1;2;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;771,412456827505
448071;1;3;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;771,412456827505
448071;1;4;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;771,412456827505
448072;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;811,011607367658
448072;1;2;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;811,011607367658
448072;1;3;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;811,011607367658
448072;1;4;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;811,011607367658
448073;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;662,207272989261
448073;1;2;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;1;05;05;662,207272989261
448074;1;1;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;100000; ; ; ;2;2;2;1;05;05;862,637053707853
