DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P9460;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;DPTO;AREA;fex_c_2011
973735;1;1;1;70;1;8;48;4;;2;120;3;;1;9;esta afiliada a una eps;;;;;;;;1;;su pension por sustitucion;2;;2;59;54;95;1;1;9500;8;8;550.397.686.972.449
973736;1;1;1;70;1;104;48;4;;2;208;1;;4;4;;;;;;;;;;1;;2;;2;98;59;52;1;2;5239;8;8;523.248.207.547.155
973736;1;2;1;70;1;24;48;1;;2;5;4;;1;4;;;;;;;;;;1;;2;;2;13;45;52;1;2;5262;8;8;523.248.207.547.155
973739;1;1;1;70;1;52;60;3;;2;12;1;;3;1;;;;;;;;;;1;;2;;2;54;53;55;1;2;5521;8;8;530.240.052.739.534
973744;1;6;1;70;1;20;60;1;;2;24;1;;6;1;;;;;;;;;;1;;2;;2;13;13;80;1;2;8012;8;8;353.797.128.028.376
973758;1;2;1;70;1;12;48;4;;2;12;4;;1;6;;;;;;;;;;1;;2;;2;98;98;60;1;1;6042;8;8;509.556.138.117.743
973758;1;3;1;70;1;4;48;1;;2;1;1;;9;4;;;;;;;;;;1;;2;;2;98;98;60;1;1;6042;8;8;509.556.138.117.743
973766;1;2;1;70;1;52;48;1;;2;54;1;;3;2;;;;;;;;;;1;;2;;2;45;45;52;1;2;5233;8;8;583.979.375.113.106
973766;1;4;1;70;1;5;48;1;;2;8;1;;4;2;;;;;;;;;;1;;1;480000;2;45;45;52;1;1;5233;8;8;583.979.375.113.106
973772;1;5;1;70;1;12;48;1;;2;14;1;;5;9;paga independiente su eps;;1;;1;;;;;;;2;;2;7;7;24;1;1;2423;8;8;30.745.313.162.091
973776;1;5;1;70;1;8;48;1;;2;8;1;;9;2;;;;;;;;;;1;;2;;2;58;58;74;1;1;7492;8;8;632.900.785.159.834
973782;1;4;1;70;1;8;48;4;;2;8;4;;2;6;;;;;;;;;;1;;2;;2;84;84;50;1;1;5040;8;8;671.521.635.988.862
973788;1;4;1;70;1;12;60;1;;1;;;.;;;.;.;;;;;;;;;.;;;;43;;;1;1;;8;8;446.752.492.428.602
973814;1;3;1;70;1;24;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;58;;;1;2;;8;8;547.000.481.275.421
973820;1;3;1;70;1;3;60;1;;2;12;1;;8;4;;;;;;;;;;1;;2;;2;6;6;85;1;1;8513;8;8;572.169.617.593.882
973821;1;3;1;70;1;3;40;1;;1;;;.;;;.;.;;;;;;;;;.;;;;2;;;1;1;;8;8;6.210.246.482.957
973821;1;4;1;70;1;15;60;1;;1;;;.;;;.;.;;;;;;;;;.;;;;7;;;1;2;;8;8;6.210.246.482.957
