DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,CLASE,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S8,P7420S7A1,P7422,P7422S1,P9460,OFICIO1,OFICIO2,RAMA2D_D,DSI,DSCY,RAMA4D_D,DPTO,fex_c_2011
990988,1,1,1,70,2,4,48,1,,2,4,1,,3,1,,,,,,,,,,1,,1,200000,2,87,87,50,1,1,5020,5,105.709.560.762.081
990991,1,1,1,70,2,12,48,1,,2,12,1,,2,3,,,,,1,,,,,,,2,,2,98,98,60,1,1,6042,5,83.939.183.280.308
991010,1,2,1,70,2,2,48,3,,2,32,3,,1,2,,,,,,,,,,1,,2,,2,54,54,95,1,1,9500,5,131.316.645.539.983
991029,1,2,1,70,2,36,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,45,,,1,2,,5,199.620.610.475.083
991097,1,3,1,70,2,4,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,45,,,1,1,,5,116.879.034.160.327
991102,1,4,1,70,2,2,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,97,,,1,1,,5,220.746.171.607.669
991124,1,1,1,70,2,13,48,8,,2,13,8,,3,1,,,,,,,,1,,,,2,,2,62,62,1,1,1,117,5,226.462.708.477.492
991132,1,4,1,70,2,52,60,1,,1,,,.,,,.,.,,,,,,,,,.,,,,45,,,1,2,,5,262.398.698.269.491
991159,1,1,1,70,2,13,48,8,,2,13,8,,2,1,,,,,,,,1,,,,2,,2,62,62,1,1,1,117,5,627.094.180.113.869
991162,1,6,1,70,2,4,40,8,,2,4,8,,2,4,,,,,,,,,,1,,2,,2,62,62,1,1,1,121,5,149.908.847.294.365
991209,1,2,1,70,2,6,48,8,,2,6,8,,3,1,,,,,,,,,,1,,2,,2,62,62,1,1,1,121,5,855.206.491.311.914
991209,1,9,1,70,2,3,48,1,,2,3,1,,4,1,,,,,,,,,,1,,1,140000,2,53,53,14,1,1,1411,5,855.206.491.311.914
992462,1,3,1,70,2,2,40,1,,1,,,.,,,.,.,,,,,,,,,.,,,,45,,,1,1,,25,266.249.095.401.966
992462,1,4,1,70,2,2,24,4,,1,,,.,,,.,.,,,,,,,,,.,,,,56,,,1,1,,25,266.249.095.401.966
992467,1,2,1,70,2,4,48,4,,2,8,8,,2,7,,,,,,,,,,1,,2,,2,61,62,1,1,1,115,25,201.375.684.316.187
992467,1,5,1,70,2,50,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,3,,,1,2,,25,201.375.684.316.187
992584,1,2,1,70,2,4,48,8,,2,4,4,,1,8,,,,,,,,,,1,,1,30000,2,62,62,1,1,1,116,11,65.099.997.311.168
992608,1,2,1,70,2,14,30,1,,2,53,1,,3,3,,,,,,,,,,1,,2,,2,39,39,52,1,2,5239,25,264.041.807.932.821
992614,1,4,1,70,2,1,40,3,,1,,,.,,,.,.,,,,,,,,,.,,,,54,,,1,1,,25,230.889.956.632.901
992614,1,5,1,70,2,4,40,8,,1,,,.,,,.,.,,,,,,,,,.,,,,62,,,1,1,,25,230.889.956.632.901
992620,1,1,1,70,2,8,40,1,,2,8,4,,1,3,,,,,,,,1,,,,2,,2,98,98,60,1,1,6042,25,201.433.234.400.166
992624,1,2,1,70,2,4,40,1,,2,4,1,,4,2,,,,,,,,,,1,,2,,2,62,62,1,1,1,112,25,25.817.550.440.075
992668,1,3,1,70,2,1,30,1,,1,,,.,,,.,.,,,,,,,,,.,,,,45,,,1,1,,25,223.791.772.316.331
993267,1,3,1,70,2,24,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,95,,,1,2,,13,302.850.382.900.873
993277,1,3,1,70,2,24,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,45,,,1,2,,13,303.453.008.756.175
