DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;CLASE;P5070;DPTO;ORDEN;fex_c_2011
578510;1;3;3;1;1;4;1;3;1;;;15000000;250000;;2;2;2;2;1;1;1;2;2;2;1;1;1;2;2;2;2;1;2;2;2;1;1;1;2;1;1;1;2;1;2;;2;1;2;1;50;1;875.916.348.714.049
578512;1;1;1;1;1;4;1;3;1;;;1500000;100000;;2;2;2;2;1;2;1;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;1;1;2;1;1;1;2;1;2;;2;1;2;1;50;1;811.570.567.444.209
578513;1;3;2;1;1;4;1;3;1;;;99;150000;;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;1;1;2;2;1;1;1;2;1;1;1;2;1;1;;2;1;2;1;50;1;959.542.377.117.923
578515;1;3;2;1;1;4;4;3;1;;;99;120000;;2;2;2;2;1;2;1;2;2;2;1;2;1;2;2;2;2;1;1;2;2;1;1;1;2;1;1;1;2;1;2;;2;1;2;1;50;1;919.411.378.361.492
578516;1;2;2;1;1;4;4;3;3;;;;;100000;2;2;2;2;2;1;1;2;2;2;1;1;1;2;2;2;1;1;2;2;2;1;1;1;2;1;1;1;2;2;2;;;1;2;1;50;1;727.157.277.312.868
578517;1;1;1;1;1;4;1;4;3;;;;;88888;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;1;8;1;1;2;1;2;1;1;;2;1;2;1;50;1;848.391.880.054.191
578518;1;5;1;1;1;4;1;3;1;;;99;100000;;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;1;1;4;1;1;1;2;1;2;;2;1;2;1;50;1;94.073.133.610.074
578519;1;4;2;1;1;4;1;3;3;;;;;100000;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;1;2;1;2;2;2;1;1;1;4;1;1;1;2;1;2;;2;1;2;1;50;1;108.949.040.750.192
578520;1;3;2;1;1;4;1;3;1;;;5000000;100000;;2;2;2;2;1;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;1;1;2;1;2;;2;1;2;1;50;1;865.842.687.368.943
578521;1;3;2;1;1;4;1;3;3;;;;;50000;2;2;2;2;1;2;1;2;2;2;1;1;1;2;2;2;2;2;2;2;2;1;1;1;2;1;1;1;2;1;2;;2;1;2;4;50;1;887.635.437.059.352
578523;1;2;1;1;1;4;1;3;3;;;;;100000;2;2;2;1;1;1;1;2;2;2;1;1;1;2;2;2;1;2;1;2;2;1;1;1;2;1;1;1;2;1;1;;2;1;2;1;50;1;1.098.227.787.174
578524;1;2;1;1;1;3;1;3;3;;;;;100000;2;2;2;2;2;2;1;2;2;2;1;1;2;2;2;2;2;2;2;2;2;1;1;1;4;1;1;1;2;1;2;;2;1;2;1;50;1;116.360.909.847.328
581071;1;2;2;2;1;1;1;4;4;;;;100000;;2;2;2;2;1;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;1;1;1;2;2;1;1;2;1;25;1;487.030.293.195.915
581072;1;2;2;2;1;1;1;4;4;;;;100000;;2;2;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;1;1;1;2;2;1;1;2;1;25;1;727.800.522.026.878
581073;1;1;1;2;1;1;1;4;4;;;;100000;;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;4;1;2;1;1;1;2;2;1;1;2;1;25;1;451.985.587.914.661
581074;1;3;2;2;1;4;1;4;3;;;;;30000;2;2;2;2;1;1;1;2;2;1;1;1;1;2;2;2;2;1;2;2;2;1;1;1;2;1;2;1;2;1;2;;2;1;2;1;25;1;366.637.491.336.511
581075;1;5;2;2;1;4;1;4;4;;;;50000;;2;2;2;2;2;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;1;2;;2;1;2;1;25;1;484.449.511.912.298
581077;1;3;1;1;1;1;1;4;3;;;;;270000;2;2;2;2;1;1;1;2;1;2;1;1;2;2;2;2;2;1;2;2;2;1;1;1;2;1;2;1;1;1;2;1;1;1;2;1;25;1;448.496.080.588.326
