DIRECTORIO;SECUENCIA_P;ORDEN;AREA;REGIS;P6016;P6020;P6030;P6030S1;P6030S3;P6050;P6060;P6060S1;P6070;P6081S1;P6081;P6082;P6083S1;P6083;P6084;P6085;P6071S1;P6071;P6085S1;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6992;P6992S1;P6160;P6170;P6175;P6180;P6180S1;P6180S2;P6190;P6190S1;P6200;P6200S1;P6210;P6210S1;P6220;P6177;P6177S1;P6040;DPTO;fex_c_2011
590777;1;1;5;10;1;2;1;1;1951;1;2;;3;;3;3;;2;3;2;2;1;;1;;;1;2;234934;2;;.;1;2;;;;;;;;;6;5;4;;;57;5;102.504.303.344.291
590777;1;2;5;10;2;1;1;1;1948;2;2;;3;;3;2;5;1;;2;1;1;;1;;;1;3;115400;2;;.;1;2;;;;;;;;;3;5;;;;60;5;102.504.303.344.291
590777;1;3;5;10;3;2;1;4;1972;3;2;;6;2;1;;1;1;;2;;;;1;;;1;3;60000;2;;.;1;2;;;;;;;;;6;5;4;;;35;5;102.504.303.344.291
590777;1;4;5;10;1;1;1;9;1975;3;2;;6;2;1;;1;1;;2;;;;1;;;1;3;57700;2;;.;1;2;;;;;;;;;6;5;4;;;32;5;102.504.303.344.291
590777;1;5;5;10;1;2;1;8;1925;5;2;;5;;3;2;;3;2;2;;;;1;;;1;2;57700;2;;.;1;2;;;;;;;;;3;5;;;;82;5;102.504.303.344.291
590780;1;1;5;10;1;2;1;3;1940;1;2;;5;;3;6;;3;2;1;;;2;1;;;1;3;57700;2;;.;2;2;;;;;;;;;3;1;;;;67;5;595.825.098.075.643
590780;1;2;5;10;2;2;1;5;1972;3;2;;4;;3;6;1;1;;2;;;;1;;;1;1;15000;2;;.;1;2;;;;;;;;;5;11;2;;;35;5;595.825.098.075.643
590780;1;3;5;10;2;2;1;4;2004;4;2;;;;2;4;2;1;;2;;;;1;;;1;5;;2;;.;2;1;2;1;0;2000;2;;2;;1;0;;;;3;5;595.825.098.075.643
590781;1;1;5;10;1;1;1;2;1966;1;2;;3;;2;2;;3;2;1;2;1;2;1;;;3;;;2;;.;1;2;;;;;;;;;3;5;;;;41;5;789.962.525.434.962
590781;1;2;5;10;2;2;1;1;1967;2;2;;3;;3;2;;2;2;1;1;1;2;1;;;3;;;2;;.;1;2;;;;;;;;;4;7;;;;41;5;789.962.525.434.962
590781;1;3;5;10;3;1;1;2;1987;3;2;;6;1;1;;2;1;;1;;;2;1;;;3;;;2;;.;1;2;;;;;;;;;5;11;2;2;;20;5;789.962.525.434.962
590781;1;4;5;10;2;2;1;3;1993;3;2;;6;1;1;;2;1;;1;;;2;1;;;3;;;2;;.;1;1;1;2;;;2;;2;;4;9;;;;14;5;789.962.525.434.962
590782;1;1;5;10;1;2;1;9;1976;1;2;;5;;2;2;;2;2;2;;;;2;1;24;;;;2;2;;1;2;;;;;;;;;3;5;;;;31;5;699.078.951.928.497
590782;1;2;5;10;1;1;1;3;1998;3;2;;;;3;2;1;1;;1;;;2;1;;;3;;;2;;.;1;1;1;1;200;2000;2;;2;;3;3;;;;9;5;699.078.951.928.497
590782;1;3;5;10;1;2;1;1;2002;3;2;;;;3;2;1;1;;2;;;;2;1;24;;;;2;2;;2;1;1;1;200;2000;2;;2;;3;0;;;;6;5;699.078.951.928.497
590783;1;1;5;10;1;1;2;;;1;2;;3;;3;6;;3;2;1;2;1;2;1;;;3;;;2;;.;1;2;;;;;;;;;3;3;;;;70;5;736.455.838.096.397
590783;1;2;5;10;2;2;1;3;1939;2;2;;3;;3;6;6;1;;1;1;1;2;1;;;3;;;2;;.;1;2;;;;;;;;;3;2;;;;68;5;736.455.838.096.397
590783;1;3;5;10;3;2;1;11;1970;3;2;;4;1;1;;2;1;;1;;;2;1;;;3;;;2;;.;1;2;;;;;;;;;3;5;;;;37;5;736.455.838.096.397
590783;1;4;5;10;3;1;1;8;1991;4;2;;6;;2;1;3;1;;1;;;2;1;;;3;;;2;;.;1;2;;;;;;;;;3;5;;10;;16;5;736.455.838.096.397
590783;1;5;5;10;3;1;1;6;1993;4;2;;6;;2;1;3;1;;1;;;2;1;;;3;;;2;;.;1;1;1;1;200;2000;2;;2;;4;8;;;;14;5;736.455.838.096.397
590783;1;6;5;10;3;2;2;;;5;2;;5;;3;6;;3;6;1;;;2;1;;;3;;;2;;.;1;2;;;;;;;;;3;3;;;;85;5;736.455.838.096.397
590785;1;1;5;10;1;1;1;11;1981;1;2;;2;;2;2;;2;2;1;2;1;1;1;;;3;;;2;;.;2;2;;;;;;;;;2;1;;;;26;5;862.811.927.391.713
590785;1;2;5;10;2;2;1;1;1984;2;2;;2;;3;6;;2;3;1;1;1;1;1;;;3;;;2;;.;1;2;;;;;;;;;3;3;;3;;24;5;862.811.927.391.713
590785;1;3;5;10;2;1;1;8;1998;3;2;;;;2;3;2;1;;1;;;1;1;;;3;;;2;;.;1;1;1;1;200;3000;2;;2;;3;3;;;;9;5;862.811.927.391.713
590785;1;4;5;10;2;1;1;12;2000;3;2;;;1;1;;2;1;;1;;;1;1;;;3;;;2;;.;2;1;1;1;200;3000;2;;2;;3;1;;;;7;5;862.811.927.391.713
590785;1;5;5;10;5;1;1;11;1990;5;2;;6;;2;3;;2;6;2;;;;2;1;12;;;;2;3;;1;2;;;;;;;;;4;9;;3;;17;5;862.811.927.391.713
590786;1;1;5;10;1;1;1;4;1979;1;2;;2;;2;2;;2;2;1;2;1;2;1;;;1;3;57700;2;;.;1;2;;;;;;;;;3;5;;;;28;5;834.536.791.075.913
590786;1;2;5;10;2;2;1;3;1987;2;2;;2;;2;6;;2;2;1;1;1;2;1;;;1;5;;2;;.;1;2;;;;;;;;;3;5;;11;;20;5;834.536.791.075.913
590786;1;3;5;10;2;1;1;4;2004;3;2;;;1;1;;2;1;;2;;;;1;;;1;5;;2;;.;2;2;;;;;;;;;1;0;;1;;3;5;834.536.791.075.913
590787;1;1;5;10;1;1;1;1;1961;1;2;;6;;3;2;;2;2;2;;;;1;;;1;1;18450;2;;.;1;2;;;;;;;;;4;7;;;;47;5;955.544.041.112.868
590788;1;1;5;10;1;1;1;7;1947;1;2;;6;;3;2;;3;2;2;;;;1;;;1;2;96000;2;;.;1;2;;;;;;;;;5;11;2;;;60;5;111.278.653.234.321
590788;1;2;5;10;4;1;1;9;1955;5;2;;6;;3;2;;3;2;1;;;3;1;;;3;;;2;;.;1;2;;;;;;;;;5;11;2;;;52;5;111.278.653.234.321
590788;1;3;5;10;4;2;1;3;1929;5;2;;6;;3;2;;3;2;1;;;3;1;;;3;;;2;;.;1;2;;;;;;;;;3;1;;;;78;5;111.278.653.234.321
590788;1;4;5;10;4;1;1;6;1958;5;2;;6;;3;6;3;1;;1;;;3;1;;;3;;;2;;.;1;2;;;;;;;;;4;7;;;;49;5;111.278.653.234.321
590789;1;1;5;10;1;2;1;10;1953;1;2;;6;;3;2;;3;2;2;;;;2;1;48;;;;1;8;TENIA SISBEN Y  LO DESAFILIARON CUANDO ESTABA TRABAJANDO AHORA ESTA DESEMPLEADO;1;2;;;;;;;;;4;6;;;;54;5;750.220.337.076.306
590789;1;2;5;10;2;1;1;12;1989;3;2;;1;;2;6;1;1;;2;3;1;;2;1;1;;;;2;5;;1;2;;;;;;;;;4;7;;3;;18;5;750.220.337.076.306
590789;1;3;5;10;3;2;1;12;1986;5;2;;1;;2;6;;2;6;2;2;1;;1;;;3;;;2;;.;1;2;;;;;;;;;5;11;2;3;;21;5;750.220.337.076.306
590790;1;1;5;10;1;2;1;10;1964;1;2;;6;;2;3;;2;2;1;;;3;1;;;3;;;2;;.;1;2;;;;;;;;;4;6;;;;43;5;621.170.614.977.585
590790;1;2;5;10;2;2;1;2;1988;3;2;;6;;3;3;1;1;;1;;;3;1;;;3;;;2;;.;1;2;;;;;;;;;5;11;2;7;;20;5;621.170.614.977.585
590790;1;3;5;10;1;1;1;8;1998;5;2;;;;2;6;;3;6;1;;;1;1;;;3;;;2;;.;1;1;1;1;120;1000;2;;2;;3;2;;;;9;5;621.170.614.977.585
590790;1;4;5;10;1;2;1;8;1992;9;2;;6;;2;2;;2;2;1;;;2;1;;;3;;;2;;.;1;1;1;2;;;2;;2;;4;7;;;;15;5;621.170.614.977.585
