DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P6230;P6240;P6240S1;P6250;P6260;P6270;P6280;P6290;P6290S1;P6300;P6310;P6310S1;P6320;P6330;P6340;P6350;P6351;DPTO;fex_c_2011
781275;1;1;1;50;2;1;1;;;;;;;;;;;;;;;;25;266.996.402.541.386
781275;1;2;1;50;2;2;4;;2;2;2;2;;;2;;;;;;;;25;266.996.402.541.386
781275;1;3;1;50;2;4;3;;2;2;2;2;;;2;;;;;;;;25;266.996.402.541.386
781275;1;5;1;50;2;5;4;;2;2;2;2;;;2;;;;;;;;25;266.996.402.541.386
781281;1;1;1;50;2;1;1;;;;;;;;;;;;;;;;25;351.969.844.424.714
781281;1;2;1;50;2;2;4;;2;1;;;;;;;;;;;;;25;351.969.844.424.714
781281;1;3;1;50;2;2;3;;2;2;2;2;;;2;;;;;;;;25;351.969.844.424.714
781282;1;1;1;50;2;1;1;;;;;;;;;;;;;;;;25;283.028.392.883.071
781282;1;2;1;50;2;2;1;;;;;;;;;;;;;;;;25;283.028.392.883.071
781282;1;3;1;50;2;3;1;;;;;;;;;;;;;;;;25;283.028.392.883.071
781282;1;4;1;50;2;1;3;;2;2;2;2;;;2;;;;;;;;25;283.028.392.883.071
781285;1;1;1;50;2;1;1;;;;;;;;;;;;;;;;25;24.306.256.191.174
781285;1;2;1;50;2;2;1;;;;;;;;;;;;;;;;25;24.306.256.191.174
781285;1;3;1;50;2;3;3;;2;2;2;2;;;2;;;;;;;;25;24.306.256.191.174
781299;1;1;1;50;2;1;1;;;;;;;;;;;;;;;;25;240.354.541.451.366
781299;1;2;1;50;2;2;4;;2;2;2;2;;;2;;;;;;;;25;240.354.541.451.366
781301;1;1;1;50;2;1;6;PENSIONADO;2;2;2;2;;;2;;;;;;;;25;31.507.434.548.027
781301;1;2;1;50;2;2;4;;2;2;2;2;;;2;;;;;;;;25;31.507.434.548.027
781301;1;3;1;50;2;1;3;;2;2;2;2;;;2;;;;;;;;25;31.507.434.548.027
781308;1;1;1;50;2;1;4;;2;2;2;2;;;2;;;;;;;;25;396.624.339.522.645
781308;1;2;1;50;2;2;5;;;;;;;;;;;;;;;;25;396.624.339.522.645
781308;1;3;1;50;2;1;3;;2;2;2;2;;;2;;;;;;;;25;396.624.339.522.645
781309;1;1;1;50;2;1;5;;;;;;;;;;;;;;;;25;347.919.446.419.143
781309;1;2;1;50;2;2;4;;2;2;2;2;;;2;;;;;;;;25;347.919.446.419.143
781387;1;1;1;50;2;1;1;;;;;;;;;;;;;;;;25;167.628.135.106.534
781387;1;2;1;50;2;2;4;;2;2;2;1;2;;;;;;;;;1;25;167.628.135.106.534
781388;1;1;1;50;2;1;1;;;;;;;;;;;;;;;;25;266.369.452.376.768
781388;1;2;1;50;2;2;4;;2;2;2;2;;;2;;;;;;;;25;266.369.452.376.768
781391;1;1;1;50;2;1;1;;;;;;;;;;;;;;;;25;289.059.434.554.868
781391;1;2;1;50;2;2;4;;2;2;2;2;;;1;3;;2;;1;1;1;25;289.059.434.554.868
781391;1;3;1;50;2;2;3;;2;2;2;2;;;2;;;;;;;;25;289.059.434.554.868
781394;1;1;1;50;2;1;4;;2;2;2;2;;;2;;;;;;;;25;378.620.402.829.241
781411;1;1;1;50;2;1;1;;;;;;;;;;;;;;;;25;274.390.468.486.456
781411;1;2;1;50;2;2;4;;2;2;2;1;2;;;;;;;;;1;25;274.390.468.486.456
781411;1;3;1;50;2;2;3;;2;2;2;2;;;2;;;;;;;;25;274.390.468.486.456
781411;1;4;1;50;2;2;3;;2;2;2;2;;;2;;;;;;;;25;274.390.468.486.456
781424;1;1;1;50;2;1;4;;2;1;;;;;;;;;;;;;25;382.669.996.230.535
781424;1;2;1;50;2;2;4;;2;2;2;2;;;2;;;;;;;;25;382.669.996.230.535
781424;1;3;1;50;2;3;1;;;;;;;;;;;;;;;;25;382.669.996.230.535
781424;1;4;1;50;2;2;3;;2;2;2;2;;;2;;;;;;;;25;382.669.996.230.535
781426;1;1;1;50;2;1;1;;;;;;;;;;;;;;;;25;293.912.404.148.295
781426;1;2;1;50;2;2;2;;2;2;2;1;2;;;;;;;;;1;25;293.912.404.148.295
781459;1;1;1;50;2;1;1;;;;;;;;;;;;;;;;25;340.261.588.001.212
781459;1;2;1;50;2;2;4;;2;2;2;2;;;2;;;;;;;;25;340.261.588.001.212
781465;1;1;1;50;2;1;1;;;;;;;;;;;;;;;;25;278.978.841.002.744
