DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;CLASE;P5070;DPTO;ORDEN;fex_c_2011
722977;1;5;3;2;1;4;2;4;4;;;;100000;;2;2;2;2;1;1;1;1;1;1;1;1;2;1;2;2;2;2;2;2;2;1;1;1;4;1;2;2;2;1;2;;2;1;2;1;25;1;247.391.305.656.894
722979;1;3;2;2;1;4;4;5;1;;;5000000;80000;;2;2;2;2;1;1;1;2;2;2;1;1;1;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;2;2;;;1;2;1;25;1;218.040.744.041.456
722980;1;2;2;2;1;4;4;5;3;;;;;110000;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;2;2;;;1;2;1;25;1;22.478.553.431.674
722982;1;5;4;2;1;4;1;5;1;;;25000000;100000;;2;2;2;2;1;1;1;1;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;4;1;2;2;2;1;2;;2;1;2;1;25;1;272.894.895.044.054
722983;1;1;1;2;1;4;1;5;4;;;;60000;;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;3;1;4;1;2;2;2;1;2;;2;1;2;1;25;1;486.156.872.461.679
722985;1;3;3;2;1;4;2;4;1;;;98;150000;;2;2;2;2;2;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;1;2;;2;1;2;1;25;1;33.880.551.777.949
722987;1;5;3;6;;4;5;5;3;;;;;400000;2;2;2;2;2;1;1;1;2;2;1;1;2;2;2;2;2;2;2;1;2;1;1;4;2;1;2;2;2;2;2;;;1;2;1;25;1;218.040.744.041.456
722988;1;3;1;2;1;4;5;4;4;;;;200000;;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;2;2;;;1;2;1;25;1;162.385.581.638.282
722994;1;4;1;2;1;4;5;5;2;;830000;100000000;120000;;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;2;2;;;1;2;1;25;1;130.384.108.525.791
722995;1;2;1;2;1;4;4;4;1;;;15000000;150000;;2;2;2;2;2;2;1;1;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;2;1;;;1;2;1;25;1;377.105.599.670.904
722997;1;4;1;2;1;4;4;5;4;;;;150000;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;2;1;;;1;2;1;25;1;193.886.713.805.693
722999;1;3;2;2;1;4;6;4;1;;;10000000;100000;;2;1;2;2;1;1;1;1;2;2;1;1;1;2;2;2;2;1;1;2;2;1;1;1;2;1;2;2;2;2;2;;;1;2;1;25;1;322.251.448.668.305
723001;1;1;1;6;;4;2;5;4;;;;60000;;2;2;2;2;2;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;3;1;1;2;2;2;2;2;;;1;2;2;25;1;292.099.875.652.292
723002;1;4;2;2;1;4;6;5;4;;;;100000;;2;2;2;2;2;1;1;1;2;2;1;1;1;2;2;2;2;2;2;1;2;1;1;3;2;1;2;2;2;2;3;;;1;2;2;25;1;351.348.413.322.456
723004;1;3;1;2;1;5;5;4;1;;;25000000;200000;;2;1;2;2;1;1;1;2;2;2;1;1;1;2;2;2;2;2;2;1;2;1;1;1;2;1;2;2;2;2;2;;;1;2;1;25;1;162.385.581.638.282
723006;1;2;2;2;1;4;5;5;1;;;98;50000;;2;1;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;3;2;1;2;2;2;2;1;;;1;2;1;25;1;187.889.171.025.443
723008;1;2;1;2;1;4;5;4;1;;;2500000;250000;;1;2;2;2;1;1;1;1;2;2;1;1;2;2;2;2;2;2;2;1;2;1;1;1;2;1;2;2;2;2;1;;;1;2;1;25;1;130.384.108.525.791
723009;1;2;2;2;1;4;4;4;1;;;10000000;150000;;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;2;2;;;1;2;4;25;1;249.991.907.647.502
723013;1;1;1;2;1;4;6;4;2;;700000;15000000;100000;;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;2;2;;;1;2;1;25;1;281.493.039.814.912
723014;1;4;3;2;1;4;4;4;1;;;12000000;70000;;2;2;2;2;2;1;1;2;2;2;1;1;1;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;2;2;;;1;2;1;25;1;238.539.563.924.748
723017;1;3;1;2;1;4;6;4;4;;;;300000;;2;2;2;2;2;1;1;2;2;2;1;1;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;2;0;;;1;2;1;25;1;162.385.581.638.282
723039;1;2;2;2;1;4;2;5;3;;;;;120000;2;2;2;2;2;1;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;2;2;;;1;2;1;25;1;329.260.688.001.029
723042;1;4;1;2;1;4;2;5;1;;;98;50000;;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;3;1;1;2;2;2;2;1;;;1;2;1;25;1;426.908.334.791.516
723044;1;4;3;2;1;4;2;5;1;;;10000000;200000;;2;2;2;2;1;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;2;2;;;1;2;1;25;1;234.594.813.152.641
723045;1;4;3;2;1;4;2;4;1;;;98;100000;;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;1;1;1;1;1;2;1;2;2;2;2;2;;;1;2;1;25;1;272.894.895.044.054
723047;1;3;1;2;1;4;2;4;1;;;10000000;50000;;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;2;2;;;1;2;1;25;1;281.493.039.814.912
723049;1;1;1;6;;4;9;5;3;;;;;16000;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;5;1;1;2;2;2;2;0;;;1;2;1;25;1;281.493.039.814.912
723051;1;1;1;2;1;4;2;5;4;;;;25000;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;2;0;;;1;2;1;25;1;40.744.975.722.199
