DIRECTORIO,SECUENCIA_P,ORDEN,REGIS,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S8,P7420S7A1,P7422,P7422S1,P9460,CLASE,DSI,OFICIO1,OFICIO2,RAMA4D_D,RAMA2D_D,DPTO,AREA,fex_c_2011
612004,1,3,70,48,48,1,,2,52,3,,1,4,,,,,,,,,,1,,2,,2,1,1,55,54,9500,95,13,13,350.369.675.761.602
612004,1,4,70,156,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,1,54,,,,13,13,350.369.675.761.602
612006,1,2,70,104,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,1,45,,,,13,13,620.367.035.786.091
612006,1,3,70,52,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,1,45,,,,13,13,620.367.035.786.091
612008,1,4,70,26,48,3,,2,52,3,,1,1,,,,,,,,,,1,,2,,2,1,1,54,54,9500,95,13,13,277.136.113.523.913
612010,1,3,70,104,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,1,45,,,,13,13,285.635.611.417.859
612012,1,2,70,12,48,1,,2,12,1,,9,2,,,,,,,,,,1,,2,,2,1,1,45,45,5234,52,13,13,321.867.567.220.217
612020,1,3,70,12,48,1,,2,12,1,,4,2,,,,,,,,,,1,,2,,2,1,1,13,13,8046,80,13,13,637.369.476.122.885
612031,1,2,70,20,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,1,58,,,,13,13,565.073.778.550.686
612033,1,2,70,52,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,1,11,,,,13,13,252.333.947.866.526
612036,1,3,70,104,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,1,13,,,,13,13,300.529.727.792.046
612040,1,2,70,8,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,1,21,,,,13,13,206.200.485.181.587
612043,1,4,70,40,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,1,11,,,,13,13,261.746.096.194.511
612056,1,1,70,9,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,1,45,,,,15,15,568.869.155.845.694
612058,1,2,70,16,48,1,,2,24,2,,3,5,,,,,,,,,,1,,2,,2,1,1,59,59,8512,85,15,15,754.181.920.327.781
612063,1,1,70,104,50,1,,2,102,1,,2,2,,,,,,,,,,1,,2,,2,1,1,45,53,5522,55,15,15,757.913.853.378.802
612063,1,2,70,12,50,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,1,45,,,,15,15,757.913.853.378.802
612064,1,2,70,52,50,1,,2,52,1,,3,4,,,,,,,,,,1,,2,,2,1,1,98,98,6041,60,15,15,167.179.714.061.626
612070,1,2,70,24,50,3,,2,24,3,,1,2,,,,,,,,,,1,,2,,2,1,1,54,54,9500,95,15,15,949.398.911.077.507
612078,1,3,70,12,50,2,,2,12,2,,9,1,,,,,,,,,,1,,2,,2,1,1,5,5,7512,75,15,15,147.787.629.590.799
612083,1,4,70,12,40,1,,2,12,1,,9,1,,,,,,,,,,1,,2,,2,1,1,33,33,8512,85,15,15,989.690.124.427.676
612086,1,1,70,52,48,1,,2,52,1,,9,2,,,,,,,,,,1,,2,,2,1,1,5,5,112,1,15,15,741.952.515.156.317
612087,1,1,70,12,50,4,,2,12,1,,6,1,,,1,,,,,,,,,2,,2,1,1,2,2,4530,45,15,15,79.395.027.619.682
612094,1,2,70,52,48,1,,2,52,1,,2,1,,,,,,,,,,1,,2,,2,1,1,53,53,5522,55,15,15,934.255.696.368.762
612096,1,2,70,12,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,1,37,,,,15,15,719.702.217.431.445
612099,1,3,70,4,40,1,,2,4,1,,5,1,,,,,,,,,,1,,1,450000,2,1,1,9,44,9303,93,15,15,645.986.341.151.838
612099,1,4,70,12,40,1,,2,12,1,,5,1,,,,,,,,,,1,,2,,2,1,1,5,5,118,1,15,15,645.986.341.151.838
612101,1,3,70,52,40,1,,2,52,1,,2,2,,,,,,,,,,1,,2,,2,1,1,32,32,7412,74,15,15,578.890.048.399.103
612105,1,2,70,12,48,1,,2,12,2,,9,1,,,,,,,,,,1,,2,,2,1,1,21,11,7512,75,15,15,665.829.578.199.829
612108,1,1,70,12,40,2,,2,12,2,,9,1,,,,,,,,,,1,,2,,2,1,1,13,13,8045,80,15,15,742.686.189.625.747
612133,1,2,70,108,48,1,,2,108,1,,9,4,,,,,,,,,,1,,2,,2,1,1,81,58,4010,40,17,17,125.236.032.753.398
612135,1,2,70,3,48,1,,2,4,2,,7,2,,,1,,,,,,,,,1,1800000,2,1,1,12,12,7411,74,17,17,154.475.910.460.077
612140,1,1,70,156,40,1,,2,998,3,,1,1,,,,,,,,,,1,,2,,2,1,1,55,54,9500,95,17,17,145.134.049.283.618
