DIRECTORIO;SECUENCIA_P;ORDEN;REGIS;P7480;P7480S1;P7480S2;P7480S3;P7480S4;P7480S5;P7480S6;P7480S7;P7480S8;P7480S9;P7480S10;P7480S11;P7480S1A1;P7480S2A1;P7480S3A1;P7480S4A1;P7480S5A1;P7480S6A1;P7480S7A1;P7480S8A1;P7480S9A1;P7480S10A1;P7480S11A1;CLASE;DPTO;fex_c_2011
617189;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;35;;;;;;;;;2;25;760.143.787.732.586
617189;1;2;90;;2;;1;2;2;2;2;2;2;2;2;;;3;;;;;;;;;2;25;760.143.787.732.586
617189;2;1;90;;2;;2;2;2;2;2;1;2;2;2;;;;;;;;20;;;;2;25;760.143.787.732.586
617189;2;2;90;;2;;1;2;1;2;2;2;2;2;2;;;21;;35;;;;;;;2;25;760.143.787.732.586
617189;3;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;25;760.143.787.732.586
617189;3;2;90;;2;;1;2;2;2;2;2;2;2;2;;;28;;;;;;;;;2;25;760.143.787.732.586
617190;1;1;90;;1;;1;2;1;2;2;2;2;2;2;20;;4;;4;;;;;;;2;25;910.530.077.891.024
617190;1;2;90;;1;;1;2;1;2;2;2;2;2;2;7;;28;;14;;;;;;;2;25;910.530.077.891.024
617190;1;5;90;;2;;1;2;2;2;2;2;2;2;2;;;28;;;;;;;;;2;25;910.530.077.891.024
617194;1;1;90;;2;;1;2;1;2;2;2;2;2;2;;;8;;8;;;;;;;2;25;67.814.498.075.783
617194;1;2;90;;2;;1;2;1;2;2;2;2;2;2;;;28;;14;;;;;;;2;25;67.814.498.075.783
617194;1;5;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;25;67.814.498.075.783
617195;1;1;90;;1;;1;2;2;2;2;2;2;2;2;24;;14;;;;;;;;;2;25;609.112.804.673.875
617195;1;2;90;;2;;1;2;2;2;2;2;2;2;2;;;35;;;;;;;;;2;25;609.112.804.673.875
617195;1;3;90;;1;;1;2;2;2;2;2;2;2;2;7;;3;;;;;;;;;2;25;609.112.804.673.875
617196;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;21;;;;;;;;;2;25;755.133.992.412.878
617196;1;2;90;;2;;1;2;2;2;2;2;2;2;2;;;3;;;;;;;;;2;25;755.133.992.412.878
617230;1;1;90;;2;;2;2;1;2;2;2;1;2;2;;;;;7;;;;1;;;2;25;60.286.463.615.243
617230;1;2;90;;2;;1;2;1;2;2;2;2;2;2;;;42;;42;;;;;;;2;25;60.286.463.615.243
617231;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;2;;;;;;;;;2;25;634.917.851.964.556
617231;1;2;90;;2;;1;1;2;2;2;2;2;2;2;;;28;3;;;;;;;;2;25;634.917.851.964.556
617232;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;25;683.454.219.333.321
617232;1;2;90;;2;;1;2;2;2;2;2;2;2;2;;;42;;;;;;;;;2;25;683.454.219.333.321
617232;1;3;90;;2;;1;2;2;2;2;2;2;2;2;;;5;;;;;;;;;2;25;683.454.219.333.321
617232;1;4;90;;2;;1;2;2;2;2;2;2;2;2;;;21;;;;;;;;;2;25;683.454.219.333.321
617232;1;5;90;;2;;1;2;2;2;2;2;2;2;2;;;3;;;;;;;;;2;25;683.454.219.333.321
617232;1;6;90;;2;;1;2;2;2;2;2;2;2;2;;;21;;;;;;;;;2;25;683.454.219.333.321
617233;1;1;90;;1;;1;2;2;2;2;2;2;2;2;4;;14;;;;;;;;;2;25;533.566.492.224.696
617234;1;1;90;;2;;1;2;1;2;2;2;2;2;2;;;3;;10;;;;;;;2;25;586.467.962.012.895
617234;1;2;90;;1;;1;2;1;2;2;2;2;2;2;3;;28;;28;;;;;;;2;25;586.467.962.012.895
617234;1;3;90;;2;;1;2;2;2;2;2;2;2;2;;;21;;;;;;;;;2;25;586.467.962.012.895
617235;1;1;90;;1;;1;2;2;2;2;2;2;2;2;7;;14;;;;;;;;;2;25;540.912.308.847.158
617235;1;2;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;25;540.912.308.847.158
617257;1;1;90;;2;;1;2;1;2;2;2;2;2;2;;;3;;12;;;;;;;2;25;589.628.166.642.597
617257;1;2;90;;2;;1;2;1;2;2;2;2;2;2;;;35;;70;;;;;;;2;25;589.628.166.642.597
617259;1;1;90;;2;;1;2;1;2;2;2;2;2;2;;;21;;21;;;;;;;2;25;462.464.137.982.757
617259;1;2;90;;2;;1;1;1;2;2;2;2;2;2;;;3;14;3;;;;;;;2;25;462.464.137.982.757
617259;1;3;90;;2;;1;2;1;2;2;2;2;2;2;;;28;;35;;;;;;;2;25;462.464.137.982.757
617259;1;4;90;;2;;1;2;2;2;2;2;2;2;2;;;2;;;;;;;;;2;25;462.464.137.982.757
617259;1;5;90;;2;;1;2;2;2;2;2;2;2;2;;;2;;;;;;;;;2;25;462.464.137.982.757
617260;1;1;90;;2;;1;2;1;2;2;2;1;2;2;;;10;;14;;;;1;;;2;25;667.638.959.505.667
617260;1;2;90;;2;;1;2;1;2;2;2;2;2;2;;;14;;36;;;;;;;2;25;667.638.959.505.667
617260;1;3;90;;2;;1;2;2;2;2;2;2;2;2;;;6;;;;;;;;;2;25;667.638.959.505.667
617261;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;3;;;;;;;;;2;25;895.436.396.061.886
617262;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;7;;;;;;;;;2;25;634.917.851.964.556
617262;1;2;90;;2;;1;2;2;2;2;2;2;2;2;;;60;;;;;;;;;2;25;634.917.851.964.556
617263;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;25;548.258.125.469.619
617263;1;2;90;;2;;1;2;2;1;2;2;2;2;2;;;14;;;36;;;;;;2;25;548.258.125.469.619
617263;1;3;90;;2;;1;2;2;1;2;2;2;2;2;;;14;;;50;;;;;;2;25;548.258.125.469.619
617264;1;1;90;;2;;1;2;2;2;2;2;2;1;2;;;1;;;;;;;8;;2;25;560.662.914.722.214
617264;1;2;90;;1;;1;2;1;2;2;2;2;2;2;7;;36;;24;;;;;;;2;25;560.662.914.722.214
617264;1;3;90;;1;;1;2;2;2;2;2;2;2;2;7;;36;;;;;;;;;2;25;560.662.914.722.214
617264;1;4;90;;2;;1;2;2;2;2;1;2;2;2;;;21;;;;;1;;;;2;25;560.662.914.722.214
618057;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;63;914.055.060.360.713
