DIRECTORIO,SECUENCIA_P,ORDEN,AREA,REGIS,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S8,P7420S7A1,P7422,P7422S1,P9460,DSI,OFICIO1,OFICIO2,RAMA4D_D,RAMA2D_D,DPTO,fex_c_2011
612004,1,3,13,70,48,48,1,,2,52,3,,1,4,,,,,,,,,,1,,2,,2,1,55,54,9500,95,13,350.369.675.761.602
612004,1,4,13,70,156,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,54,,,,13,350.369.675.761.602
612006,1,2,13,70,104,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,45,,,,13,620.367.035.786.091
612006,1,3,13,70,52,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,45,,,,13,620.367.035.786.091
612008,1,4,13,70,26,48,3,,2,52,3,,1,1,,,,,,,,,,1,,2,,2,1,54,54,9500,95,13,277.136.113.523.913
612010,1,3,13,70,104,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,45,,,,13,285.635.611.417.859
612012,1,2,13,70,12,48,1,,2,12,1,,9,2,,,,,,,,,,1,,2,,2,1,45,45,5234,52,13,321.867.567.220.217
612020,1,3,13,70,12,48,1,,2,12,1,,4,2,,,,,,,,,,1,,2,,2,1,13,13,8046,80,13,637.369.476.122.885
612031,1,2,13,70,20,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,58,,,,13,565.073.778.550.686
612033,1,2,13,70,52,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,11,,,,13,252.333.947.866.526
612036,1,3,13,70,104,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,13,,,,13,300.529.727.792.046
612040,1,2,13,70,8,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,21,,,,13,206.200.485.181.587
612043,1,4,13,70,40,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,11,,,,13,261.746.096.194.511
612133,1,2,17,70,108,48,1,,2,108,1,,9,4,,,,,,,,,,1,,2,,2,1,81,58,4010,40,17,125.236.032.753.398
