DIRECTORIO,SECUENCIA_P,ORDEN,AREA,REGIS,P7495,P7500,P7500S1,P7500S2,P7500S3A1,P7500S2A1,P7500S1A1,P7500S3,P7505,P7510S3,P7510S4,P7510S6,P7510S2A1,P7510S4A1,P7510S6A1,P7510S5A1,P7510S3A1,P7510S1A1,P7510S5,P7510S1,P7510S2,P7510S7A1,P7510S7,DPTO,fex_c_2011
676573,1,1,5,95,1,,2,1,,500000,,2,2,,,,,,,,,,,,,,,5,671.457.280.561.973
676573,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,671.457.280.561.973
676574,1,1,5,95,2,,,,,,,,1,2,,2,,,,,,200000,2,1,2,,2,5,824.543.668.681.635
676576,1,1,5,95,1,,2,1,,464000,,2,2,,,,,,,,,,,,,,,5,720.567.282.963.594
676576,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,720.567.282.963.594
676578,1,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,719.976.970.360.051
676578,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,719.976.970.360.051
676578,1,3,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,719.976.970.360.051
676579,1,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,881.664.307.373.023
676579,1,2,5,95,2,,,,,,,,1,2,,2,,,,,,1200000,2,1,2,,2,5,881.664.307.373.023
676579,1,3,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,881.664.307.373.023
676580,1,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,9.111.918.760.982
676580,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,9.111.918.760.982
676580,1,3,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,9.111.918.760.982
676580,1,4,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,9.111.918.760.982
676580,1,5,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,9.111.918.760.982
676581,1,1,5,95,2,,,,,,,,1,2,,2,,,,,,1200000,2,1,2,,2,5,713.751.364.220.745
676581,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,713.751.364.220.745
676583,1,1,5,95,1,,1,2,,,750000,2,2,,,,,,,,,,,,,,,5,203.215.155.334.485
676583,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,203.215.155.334.485
676583,1,3,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,203.215.155.334.485
676584,1,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,144.852.716.720.163
676584,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,144.852.716.720.163
676585,1,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,17.460.376.358.523
676586,1,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,145.392.071.055.334
676586,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,145.392.071.055.334
676586,1,3,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,145.392.071.055.334
676586,1,4,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,145.392.071.055.334
676587,1,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,863.568.269.624.437
676587,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,863.568.269.624.437
676587,1,3,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,863.568.269.624.437
676588,1,1,5,95,2,,,,,,,,1,2,,2,,,,,,40000,2,1,2,,2,5,61.300.665.165.564
676588,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,61.300.665.165.564
676588,1,3,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,61.300.665.165.564
676589,1,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,781.924.271.171.488
676589,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,781.924.271.171.488
676590,1,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,994.133.238.661.891
676591,1,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,817.863.741.771.452
676591,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,817.863.741.771.452
676593,1,1,5,95,2,,,,,,,,1,2,,2,,,,,,3600000,2,1,2,,2,5,713.751.364.220.745
676593,1,2,5,95,2,,,,,,,,1,2,,2,,,,,,300000,2,1,2,,2,5,713.751.364.220.745
676594,1,1,5,95,2,,,,,,,,1,2,,2,,,,,,100000,2,1,2,,2,5,766.115.006.940.239
676595,1,1,5,95,1,,2,1,,400000,,2,2,,,,,,,,,,,,,,,5,774.066.896.046.623
676596,1,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,76.553.588.774.281
676596,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,76.553.588.774.281
676599,1,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,951.830.695.128.945
676599,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,951.830.695.128.945
676600,1,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,685.647.357.670.258
676600,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,685.647.357.670.258
676600,1,3,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,685.647.357.670.258
676601,1,1,5,95,2,,,,,,,,1,2,,2,,,,,,500000,2,1,2,,2,5,830.332.403.518.547
676603,1,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,643.019.675.974.978
676603,1,2,5,95,2,,,,,,,,1,2,,1,,,55000,,,,2,2,2,,2,5,643.019.675.974.978
676603,1,3,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,643.019.675.974.978
676604,1,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,69.548.914.831.648
676604,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,69.548.914.831.648
676604,1,3,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,69.548.914.831.648
676605,1,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,653.328.804.019.573
676605,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,653.328.804.019.573
676605,1,3,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,653.328.804.019.573
676606,1,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,611.274.289.344.673
676606,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,611.274.289.344.673
676606,1,3,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,611.274.289.344.673
676606,1,4,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,611.274.289.344.673
676607,1,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,147.075.102.263.345
676607,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,147.075.102.263.345
676607,1,3,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,147.075.102.263.345
676607,1,5,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,147.075.102.263.345
676607,1,6,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,147.075.102.263.345
676607,1,7,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,147.075.102.263.345
676608,1,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,159.271.270.021.876
676608,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,159.271.270.021.876
676608,1,6,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,159.271.270.021.876
676608,1,7,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,159.271.270.021.876
676609,1,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,142.905.097.439.676
676610,1,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,227.154.618.434.397
676610,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,227.154.618.434.397
676610,1,3,5,95,2,,,,,,,,1,2,,1,,,45000,,,,2,2,2,,2,5,227.154.618.434.397
676610,1,4,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,227.154.618.434.397
676610,1,5,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,227.154.618.434.397
676610,1,7,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,227.154.618.434.397
676610,1,8,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,227.154.618.434.397
676611,1,1,5,95,2,,,,,,,,1,2,,1,,,60000,,,,2,2,2,,2,5,858.305.783.409.063
676611,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,858.305.783.409.063
676611,1,3,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,858.305.783.409.063
676612,1,1,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,804.103.948.756.595
676612,1,2,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,804.103.948.756.595
676612,1,3,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,804.103.948.756.595
676612,1,4,5,95,2,,,,,,,,2,,,,,,,,,,,,,,,5,804.103.948.756.595
676613,1,1,5,95,2,,,,,,,,1,2,,1,,,60000,,,,2,2,2,,2,5,816.145.439.112.156
