DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;CLASE;P5070;DPTO;ORDEN;fex_c_2011
677496;1;2;2;2;1;1;1;4;1;;;20000000;200000;;2;2;2;2;1;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;5;3;1;2;2;1;1;2;2;1;1;2;3;25;1;512.585.621.753.567
682255;1;3;3;2;1;1;1;6;1;;;30000000;200000;;1;2;2;2;2;1;1;2;2;1;1;2;2;2;2;2;2;1;2;2;2;1;2;3;2;1;2;2;1;1;2;2;1;1;2;1;25;1;632.253.727.061.094
682256;1;3;2;1;1;1;1;4;4;;;;250000;;2;2;2;2;1;1;1;2;2;1;1;1;1;1;2;2;2;1;2;2;2;1;1;1;2;1;2;1;1;1;2;2;1;1;2;1;25;1;284.912.550.619.857
682258;1;3;2;2;1;1;1;4;1;;;8000000;250000;;1;2;1;1;1;1;1;2;2;2;1;2;1;1;1;2;2;2;2;2;2;1;1;1;2;1;2;2;1;1;2;2;1;1;2;1;25;1;552.087.705.540.958
682271;1;3;2;2;1;1;1;4;1;;;5000000;300000;;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;2;1;2;2;1;1;2;2;1;1;2;1;25;1;570.744.859.048.533
682286;1;3;2;2;1;1;1;4;3;;;;;300000;2;2;2;2;1;1;1;1;2;1;1;1;1;2;2;2;2;1;2;2;2;1;1;1;2;1;2;2;2;1;2;;1;1;2;1;25;1;619.622.067.078.462
682289;1;2;1;2;2;4;1;5;4;;;;300000;;1;2;2;2;1;1;2;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;1;2;;1;1;2;1;25;1;355.033.358.411.153
682289;2;1;1;2;2;4;1;5;4;;;;300000;;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;1;1;2;;25;1;355.033.358.411.153
682289;3;2;1;2;2;4;1;5;4;;;;300000;;1;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;3;;;;;;;;;;;1;1;2;;25;1;355.033.358.411.153
684288;1;4;2;2;1;4;3;4;4;;;;300000;;2;2;2;2;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;2;4;;;1;2;1;50;1;462.161.159.991.441
684290;1;3;2;2;2;4;3;4;4;;;;100000;;2;2;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;1;1;2;1;2;2;2;2;4;;;1;2;3;50;1;127.599.891.278.981
684290;2;3;1;2;2;4;3;4;4;;;;90000;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;2;;50;1;127.599.891.278.981
684294;1;3;2;2;1;4;3;4;4;;;;200000;;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;1;1;2;1;2;2;2;2;3;;;1;2;1;50;1;961.050.192.411.668
684298;1;1;1;2;1;4;3;;4;;;;40000;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;4;1;2;1;2;2;2;2;4;;;1;2;6;50;1;144.604.682.374.372
684300;1;3;2;2;1;4;4;4;4;;;;300000;;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;1;1;4;1;2;2;2;2;4;;;1;2;1;50;1;127.599.891.278.981
684304;2;1;1;2;2;4;4;;4;;;;50000;;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;2;;;;;;;;;;;;1;2;;50;1;144.604.682.374.372
684306;1;2;1;2;2;4;4;4;4;;;;180000;;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;4;1;2;1;2;2;2;2;2;;;1;2;1;50;1;138.937.807.801.976
684311;1;3;1;2;1;4;4;4;4;;;;100000;;1;2;2;2;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;2;2;;;1;2;1;50;1;133.274.657.961.336
684312;1;3;1;2;1;4;4;4;1;;;3000000;150000;;2;1;2;2;1;1;1;2;2;2;1;1;1;2;1;2;1;2;1;2;1;1;1;1;2;1;2;2;2;2;2;;;1;2;1;50;1;1.239.465.164.737
684315;1;7;1;2;1;4;3;4;1;;;60000000;200000;;2;2;2;1;1;1;1;1;2;2;1;2;1;2;2;2;1;1;2;1;1;1;1;1;2;1;2;2;2;2;4;;;1;2;1;50;1;66.751.174.496.211
684316;1;1;1;2;2;4;3;4;4;;;;50000;;1;2;2;2;2;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;4;1;2;1;2;2;2;2;4;;;1;2;1;50;1;154.565.308.496.588
684317;1;2;2;2;1;4;3;4;4;;;;80000;;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;1;1;2;2;2;1;1;1;2;1;2;2;2;2;1;;;1;2;2;50;1;106.783.435.123.652
684321;1;4;1;2;2;4;3;4;4;;;;300000;;2;2;2;2;1;1;1;2;2;2;1;1;1;2;2;2;2;2;1;2;2;1;1;1;2;1;2;2;2;2;4;;;1;2;1;50;1;10.338.608.407.956
684324;1;2;1;2;1;4;4;5;4;;;;30000;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;1;1;5;2;2;2;2;2;2;;;;1;2;1;50;1;174.117.083.924.384
692941;1;6;3;3;1;4;6;5;1;;;8000000;150000;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;5;2;2;2;2;2;2;;;;1;2;1;18;1;113.808.813.473.342
