DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6016;P6020;P6030;P6030S1;P6030S3;P6040;P6050;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210S1;P6220;AREA;ESC;DPTO;fex_c_2011
885441;1;1;1;10;1;1;1;5;1952;56;1;3;1;;;1;5;;2;1;2;;6;4;4;5;15;5;286.653.036.871.753
885441;1;2;1;10;2;2;1;4;1960;48;2;3;1;;;1;1;300000;2;1;2;;6;10;5;5;21;5;286.653.036.871.753
885441;1;3;1;10;1;1;1;9;1990;18;3;6;1;;;1;5;;2;1;1;2;6;0;2;5;11;5;286.653.036.871.753
885441;1;4;1;10;1;1;1;12;1994;13;3;6;1;;;1;5;;2;1;1;2;4;6;;5;6;5;286.653.036.871.753
885442;1;1;1;10;1;2;1;4;1956;52;1;5;1;;;1;2;160000;2;1;2;;6;7;5;5;18;5;299.431.290.848.182
885442;1;2;1;10;2;1;1;9;1983;25;3;6;1;;;1;3;90000;2;1;1;1;6;7;4;5;18;5;299.431.290.848.182
885442;1;3;1;10;3;2;1;1;1986;22;3;6;1;;;1;5;;2;1;1;2;6;4;2;5;15;5;299.431.290.848.182
885443;1;1;1;10;1;2;1;10;1971;36;1;3;1;;;1;3;64000;2;1;2;;6;7;5;5;18;5;316.439.526.951.984
885443;1;2;1;10;2;1;1;11;1972;35;2;3;1;;;1;3;80000;2;1;2;;6;8;5;5;19;5;316.439.526.951.984
885443;1;3;1;10;1;1;1;3;2000;8;3;;1;;;1;5;;2;1;1;2;3;1;;5;1;5;316.439.526.951.984
885443;1;4;1;10;1;2;1;3;2003;5;3;;1;;;1;5;;2;2;1;2;1;0;;5;0;5;316.439.526.951.984
885443;1;5;1;10;5;2;1;7;1942;66;5;6;1;;;1;2;57700;2;1;2;;3;5;;5;5;5;316.439.526.951.984
885444;1;1;1;10;1;1;1;10;1978;29;1;3;1;;;1;3;108800;2;1;2;;5;11;2;5;11;5;340.652.272.679.716
