DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;CLASE;P5070;DPTO;ORDEN;fex_c_2011
905054;1;2;1;2;1;4;6;5;1;;;1000000;30000;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;1;4;1;1;2;2;2;2;1;;;1;2;5;13;1;378.198.094.805.662
905058;1;3;2;4;1;4;6;5;1;;;2000000;10000;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;1;4;1;1;2;2;2;2;1;;;1;2;5;13;1;354.467.664.748.115
905062;1;1;1;6;;4;6;5;4;;;;100000;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;5;1;2;2;2;2;2;;;;1;2;5;13;1;358.332.247.078.649
905063;1;2;1;4;1;4;6;5;1;;;60000000;500000;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;4;2;2;2;2;2;2;;;;1;2;5;13;1;238.297.165.577.728
905064;1;4;2;2;1;2;5;5;4;;;;30000;;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;4;2;1;2;2;2;2;1;;;1;2;5;13;1;577.623.585.190.997
905066;1;3;2;3;1;4;5;5;4;;;;30000;;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;2;2;2;2;1;;;1;2;5;13;1;343.606.209.188.499
905068;1;2;1;6;;4;10;5;1;;;40000000;200000;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;5;1;2;2;2;2;2;;;;1;2;5;13;1;238.297.165.577.728
905069;1;1;1;6;;4;10;5;1;;;50000000;500000;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;5;1;2;2;2;2;2;;;;1;2;5;13;1;50.461.730.384.736
905127;1;3;1;4;1;4;5;5;4;;;;5000;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2;2;2;2;;;;1;2;5;13;1;238.297.165.577.728
905128;1;5;2;4;1;4;5;5;4;;;;10000;;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;2;9;;;1;2;5;13;1;238.297.165.577.728
905129;1;4;2;2;1;4;10;4;4;;;;100000;;2;2;2;1;1;2;1;2;2;2;1;2;2;2;2;2;1;1;2;2;2;1;1;1;2;1;2;2;2;2;1;;;1;2;1;13;1;272.388.462.176.847
905131;1;2;2;6;;4;9;5;4;;;;100000;;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1;1;2;1;2;2;2;2;1;;;1;2;5;13;1;149.138.275.560.291
905143;1;4;3;2;1;4;6;5;1;;;5000000;30000;;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;1;2;2;2;2;1;1;1;2;1;2;2;2;2;1;;;1;2;5;13;1;688.942.192.350.995
905149;1;2;2;6;;4;5;5;1;;;6000000;100000;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;1;2;2;2;2;2;;;;1;2;5;13;1;238.297.165.577.728
905151;1;2;1;6;;4;5;5;4;;;;80000;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;5;1;2;2;2;2;2;;;;1;2;5;13;1;240.070.163.001.841
905154;1;2;2;6;;4;4;5;1;;;3000000;40000;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;1;4;1;1;2;2;2;2;1;;;1;2;5;13;1;30.193.742.865.929
905156;1;3;2;6;;3;5;5;1;;;4000000;20000;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;1;4;1;1;2;2;2;2;1;;;1;2;5;13;1;659.199.650.583.717
905159;1;2;1;6;;4;6;5;4;;;;20000;;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;4;1;1;2;2;2;2;1;;;1;2;5;13;1;496.047.519.798.277
905163;1;1;1;6;;4;5;5;4;;;;90000;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;5;1;2;2;2;2;2;;;;1;2;5;13;1;379.482.910.131.825
905165;1;1;1;6;;4;5;5;1;;;3000000;30000;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;5;1;2;2;2;2;2;;;;1;2;5;13;1;240.070.163.001.841
905236;1;2;1;6;;2;5;5;4;;;;10000;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;4;1;2;2;2;2;2;;;;1;2;4;13;1;358.332.247.078.649
905237;1;3;1;6;;2;5;5;5;;;;10000;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;4;1;2;2;2;2;2;;;;1;2;5;13;1;238.297.165.577.728
905238;1;4;2;4;1;4;9;5;4;;;;150000;;2;2;2;2;1;1;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1;5;2;1;2;2;2;2;1;;;1;2;5;13;1;209.259.067.135.078
905240;1;3;2;6;;4;9;5;4;;;;100000;;2;2;2;2;1;2;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;1;1;1;2;1;2;2;2;2;1;;;1;2;5;13;1;197.467.133.458.816
905248;1;2;1;6;;3;5;5;4;;;;30000;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;1;4;1;1;2;2;2;2;1;;;1;2;5;13;1;476.181.672.071.264
905250;1;3;2;3;1;3;5;5;4;;;;20000;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;1;1;1;1;2;2;2;2;1;;;1;2;5;13;1;255.237.302.262.923
905257;1;2;1;2;1;3;4;5;1;;;5000000;30000;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;1;4;2;1;2;2;2;2;1;;;1;2;5;13;1;467.698.402.957.765
905258;1;2;1;2;1;3;4;5;3;;;;;30000;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;1;4;1;1;2;2;2;2;1;;;1;2;5;13;1;461.455.634.181.115
905260;1;1;1;6;;4;4;5;1;;;8000000;50000;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;4;1;2;2;2;2;2;;;;1;2;5;13;1;238.297.165.577.728
905263;1;2;1;2;1;4;4;5;3;;;;;30000;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;1;1;2;1;2;2;2;2;1;;;1;2;5;13;1;448.666.681.366.149
905264;1;3;2;2;1;4;4;5;1;;;12000000;100000;;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;1;1;2;1;2;2;2;2;1;;;1;2;5;13;1;836.656.206.577.204
905266;1;2;1;6;;4;4;5;1;;;8000000;150000;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;4;1;2;2;2;2;2;;;;1;2;5;13;1;238.297.165.577.728
905268;1;1;1;6;;4;4;5;1;;;5000000;50000;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;4;1;2;2;2;2;2;;;;1;2;5;13;1;238.297.165.577.728
905269;1;1;1;6;;4;4;5;1;;;6000000;60000;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;1;1;4;1;2;2;2;2;2;;;;1;2;5;13;1;238.297.165.577.728
905318;1;3;2;4;1;3;5;5;4;;;;30000;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2;2;2;2;;;;1;2;5;13;1;321.000.687.104.861
905320;1;4;3;2;1;4;4;4;4;;;;150000;;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1;1;4;1;2;2;2;2;1;;;1;2;1;13;1;306.417.496.989.699
905322;1;1;1;2;1;4;4;;4;;;;80000;;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1;1;2;1;2;2;2;2;1;;;1;2;6;13;1;148.596.314.823.909
905330;1;2;1;2;1;4;4;5;1;;;5000000;30000;;2;2;2;2;2;1;2;2;2;2;1;1;2;2;2;2;1;2;2;2;2;1;1;4;1;1;2;2;2;2;1;;;1;2;5;13;1;419.390.194.995.336
905332;1;2;1;2;1;4;4;5;3;;;;;30000;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1;4;1;1;2;2;2;2;1;;;1;2;5;13;1;379.482.910.131.825
905526;1;3;3;6;;4;2;5;1;;;98;98;;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;2;1;;;1;2;1;15;1;129.547.336.457.394
905528;1;3;3;2;1;4;6;5;5;;;;98;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2;2;2;2;1;;;1;2;1;15;1;19.156.317.154.676
905533;1;2;2;6;;4;1;5;3;;;;;50000;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;1;3;2;1;2;2;2;1;2;;2;1;2;1;15;1;167.242.293.999.581
