DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6016;P6020;P6030;P6030S1;P6030S3;P6040;P6050;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210S1;P6220;CLASE;ESC;DPTO;fex_c_2011
861018;1;1;1;10;1;1;1;1;1978;30;1;2;1;;;1;1;18460;2;1;2;;4;8;;2;8;25;334.745.976.386.261
861018;1;2;1;10;2;2;1;6;1980;28;2;2;1;;;1;5;;2;1;2;;3;5;;2;5;25;334.745.976.386.261
861018;1;3;1;10;2;1;1;5;2004;4;3;;1;;;1;5;;2;2;2;;1;0;;2;0;25;334.745.976.386.261
861019;1;1;1;10;1;2;1;7;1968;40;1;3;1;;;1;5;;2;1;2;;3;4;;2;4;25;320.750.789.323.937
861019;1;2;1;10;2;2;1;5;1987;21;3;6;1;;;1;3;57700;2;1;2;;6;2;3;2;13;25;320.750.789.323.937
861019;1;3;1;10;1;2;1;5;2008;0;3;;1;;;1;5;;2;;;;;;;2;;25;320.750.789.323.937
861020;1;1;1;10;1;2;1;10;1940;67;1;6;1;;;3;;;2;1;2;;3;5;;2;5;25;417.998.505.437.391
861020;1;2;1;10;2;1;1;7;1976;32;3;6;1;;;3;;;2;1;2;;3;2;;2;2;25;417.998.505.437.391
861021;1;1;1;10;1;1;1;10;1956;51;1;2;1;;;3;;;2;1;2;;3;3;;2;3;25;377.446.123.013.746
861021;1;2;1;10;2;2;1;10;1966;41;2;2;1;;;3;;;2;1;2;;3;2;;2;2;25;377.446.123.013.746
861021;1;3;1;10;3;1;1;12;1993;14;3;6;1;;;3;;;2;1;1;1;3;4;;2;4;25;377.446.123.013.746
861022;1;1;1;10;1;2;1;4;1958;50;1;3;1;;;3;;;2;1;2;;3;5;;2;5;25;323.142.868.678.548
861022;1;2;1;10;2;1;1;12;1988;19;3;6;1;;;3;;;2;1;2;;5;11;2;2;11;25;323.142.868.678.548
861022;1;3;1;10;3;2;1;11;1992;15;3;6;1;;;3;;;2;1;1;1;4;9;;2;9;25;323.142.868.678.548
861022;1;4;1;10;4;1;1;3;1997;11;3;6;1;;;3;;;2;1;1;1;3;4;;2;4;25;323.142.868.678.548
861023;1;1;1;10;1;1;1;9;1946;62;1;3;1;;;3;;;2;1;2;;3;3;;2;3;25;202.289.522.110.527
861023;1;2;1;10;2;2;1;6;1955;53;2;3;1;;;3;;;2;1;2;;3;3;;2;3;25;202.289.522.110.527
861024;1;1;1;10;1;1;1;1;1988;20;1;2;1;;;1;1;28000;2;1;2;;3;5;;2;5;25;471.822.280.079.942
861024;1;2;1;10;2;2;1;5;1985;23;2;2;1;;;1;5;;2;1;2;;3;5;;2;5;25;471.822.280.079.942
861024;1;3;1;10;2;1;1;4;2007;1;3;;1;;;1;5;;2;;;;;;;2;;25;471.822.280.079.942
861025;1;1;1;10;2;1;1;8;1942;66;1;3;1;;;1;2;57700;2;1;2;;3;3;;2;3;25;286.316.273.037.765
861025;1;2;1;10;2;2;1;11;1950;57;2;3;1;;;1;5;;2;1;2;;3;5;;2;5;25;286.316.273.037.765
861025;1;3;1;10;2;2;1;1;1988;20;9;6;2;2;;;;;2;2;2;;1;0;;2;0;25;286.316.273.037.765
861026;1;1;1;10;1;1;1;1;1965;43;1;3;1;;;1;1;28000;2;1;2;;3;5;;2;5;25;377.446.123.013.746
861026;1;2;1;10;2;2;1;5;1971;37;2;3;1;;;1;5;;2;1;2;;3;3;;2;3;25;377.446.123.013.746
861026;1;3;1;10;3;1;1;8;1992;16;3;6;1;;;1;5;;2;1;1;1;4;8;;2;8;25;377.446.123.013.746
861028;1;1;1;10;1;1;1;5;1964;44;1;2;1;;;1;1;28000;2;1;2;;3;1;;2;1;25;311.389.831.671.024
861028;1;2;1;10;2;2;1;1;1965;43;2;2;1;;;1;5;;2;1;2;;3;4;;2;4;25;311.389.831.671.024
861028;1;3;1;10;3;2;1;10;1995;12;3;6;1;;;1;5;;2;1;1;1;4;7;;2;7;25;311.389.831.671.024
861028;1;4;1;10;2;1;1;3;2008;0;3;;1;;;1;5;;2;;;;;;;2;;25;311.389.831.671.024
861028;1;5;1;10;4;2;1;4;1989;19;3;1;1;;;1;5;;2;1;2;;5;11;2;2;11;25;311.389.831.671.024
861028;1;6;1;10;5;1;1;4;2008;0;4;;1;;;1;5;;2;;;;;;;2;;25;311.389.831.671.024
861029;1;1;1;10;1;1;1;4;1933;75;1;3;1;;;1;2;57700;2;2;2;;1;0;;2;0;25;310.446.639.629.109
861029;1;2;1;10;2;2;1;2;1936;72;2;3;1;;;1;5;;2;2;2;;1;0;;2;0;25;310.446.639.629.109
861030;1;1;1;10;1;1;1;1;1983;25;1;2;1;;;1;1;48000;2;1;2;;5;11;2;2;11;25;526.899.756.291.248
861030;1;2;1;10;2;2;1;10;1984;23;2;2;1;;;1;5;;2;1;2;;5;11;2;2;11;25;526.899.756.291.248
861030;1;3;1;10;1;1;1;12;2005;2;3;;1;;;1;5;;2;;;;;;;2;;25;526.899.756.291.248
861030;1;4;1;10;1;1;1;10;2007;0;3;;1;;;1;5;;2;;;;;;;2;;25;526.899.756.291.248
861031;1;1;1;10;1;1;1;8;1971;37;1;2;1;;;1;1;52000;2;1;2;;3;5;;2;5;25;334.745.976.386.261
861031;1;2;1;10;2;2;1;9;1979;29;2;2;1;;;1;5;;2;1;2;;3;5;;2;5;25;334.745.976.386.261
861031;1;3;1;10;2;1;1;6;2004;4;3;;1;;;1;5;;2;2;2;;1;0;;2;0;25;334.745.976.386.261
861032;1;1;1;10;1;1;1;7;1954;54;1;3;1;;;1;1;18460;2;1;2;;3;2;;2;2;25;377.446.123.013.746
861032;1;2;1;10;2;2;1;2;1961;47;2;3;1;;;1;5;;2;1;2;;3;2;;2;2;25;377.446.123.013.746
