DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7430;P7440;P7450;P7450S1;P7460;P7470;P7472;P7472S1;P7454;P7456;P7458S1;P7458;P7452;INI;DPTO;fex_c_2011
1010018;1;3;1;80;05;1;2;1; ;2; ;2; ; ; ; ;2;2;1;05;1175,99796240271
1010018;1;4;1;80;05;1;2;1; ;2; ;2; ; ; ; ;2;2;1;05;1175,99796240271
1010019;1;1;1;80;05;1;1;1; ;2; ;2; ; ; ; ;2;2;1;05;1149,74876862519
1010019;1;2;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;1149,74876862519
1010020;1;5;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;908,32684011473
1010021;1;2;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;917,327007194806
1010022;1;2;1;80;05;1;4;3; ;2; ;2; ; ; ; ;4;2;1;05;1194,82421570455
1010023;1;1;1;80;05;1;1;5; ;2; ;1;130000; ; ; ;3;2;1;05;1149,74876862519
1010026;1;4;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;908,412831763243
1010026;1;5;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;908,412831763243
1010027;1;2;1;80;05;2; ; ; ;2; ;2; ;1;3; ;9; ;1;05;1083,45579098246
1010029;1;2;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;917,327007194806
1010030;1;3;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;1056,17463048996
1010032;1;1;1;80;05;1;4;4; ;3; ;2; ; ; ; ;8;2;1;05;1247,57187745447
1010032;1;2;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;1247,57187745447
1010034;1;1;1;80;05;1;1;2; ;2; ;2; ; ; ; ;9;2;1;05;979,486217255615
1010036;1;3;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;794,474011806919
1010038;1;2;1;80;05;1;2;2; ;2; ;2; ; ; ; ;9;2;1;05;1112,91289981409
1010041;1;3;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;785,559836375357
1010041;1;4;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;785,559836375357
