DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7430;P7440;P7450;P7450S1;P7460;P7470;P7472;P7472S1;P7454;P7456;P7458S1;P7458;P7452;INI;DPTO;fex_c_2011
1016138;1;3;1;80;2;2; ; ; ;2; ;2; ;1;1;por embarazo;12; ;1;05;1054,69473306538
1016138;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;1054,69473306538
1016138;1;5;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;1054,69473306538
1016138;1;6;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;1054,69473306538
1016139;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;3882,68242314102
1016139;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;3882,68242314102
1016139;1;5;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;3882,68242314102
1016139;1;6;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;3882,68242314102
1016139;1;7;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;3882,68242314102
1016139;1;8;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;3882,68242314102
1016141;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;937,266300173418
1016142;1;1;1;80;2;2; ; ; ;2; ;2; ;1;4; ;6; ;1;05;1644,54531024812
1016142;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;1644,54531024812
1016362;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;6150,82757003968
1016369;1;2;1;80;2;2; ; ; ;2; ;2; ;1;2; ;9; ;1;05;1523,55918762284
1016370;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;743,32374774406
1016370;1;5;1;80;2;1;2;1; ;2; ;2; ; ; ; ;2;2;1;05;743,32374774406
1016374;1;7;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;1909,80181441102
1016374;1;8;1;80;2;1;2;7; ;2; ;2; ; ;1;viajara a vivir en panama;12;1;1;05;1909,80181441102
1016374;1;9;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;1909,80181441102
1016376;1;2;1;80;2;1;1;2; ;2; ;2; ; ;1; ;1;1;1;05;5148,13145133658
1016377;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;4763,25936086314
1016377;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;4763,25936086314
1016377;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;4763,25936086314
1016378;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;5947,61144291676
1016381;1;1;1;80;2;1;4;3; ;2; ;2; ; ; ; ;4;2;1;05;5578,67490259518
1016382;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;8799,02158642045
1016382;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;8799,02158642045
1016382;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;8799,02158642045
1016382;1;5;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;8799,02158642045
1016383;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;3522,54466549798
1016383;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;3522,54466549798
1016383;1;5;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;3522,54466549798
1016402;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;3107,73119211415
1016403;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;1506,92690868682
1016403;1;4;1;80;2;1;4;6; ;2; ;2; ; ; ; ;4;2;1;05;1506,92690868682
1016405;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;1659,61552296538
1016407;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;671,622812125809
1016407;1;6;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;671,622812125809
1016407;1;7;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;671,622812125809
1016408;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;1994,54045315196
1016410;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;1285,3594071648
1016410;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;1285,3594071648
1016413;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;7861,02425537067
1016416;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;1624,9437808256
1016417;1;2;1;80;2;2; ; ; ;2; ;2; ;1;3; ;1; ;1;05;937,266300173418
1016418;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;1186,7736517826
1016418;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;1186,7736517826
1016418;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;1186,7736517826
1016424;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;7119,54164482002
1016426;1;2;1;80;2;1;1;5; ;2; ;2; ; ; ; ;9;2;1;05;3897,6377343058
1016426;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;3897,6377343058
1016426;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;3897,6377343058
1016427;1;1;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;5578,67490259518
1016431;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;57,1625663303034
1016431;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;57,1625663303034
1016431;1;5;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;57,1625663303034
1016439;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;4255,93989726357
1016442;1;6;1;80;2;1;3;7; ;2; ;2; ; ; ; ;2;2;1;05;9068,59487507782
1016443;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;4214,04964934366
1016444;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;3847,81876531107
1016444;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;3847,81876531107
1016444;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;3847,81876531107
1016444;1;5;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;3847,81876531107
1016446;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;4827,41152828775
1016446;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;4827,41152828775
1016446;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;4827,41152828775
1016447;1;1;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;05;4657,02320801439
1016447;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;4657,02320801439
1016447;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;4657,02320801439
1016447;1;5;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;4657,02320801439
1016448;1;5;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;5902,35867016547
1016473;1;2;1;80;2;1;4;2; ;2; ;2; ; ; ; ;9;2;1;05;3337,70762272874
1016474;1;1;1;80;2;1;4;5; ;3; ;2; ; ; ; ;8;2;1;05;4159,56382737656
