DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P9460;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;DPTO;fex_c_2011
1030230;1;3;1;70;05;10;48;1; ;2;18;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;45;52;1;1;5233;05;1016,70444934317
1030239;1;1;1;70;05;3;48;1; ;2;4;1; ;6;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;21;29;1;1;2925;05;1124,23746932557
1030239;1;3;1;70;05;4;24;4; ;2;4;4; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;13;80;1;1;8050;05;1124,23746932557
1030246;1;2;1;70;05;48;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;32; ; ;1;2; ;05;1005,20762284873
1030247;1;5;1;70;05;32;48;1; ;2;48;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5236;05;1066,03746906465
1030254;1;4;1;70;05;24;48;1; ;2;24;1; ;9;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;00;38;64;1;2;6421;05;978,127326558293
1030255;1;3;1;70;05;24;48;1; ;2;52;4; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;03;79;18;1;2;1810;05;924,211637321918
1030260;1;1;1;70;05;156;48;1; ;2;250;4; ;9;1; ; ;1; ; ; ; ; ; ; ; ;2; ;2;03;85;64;1;2;6421;05;1122,7303253038
1030261;1;1;1;70;05;24;48;4; ;2;24;4; ;1;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;98;98;60;1;2;6031;05;1057,25018559773
1030265;1;2;1;70;05;52;24;1; ;2;98;1; ;9;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;32;75;1;2;7523;05;1016,70444934317
1030265;1;3;1;70;05;200;24;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;2; ;05;1016,70444934317
