DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;CLASE;DPTO;ORDEN;fex_c_2011
1035895;1;3;2;2;1;4;5;1;4;1; ; ;2000000;50000; ;2;1;2;1;1;2;1;2;2;2;1;2;2;1;2;2;1;1;1;2;2;1;1;5;2;1;2;2;2;2;1; ; ;01;2;23;1;2103,07579211077
1035896;1;2;2;6; ;4;4;1;5;4; ; ; ;30000; ;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;4;1;1;2;2;2;2;0; ; ;01;2;23;1;2104,49942599233
1035897;1;2;2;6; ;4;4;1;5;1; ; ;1000000;30000; ;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;1;5;1;1;2;2;2;2;1; ; ;01;2;23;1;1694,56379452837
1035898;1;4;1;6; ;4;4;6; ;1; ; ;2000000;20000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;1;5;1;1;2;2;2;2;1; ; ;01;2;23;1;1892,71633970279
1035915;1;2;2;6; ;4;4;1;5;1; ; ;1500000;50000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;1;5;1;1;2;2;2;2;1; ; ;01;2;23;1;2348,92074581671
1035916;1;2;2;6; ;4;4;1;5;1; ; ;800000;50000; ;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;1;5;1;1;2;2;2;2;1; ; ;01;2;23;1;3410,6958613566
1035917;1;3;2;2;1;4;4;1;5;1; ; ;3000000;70000; ;2;2;2;1;1;1;2;2;2;2;1;1;2;2;2;2;2;1;2;2;2;1;1;5;1;1;2;2;2;2;1; ; ;01;2;23;1;3067,3473847901
1035918;1;1;1;6; ;4;4;1;5;1; ; ;2500000;50000; ;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;5;1;1;2;2;2;2;0; ; ;01;2;23;1;1920,99561059858
1038299;1;4;1;2;1;4;1;1;4;1; ; ;98;50000; ;2;2;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;4;1;2;2;2;1;1; ;2;01;2;15;1;2004,72343048727
1038300;1;3;3;2;1;4;1;1;6;1; ; ;98;25000; ;2;2;2;2;2;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;1;2; ;2;01;2;15;1;1496,71970058419
