DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P9460;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;DPTO;fex_c_2011
1161217;1;4;1;70;05;32;48;1; ;2;32;1; ;9;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;97;98;45;1;2;4530;05;897,966009409484
1161223;1;3;1;70;05;12;24;1; ;2;16;1; ;9;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;45;36;1;1;3699;05;1080,36539011418
1161225;1;2;1;70;05;17;50;1; ;2;17;1; ;6;4; ; ; ; ; ; ; ; ; ;1; ;1;450000;2;16;16;74;1;2;7430;05;973,991457540888
1161229;1;3;1;70;05;24;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;34; ; ;1;2; ;05;1016,63808560214
1161232;1;2;1;70;05;7;48;1; ;2;72;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;51;1;1;5139;05;1026,39092551936
1161233;1;1;1;70;05;14;48;1; ;2;104;1; ;3;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;61;01;1;2;0121;05;1073,18987611125
1161235;1;2;1;70;05;56;48;1; ;2;16;1; ;7;6; ; ; ; ; ; ; ; ; ;1; ;2; ;2;44;44;64;1;2;6411;05;882,131866785077
1161238;1;4;1;70;05;8;48;1; ;2;8;1; ;7;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;05;05;01;1;1;0116;05;1013,12886041604
1161257;1;2;1;70;05;4;48;1; ;2;198;1; ;2;2; ; ; ; ; ;1; ; ; ; ; ;2; ;2;45;45;55;1;1;5529;05;1101,85484571241
1161262;1;1;1;70;05;4;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;40; ; ;1;1; ;05;1128,37980189487
1161265;1;2;1;70;05;24;48;1; ;2;32;1; ;5;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;79;77;51;1;2;5125;05;1048,08078133978
1161267;1;1;1;70;08;4;48;3; ;2;4;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;34000;2;54;54;95;1;1;9500;08;731,772722014223
1161270;1;4;1;70;08;36;48;1; ;2;52;1; ;4;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;16;74;1;2;7430;08;685,046572577046
1161276;1;4;1;70;08;14;48;1; ;2;58;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;32;80;1;2;8012;08;573,129925356058
1161279;1;4;1;70;08;3;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;53; ; ;1;1; ;08;598,756764528005
1161282;1;1;1;70;08;6;48;1; ;2;40;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;98;98;60;1;1;6042;08;513,228692066456
1161290;1;1;1;70;08;2;48;1; ;2;2;1; ;8;4; ; ; ; ; ; ; ; ; ;1; ;1;99;2;02;02;29;1;1;2929;08;491,965688132553
1161309;1;2;1;70;08;8;48;1; ;2;52;1; ;9;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;58;80;1;1;8050;08;525,893354542826
1161311;1;4;1;70;08;8;48;1; ;2;8;1; ;7;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;70;39;45;1;1;4521;08;451,046136282884
1161317;1;2;1;70;08;24;48;3; ;2;24;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;2;9500;08;528,26357257461
1161319;2;2;2;70;08;24;50;3; ;2;156;3; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;2;9500;08;469,243104144939
1161331;1;7;1;70;08;70;50;1; ;2;70;1; ;3;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5219;08;562,438312712674
1161344;1;2;1;70;08;12;72;1; ;2;12;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;98;98;60;1;1;6042;08;530,781418001924
1161348;1;2;1;70;08;8;48;1; ;2;8;2; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;06;06;75;1;1;7513;08;573,26374590659
1161372;1;3;1;70;08;35;50;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;2; ;08;525,73946980565
1161372;2;2;2;70;08;8;60;1; ;2;8;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;55;74;1;1;7499;08;525,73946980565
1161375;1;3;1;70;08;56;50;4; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;98; ; ;1;2; ;08;537,182801457698
1161375;1;4;1;70;08;12;50;4; ;2;12;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;85;1;1;8532;08;537,182801457698
1161386;1;2;1;70;08;256;50;1; ;2;256;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;58;70;1;2;7020;08;525,849674579688
