DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;AREA;P5070;DPTO;ORDEN;fex_c_2011
1072236;1;5;2;1;1;1;1;3;1; ; ;98;200000; ;1;1;2;1;1;1;1;2;2;1;1;2;1;2;2;2;2;2;2;2;2;1;2;1;2;1;1;1;1;1;2;2;1;01;05;1;05;1;741,639917123516
1072237;1;3;2;1;1;1;1;3;3; ; ; ; ;180000;1;1;2;2;1;1;1;2;1;1;1;2;2;2;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;3;2;1;01;05;1;05;1;469,052392446422
1072238;1;4;2;1;1;1;1;1;1; ; ;45000000;240000; ;1;1;2;2;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;1;05;1;1060,91612939857
1072241;1;4;2;1;1;1;1;4;3; ; ; ; ;380000;1;1;1;1;1;1;1;1;1;2;1;2;1;1;2;2;1;2;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;3;05;1;1041,80757100507
1072242;1;4;3;1;1;1;1;3;2; ;370000;100000000;600000; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;2;1;2;1;2;1;4;1;1;1;1;1;4;3;1;01;05;3;05;1;1009,19076767812
1072243;1;4;3;1;1;1;1;3;3; ; ; ; ;470000;1;1;1;1;1;1;1;2;1;1;1;1;2;1;2;2;2;1;2;1;2;1;2;1;4;1;1;1;1;1;4;2;1;01;05;1;05;1;905,058626932189
1072244;1;4;2;1;1;1;1;1;3; ; ; ; ;550000;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;1;1;2;1;2;1;4;1;2;1;1;1;4;3;1;01;05;1;05;1;824,151231071771
1072245;1;3;2;1;1;1;1;3;1; ; ;100000000;400000; ;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;4;2;1;01;05;1;05;1;808,430111135361
1072247;1;2;2;1;1;1;1;4;3; ; ; ; ;110000;1;1;2;2;1;1;1;2;2;2;1;1;1;2;2;2;2;2;2;2;2;1;2;1;2;1;2;1;1;1;2;2;1;01;05;1;05;1;1093,87364137803
1072249;1;4;3;1;1;1;1;3;1; ; ;85000000;400000; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;1;2;1;2;1;4;1;1;1;1;1;4;2;1;01;05;1;05;1;1036,33029974529
1072250;1;3;2;1;1;1;1;3;1; ; ;100000000;250000; ;1;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;2;1;1;1;1;1;2;2;1;01;05;1;05;1;1036,33029974529
1072251;1;4;3;1;1;1;1;3;3; ; ; ; ;170000;1;1;2;1;1;1;2;2;2;2;1;2;1;2;2;2;2;2;2;1;2;1;2;1;2;1;1;1;1;1;2;2;1;01;05;1;05;1;856,720703668828
1072252;1;4;2;1;1;1;1;3;1; ; ;98;200000; ;1;1;2;1;1;1;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;2;1;4;1;1;1;1;1;2;2;1;01;05;1;05;1;908,424478817667
1072254;1;5;2;1;1;1;1;3;1; ; ;98;250000; ;1;2;2;2;1;1;1;1;2;1;1;2;1;1;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;3;2;1;01;05;1;05;1;848,682746317116
1072255;1;4;2;1;1;1;1;3;3; ; ; ; ;150000;1;1;1;1;1;1;1;1;2;2;1;1;1;2;2;2;2;2;2;2;2;1;2;1;2;1;1;1;1;1;3;2;1;01;05;1;05;1;1162,83539514154
1072256;1;5;4;1;1;1;1;3;1; ; ;60000000;450000; ;1;1;2;1;1;1;1;1;1;2;1;1;1;2;2;2;2;2;1;2;2;1;1;1;4;1;1;1;1;1;3;2;1;01;05;1;05;1;1365,12490437247
1072257;1;3;2;1;1;1;1;3;1; ; ;20000000;180000; ;1;1;2;2;1;1;2;2;1;1;1;1;1;2;2;2;2;2;2;2;2;1;2;1;2;1;1;1;1;1;2;2;1;01;05;1;05;1;796,261364398058
1072258;1;4;2;1;1;1;1;4;3; ; ; ; ;386000;1;1;1;1;1;1;1;1;2;2;1;1;1;1;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;1;05;1;733,964254995929
1072258;2;1;1;1;1;1;1;1;1; ; ;1000000;100000; ;1;1;2;2;1;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;01;05; ;05;1;733,964254995929
1072259;1;4;3;1;1;1;1;3;3; ; ; ; ;450000;1;1;1;1;1;1;2;2;2;1;1;2;2;1;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;3;2;1;01;05;1;05;1;920,566394438819
1072260;1;5;4;1;1;1;1;3;3; ; ; ; ;430000;1;2;2;2;1;1;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;4;1;1;1;1;1;3;2;1;01;05;1;05;1;525,083978798305
1072263;1;5;4;1;1;1;1;3;3; ; ; ; ;350000;1;1;1;1;1;2;1;1;1;1;1;2;1;1;2;2;2;2;2;2;2;1;2;1;2;1;1;1;1;1;3;2;1;01;05;1;05;1;849,091349959087
1072264;1;4;2;1;1;1;1;3;1; ; ;98;350000; ;1;1;1;2;1;1;1;1;1;2;1;2;1;1;2;2;2;1;2;2;2;1;1;1;4;1;1;1;1;1;3;2;1;01;05;1;05;1;654,397444289528
1072264;2;1;1;1;1;1;1;4;4; ; ; ;200000; ;2;1;2;2;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;01;05; ;05;1;654,397444289528
1072265;1;4;3;1;1;1;1;4;3; ; ; ; ;200000;1;1;2;2;1;1;2;2;2;1;1;1;1;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;05;1;05;1;924,167185325685
1072267;1;3;2;1;1;1;1;3;1; ; ;50000000;250000; ;1;1;2;1;1;1;1;1;1;1;1;2;1;2;2;2;1;2;2;2;2;1;2;1;4;1;1;1;1;1;3;2;1;01;05;1;05;1;799,239176901126
1072269;1;2;1;1;1;1;1;3;3; ; ; ; ;180000;1;1;2;2;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;3;2;1;01;05;1;05;1;1050,65069415032
1072271;1;3;2;1;1;1;1;4;3; ; ; ; ;450000;1;1;2;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;1;05;1;1147,11427520513
1072272;1;4;1;1;1;1;1;1;4; ; ; ;350000; ;1;1;2;1;1;2;1;2;2;1;1;1;2;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;1;05;1;1178,55651507795
1072273;1;3;1;1;1;1;1;3;2; ;600000;90000000;600000; ;1;1;1;1;1;1;1;1;1;2;1;1;1;1;2;2;1;2;2;1;2;1;2;1;4;1;1;1;1;1;4;2;1;01;05;1;05;1;1178,55651507795
1072274;1;3;2;1;1;1;1;3;2; ;750000;90000000;650000; ;1;1;1;1;1;1;1;2;1;1;1;1;1;1;2;2;2;2;2;1;2;1;2;1;4;1;1;1;1;1;4;2;1;01;05;1;05;1;1050,28948588406
1072275;1;5;3;1;1;1;1;3;2; ;600000;130000000;650000; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;1;1;1;2;1;2;1;4;1;1;1;1;1;4;2;1;01;05;1;05;1;1078,15252144162
1072276;1;4;1;1;1;1;1;3;2; ;680000;100000000;600000; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;2;2;1;2;1;2;1;4;1;1;1;1;1;4;2;1;01;05;1;05;1;1178,55651507795
1072278;1;2;1;1;2;1;1;3;4; ; ; ;150000; ;1;1;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;2;1;4;1;1;1;1;1;2;2;1;01;05;1;05;1;469,052392446422
1072278;2;1;1;1;2;1;1;3;4; ; ; ;120000; ;2;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;01;05; ;05;1;469,052392446422
1072280;1;3;2;1;1;1;1;3;3; ; ; ; ;240000;1;1;2;2;1;1;2;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;2;1;2;1;1;1;1;1;2;2;1;01;05;1;05;1;700,951847183639
1072281;1;5;2;1;1;1;1;3;1; ; ;30000000;250000; ;1;1;2;1;1;1;1;1;2;1;1;2;1;2;2;2;2;1;2;2;1;1;2;1;4;1;1;1;1;1;3;2;1;01;05;1;05;1;1178,55651507795
1072282;1;3;2;3;1;1;1;3;3; ; ; ; ;200000;1;1;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;2;2;2;2;1;2;1;4;1;1;2;1;1;2;2;1;01;05;1;05;1;881,28494675049
1072283;1;6;5;1;1;1;1;3;3; ; ; ; ;250000;1;1;2;1;1;1;2;2;2;2;1;2;1;2;2;2;2;1;2;2;2;1;2;1;4;1;1;1;1;1;3;2;1;01;05;1;05;1;1277,16482476827
1072284;1;6;4;1;1;1;1;4;3; ; ; ; ;270000;1;1;1;1;1;1;1;2;1;2;1;1;1;1;2;2;2;1;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;1;05;1;1093,87364137803
1072285;1;3;1;1;1;1;1;3;1; ; ;20000000;150000; ;1;2;2;2;1;1;2;2;1;2;1;2;2;2;2;1;2;2;2;2;1;1;2;1;2;1;1;1;1;1;2;2;1;01;05;1;05;1;839,87235100818
1072286;1;3;2;1;1;1;1;1;1; ; ;45000000;300000; ;1;2;2;1;2;1;1;1;1;2;1;1;1;1;2;2;2;1;2;1;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;1;05;1;1162,83539514154
