DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7430;P7440;P7450;P7450S1;P7460;P7470;P7472;P7472S1;P7454;P7456;P7458S1;P7458;P7452;INI;DPTO;AREA;fex_c_2011
1796280;1;1;1;80;1;1;4;4; ;3; ;2; ; ; ; ;10;2;1;05;05;946,555414766351
1796280;1;2;1;80;1;1;4;5; ;3; ;2; ; ; ; ;10;2;1;05;05;946,555414766351
1796281;1;3;1;80;1;1;1;3; ;2; ;2; ; ; ; ;9;2;1;05;05;533,437543906572
1796282;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;10;2;1;05;05;972,716712319844
1796282;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;972,716712319844
1796282;1;3;1;80;1;1;4;3; ;1;1;2; ; ; ; ;9;2;1;05;05;972,716712319844
1796282;1;6;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;972,716712319844
1796284;1;1;1;80;1;1;4;7; ;2; ;2; ; ; ; ;9;2;1;05;05;1179,96379224035
1796285;1;2;1;80;1;1;2;8; ;2; ;2; ; ; ; ;1;2;1;05;05;1065,5895990171
1796286;1;2;1;80;1;1;1;3; ;2; ;2; ; ; ; ;9;2;1;05;05;645,687835067258
1796286;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;645,687835067258
1796286;1;5;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;645,687835067258
1796287;1;2;1;80;1;1;3;2; ;2; ;2; ; ; ; ;2;2;1;05;05;819,549860516466
1796288;1;2;1;80;1;1;4;2; ;2; ;2; ; ; ; ;9;2;1;05;05;968,751609256178
1796291;1;5;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;1164,24832099552
1796292;1;2;1;80;1;1;4;8; ;2; ;2; ; ; ; ;9;2;1;05;05;1006,77066608198
1796292;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;1006,77066608198
1796294;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;776,081762070967
1796294;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;776,081762070967
1796296;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;929,54811825077
1796296;1;4;1;80;1;1;4;7; ;2; ;2; ; ;2; ;5;1;1;05;05;929,54811825077
1796297;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;10;2;1;05;05;956,756712012695
1796298;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;1079,45834937143
1796301;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;899,705829786039
1796307;1;1;1;80;1;1;4;1; ;2; ;2; ; ; ; ;11;2;1;05;05;968,751609256178
1796307;1;2;1;80;1;1;2;3; ;2; ;2; ; ; ; ;11;2;1;05;05;968,751609256178
1796309;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;692,53742004757
1796309;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;692,53742004757
1796309;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;692,53742004757
1796314;1;1;1;80;1;1;4;8; ;3; ;2; ; ; ; ;8;2;1;05;05;851,943909143132
1796314;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;851,943909143132
1796315;1;1;1;80;1;1;2;8; ;3; ;2; ; ; ; ;4;2;1;05;05;956,756712012695
1796317;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;966,035578902706
1796320;1;2;1;80;1;1;3;8; ;2; ;2; ; ; ; ;6;2;1;05;05;968,751609256178
1796321;1;2;1;80;1;1;1;8; ;2; ;2; ; ; ; ;9;2;1;05;05;1047,06430074477
