DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7430;P7440;P7450;P7450S1;P7460;P7470;P7472;P7472S1;P7454;P7456;P7458S1;P7458;P7452;INI;MES;DPTO;AREA;fex_c_2011
2486490;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;05;05;843,641794124361
2486491;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;05;05;960,767153633613
2486493;1;2;1;80;1;1;2;6; ;2; ;2; ; ; ;POR DEDICARSE A SU COMUNIDAD RELIGIOSA;12;2;1;08;05;05;1036,42803266
2486494;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;10;2;1;08;05;05;950,795979684789
2486494;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;05;05;950,795979684789
2486497;1;1;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;05;05;946,261840536
2486497;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;05;05;946,261840536
2486499;1;1;1;80;1;1;1;2; ;2; ;2; ; ; ; ;2;2;1;08;05;05;1120,3974473401
2486501;1;2;1;80;1;1;3;7; ;3; ;2; ; ; ; ;4;2;1;08;05;05;1075,04406972862
2486502;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;05;05;852,666372054331
2486504;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;05;05;877,723692044187
2486504;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;05;05;877,723692044187
2486505;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;10;2;1;08;05;05;941,470663819021
2486505;1;2;1;80;1;1;4;5; ;3; ;2; ; ; ; ;10;2;1;08;05;05;941,470663819021
2486507;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;10;2;1;08;05;05;780,292232441118
2486507;1;2;1;80;1;1;4;5; ;3; ;2; ; ; ; ;10;2;1;08;05;05;780,292232441118
2486508;1;2;1;80;1;1;2;2; ;2; ;2; ; ; ; ;2;2;1;08;05;05;1188,93839628089
2486509;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;05;05;1104,93694864691
2486511;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;10;2;1;08;05;05;780,292232441118
2486511;1;2;1;80;1;1;3;5; ;3; ;2; ; ; ; ;10;2;1;08;05;05;780,292232441118
2486512;1;1;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;05;05;941,470663819021
2486513;1;1;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;08;05;05;892,883452801581
2486687;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;11;11;2483,00878377211
2486689;1;1;1;80;1;1;4;4; ;3; ;2; ; ; ; ;4;2;1;08;11;11;2191,60920418019
2486689;1;2;1;80;1;1;4;3; ;2; ;2; ; ;4; ;8;1;1;08;11;11;2191,60920418019
2486689;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;11;11;2191,60920418019
2486689;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;11;11;2191,60920418019
2486690;1;2;1;80;1;1;2;4; ;2; ;2; ; ; ; ;9;2;1;08;11;11;1921,61851551134
2486690;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;11;11;1921,61851551134
2486693;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;11;11;1979,57211876881
2486694;1;1;1;80;1;1;1;8; ;2; ;1;47000; ;1; ;5;1;1;08;11;11;2179,20938436678
2486694;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;11;11;2179,20938436678
2486699;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;8;2;1;08;15;15;66,0024060624165
2486701;1;3;1;80;1;1;2;2; ;2; ;2; ; ; ; ;2;2;1;08;15;15;80,3510521488073
2486701;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;15;15;80,3510521488073
2486702;1;2;1;80;1;1;4;8; ;2; ;2; ; ; ; ;9;2;1;08;15;15;85,589695884728
2486704;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;15;15;81,8837861908836
2486705;1;2;1;80;1;1;3;3; ;2; ;2; ; ; ; ;9;2;1;08;15;15;89,7955879055166
2486706;1;1;1;80;1;1;3;4; ;2; ;2; ; ; ; ;8;2;1;08;15;15;98,2309570595361
2486709;1;1;1;80;1;1;4;4; ;2; ;2; ; ; ; ;4;2;1;08;17;17;144,366990293418
2486709;1;2;1;80;1;1;4;5; ;3; ;2; ; ; ; ;10;2;1;08;17;17;144,366990293418
2486710;1;2;1;80;1;1;4;5; ;3; ;2; ; ; ; ;10;2;1;08;17;17;127,417430804577
2486710;1;4;1;80;1;1;4;4; ;2; ;2; ; ; ; ;4;2;1;08;17;17;127,417430804577
2486711;1;2;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;08;17;17;207,251262752951
2486712;1;2;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;08;17;17;153,233139096292
2486713;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;17;17;194,707664247912
2486716;1;1;1;80;1;1;4;6; ;3; ;2; ; ; ; ;4;2;1;08;17;17;144,366990293418
2486717;1;2;1;80;1;1;2;2; ;2; ;2; ; ;2; ;2;1;1;08;17;17;159,930209411118
2486717;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;17;17;159,930209411118
2486718;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;17;17;171,893501465724
2486718;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;17;17;171,893501465724
2486718;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;17;17;171,893501465724
2486723;1;2;1;80;1;1;3;3; ;2; ;2; ; ; ; ;9;2;1;08;17;17;187,146307560344
2486984;1;1;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;18;18;34,9713242336202
