DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7480;P7480S1;P7480S3;P7480S4;P7480S5;P7480S6;P7480S7;P7480S8;P7480S9;P7480S10;P7480S11;P7480S1A1;P7480S3A1;P7480S4A1;P7480S5A1;P7480S6A1;P7480S7A1;P7480S8A1;P7480S9A1;P7480S10A1;P7480S11A1;AREA;MES;DPTO;fex_c_2011
2573813;1;1;1;90; ;2;2;1;2;2;2;2;2;2;2; ; ;14; ; ; ; ; ; ; ;52;12;52;187,587090445218
2573813;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;24; ;28; ; ; ; ; ; ;52;12;52;187,587090445218
2573814;1;1;1;90; ;2;1;2;2;1;2;2;2;2;2; ;14; ; ;14; ; ; ; ; ;52;12;52;125,50229911254
2573814;1;2;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;52;12;52;125,50229911254
2573814;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;24; ; ; ; ; ; ; ; ;52;12;52;125,50229911254
2573815;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;52;12;52;154,704386991585
2573815;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;21; ; ; ; ; ; ; ; ;52;12;52;154,704386991585
2573816;1;1;1;90; ;2;1;2;2;2;2;1;2;2;2; ;4; ; ; ; ;6; ; ; ;52;12;52;151,799504477647
2573821;1;1;1;90; ;2;1;2;2;2;2;2;2;1;1; ;5; ; ; ; ; ; ;20;15;52;12;52;109,563437525498
2573821;1;2;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;52;12;52;109,563437525498
2573822;1;1;1;90; ;2;2;2;2;2;1;2;2;2;2; ; ; ; ; ;3; ; ; ; ;52;12;52;138,765525404543
2573823;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;20; ; ; ; ; ; ; ; ;76;12;76;1050,16835296578
2573823;1;2;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;76;12;76;1050,16835296578
2573823;1;3;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;76;12;76;1050,16835296578
2573824;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;14; ;2; ; ; ; ; ; ;76;12;76;1057,42344474285
2573825;1;1;1;90; ;2;1;2;1;2;2;1;2;2;2; ;3; ;15; ; ;23; ; ; ;76;12;76;1121,78215907119
2573825;1;2;1;90; ;2;1;2;1;2;2;2;1;2;1; ;15; ;15; ; ; ;24; ;5;76;12;76;1121,78215907119
2573825;2;1;2;90; ;2;1;2;2;2;2;2;2;2;2; ;3; ; ; ; ; ; ; ; ;76;12;76;1121,78215907119
2573825;2;2;2;90; ;2;1;2;1;2;2;2;2;2;2; ;35; ;21; ; ; ; ; ; ;76;12;76;1121,78215907119
2573825;2;3;2;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;76;12;76;1121,78215907119
2573826;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;76;12;76;932,703504849006
2573826;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;76;12;76;932,703504849006
2573827;1;1;1;90; ;2;2;2;1;2;2;2;2;2;2; ; ; ;12; ; ; ; ; ; ;76;12;76;993,797144753639
2573828;1;1;1;90; ;2;1;2;2;2;2;1;2;2;2; ;4; ; ; ; ;17; ; ; ;76;12;76;860,357062784541
2573829;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;4; ; ; ; ; ; ; ; ;76;12;76;862,046945497493
2573830;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;4; ; ; ; ; ; ; ; ;76;12;76;898,21283897777
2573831;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;76;12;76;845,839341148388
2573831;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;20; ; ; ; ; ; ; ; ;76;12;76;845,839341148388
2573831;1;3;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;76;12;76;845,839341148388
2573832;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;3; ; ; ; ; ; ; ; ;76;12;76;1046,43711817024
2573833;1;1;1;90; ;2;1;2;2;2;2;1;2;2;2; ;21; ; ; ; ;4; ; ; ;76;12;76;898,21283897777
2573834;1;1;1;90; ;2;1;2;2;2;2;1;2;2;2; ;3; ; ; ; ;4; ; ; ;76;12;76;809,673447668112
2573834;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;15; ; ; ; ; ; ; ; ;76;12;76;809,673447668112
2573834;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;3; ; ; ; ; ; ; ; ;76;12;76;809,673447668112
2573835;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;76;12;76;747,988850875158
2573835;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;76;12;76;747,988850875158
2573835;1;3;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;76;12;76;747,988850875158
2573835;1;4;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;76;12;76;747,988850875158
2573836;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;76;12;76;773,492899083923
2573836;1;2;1;90; ;2;2;1;2;2;2;2;2;2;2; ; ;12; ; ; ; ; ; ; ;76;12;76;773,492899083923
2573837;1;1;1;90; ;2;1;1;2;2;2;1;2;2;2; ;12;5; ; ; ;15; ; ; ;76;12;76;898,21283897777
2573838;1;1;1;90; ;2;1;1;1;2;2;2;2;2;2; ;24;3;3; ; ; ; ; ; ;76;12;76;737,327005603646
2573838;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;9; ;6; ; ; ; ; ; ;76;12;76;737,327005603646
2573839;1;1;1;90; ;2;2;2;2;2;2;1;1;2;2; ; ; ; ; ; ;5;8; ; ;76;12;76;971,516527796128
2573839;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;30; ;16; ; ; ; ; ; ;76;12;76;971,516527796128
2573839;1;3;1;90; ;2;2;2;1;2;2;2;2;2;2; ; ; ;20; ; ; ; ; ; ;76;12;76;971,516527796128
2573840;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;15; ;20; ; ; ; ; ; ;76;12;76;1108,33167065412
2573841;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;5; ; ; ; ; ; ; ; ;76;12;76;872,456970285697
2573841;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;6; ; ; ; ; ; ; ; ;76;12;76;872,456970285697
2573842;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;76;12;76;818,393589743363
2573842;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;76;12;76;818,393589743363
2573842;1;3;1;90; ;1;1;2;2;2;2;2;2;2;2;2;20; ; ; ; ; ; ; ; ;76;12;76;818,393589743363
2573842;1;4;1;90; ;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;76;12;76;818,393589743363
2573843;1;1;1;90; ;2;1;2;1;2;2;1;2;2;2; ;8; ;12; ; ;4; ; ; ;76;12;76;1056,69080878379
2573843;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;4; ;6; ; ; ; ; ; ;76;12;76;1056,69080878379
2573860;1;1;1;90; ;2;1;2;2;2;2;2;1;2;2; ;16; ; ; ; ; ;8; ; ;54;12;54;386,887311137783
2573870;1;1;1;90; ;1;1;2;2;2;2;2;2;2;2;7;7; ; ; ; ; ; ; ; ;54;12;54;342,639781400991
2573870;1;2;1;90; ;1;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ;54;12;54;342,639781400991
2573889;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;12;17;156,112938719357
2573890;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;8; ; ; ; ; ; ; ; ;17;12;17;169,834388307954
2573890;1;2;1;90; ;2;1;2;2;2;1;2;2;2;2; ;25; ; ; ;15; ; ; ; ;17;12;17;169,834388307954
2573890;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;5; ; ; ; ; ; ; ; ;17;12;17;169,834388307954
2573891;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;25; ; ; ; ; ; ; ; ;17;12;17;210,32555597092
2573891;1;2;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;12;17;210,32555597092
2573891;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;15; ; ; ; ; ; ; ; ;17;12;17;210,32555597092
2573891;1;4;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;12;17;210,32555597092
2573891;1;5;1;90; ;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;17;12;17;210,32555597092
2573891;1;6;1;90; ;2;1;2;1;2;2;2;2;2;2; ;10; ;28; ; ; ; ; ; ;17;12;17;210,32555597092
2573891;2;1;2;90; ;2;1;2;2;2;2;2;2;2;2; ;8; ; ; ; ; ; ; ; ;17;12;17;210,32555597092
2573892;1;1;1;90; ;2;1;2;1;2;2;1;2;2;2; ;28; ;15; ; ;14; ; ; ;17;12;17;245,538288275686
2573892;1;4;1;90; ;2;1;2;2;2;2;2;2;2;2; ;18; ; ; ; ; ; ; ; ;17;12;17;245,538288275686
2573892;1;5;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;12;17;245,538288275686
2573894;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;8; ; ; ; ; ; ; ; ;17;12;17;301,518629415988
2573894;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;17;12;17;301,518629415988
2573894;1;3;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;12;17;301,518629415988
2573895;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;15; ; ; ; ; ; ; ; ;17;12;17;400,45730716383
2573895;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;17;12;17;400,45730716383
2573896;1;1;1;90; ;2;1;2;2;2;2;2;2;2;1; ;25; ; ; ; ; ; ; ;2;17;12;17;164,418422260457
2573896;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;17;12;17;164,418422260457
2573896;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;17;12;17;164,418422260457
2573897;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;10; ;10; ; ; ; ; ; ;17;12;17;216,867208401423
2573897;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;18; ;20; ; ; ; ; ; ;17;12;17;216,867208401423
2573897;1;4;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;12;17;216,867208401423
2573897;1;5;1;90; ;2;1;2;1;2;2;2;2;2;2; ;18; ;15; ; ; ; ; ; ;17;12;17;216,867208401423
2573898;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;12;17;144,774558679869
2573898;1;2;1;90; ;2;1;2;2;1;2;2;2;2;2; ;40; ; ;20; ; ; ; ; ;17;12;17;144,774558679869
2573899;1;1;1;90; ;2;1;2;2;1;2;2;2;2;2; ;40; ; ;2; ; ; ; ; ;17;12;17;206,21340961004
2573899;1;2;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;12;17;206,21340961004
2573899;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;20; ; ; ; ; ; ; ; ;17;12;17;206,21340961004
2573900;1;1;1;90; ;2;2;2;1;2;2;2;2;2;2; ; ; ;2; ; ; ; ; ; ;17;12;17;182,898572023951
2573900;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;30; ;30; ; ; ; ; ; ;17;12;17;182,898572023951
2573900;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;17;12;17;182,898572023951
2573901;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;1; ; ; ; ; ; ; ; ;17;12;17;194,265862523869
2573901;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;35; ; ; ; ; ; ; ; ;17;12;17;194,265862523869
2573901;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;20; ; ; ; ; ; ; ; ;17;12;17;194,265862523869
2573902;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;8; ; ; ; ; ; ; ; ;17;12;17;164,24288702806
2573902;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;40; ;15; ; ; ; ; ; ;17;12;17;164,24288702806
2573902;1;3;1;90; ;2;2;2;1;2;2;2;2;2;2; ; ; ;7; ; ; ; ; ; ;17;12;17;164,24288702806
2573903;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;12;17;264,317954694254
2573903;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;35; ; ; ; ; ; ; ; ;17;12;17;264,317954694254
2573903;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;17;12;17;264,317954694254
2573905;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;12;17;218,696272464039
2573905;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;35; ; ; ; ; ; ; ; ;17;12;17;218,696272464039
2573905;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;1; ; ; ; ; ; ; ; ;17;12;17;218,696272464039
2573905;1;4;1;90; ;2;1;2;2;2;2;2;2;2;2; ;1; ; ; ; ; ; ; ; ;17;12;17;218,696272464039
2573905;1;5;1;90; ;2;1;2;2;2;2;2;2;2;2; ;21; ; ; ; ; ; ; ; ;17;12;17;218,696272464039
2573905;1;6;1;90; ;2;1;2;2;2;2;2;2;2;2; ;1; ; ; ; ; ; ; ; ;17;12;17;218,696272464039
2573906;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;35; ; ; ; ; ; ; ; ;17;12;17;447,073091355306
2573906;1;2;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;12;17;447,073091355306
2573906;1;3;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;12;17;447,073091355306
