DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S2;P5210S20;P5210S21;P5210S22;P5210S24;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5220;P5220S1;P6006;P6007;P6007S1;P6008;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;clase;MES;DPTO;ORDEN;fex_c_2011
2142342;1;2;1;6; ;4;2;1;5;4; ; ; ;20000; ;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;1;1;2;2; ;5;1;1;1;1;1;2;2;2;2;9; ; ;01;2;02;54;1;466,51265382325
2142343;1;3;1;1;1;4;2;1;4;4; ; ; ;70000; ;2;2;1;2;1;2;2;2;1;2;2;1;2;2;2;1;1;1;1;2;2;2; ;2;2; ;4;1;1;1;3;1;2;1;2;2;2; ; ;01;2;02;54;1;617,86952259206
2142344;1;3;1;1;1;4;3;1;4;4; ; ; ;100000; ;2;2;1;1;1;2;2;2;1;2;2;1;2;2;2;2;1;1;1;2;2;2; ;2;2; ;3;1;1;1;2;1;2;1;2;2;2; ; ;01;2;02;54;1;412,474973800494
2142345;1;3;2;6; ;4;3;1;4;5; ; ; ;30000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;1;1;2;2; ;7;1;1;5;2;1;2;2;2;2;1; ; ;01;2;02;54;1;816,577777595195
2142346;1;3;2;3;1;3;2;1;5;1; ; ;6000000;200000; ;2;2;1;1;2;2;2;2;1;1;1;2;2;2;2;2;1;2;1;2;1;1;1;2;2; ;4;1;1;1;2;1;2;2;2;2;2; ; ;01;2;02;54;1;386,86293528619
2142347;1;5;4;2;1;3;2;1;4;1; ; ;8000000;120000; ;2;2;1;2;2;2;2;2;1;2;2;2;1;2;2;2;1;2;1;2;2;1;1;2;2; ;10;1;1;1;4;1;2;2;2;2;2; ; ;01;2;02;54;1;562,105182906493
2142348;1;2;2;1;1;1;1;1;5;1; ; ;15000000;50000; ;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;1;1;2;2;2;2; ;2;2; ;4;1;1;1;1;1;2;1;1;1;2;1;2;01;2;02;54;1;678,666679834426
2142349;1;4;3;1;1;1;1;5;5;4; ; ; ;50000; ;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2; ;2;2; ;3;1;1;1;2;1;2;1;1;1;2;1;2;01;2;02;54;1;473,819777463009
2142350;1;3;2;1;1;1;1;1;4;1; ; ;4000000;60000; ;2;2;1;2;2;2;2;2;1;1;2;1;2;2;2;2;1;2;1;2;2;2; ;2;2; ;2;1;1;1;2;1;2;1;1;1;2;1;2;01;2;02;54;1;761,08771366129
2142351;1;2;2;6; ;4;6;1;5;1; ; ;3000000;20000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2; ;8;1;1;5;2;2;2;2;2;2; ; ; ;01;2;02;54;1;800,009682890683
2142352;1;2;1;6; ;4;6;1;5;4; ; ; ;100000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2; ;2;2; ;3;1;1;1;2;2;2;2;2;2; ; ; ;01;2;02;54;1;662,813159108929
2142354;1;4;3;1;1;4;3;1;5;1; ; ;3000000;60000; ;2;2;1;2;2;2;1;2;1;2;2;2;2;2;2;2;1;1;2;2;2;1;2;2;2; ;5;1;1;1;3;1;2;1;2;2;2; ; ;01;2;02;54;1;643,303684316067
2142355;1;2;2;3;1;4;6;1;5;4; ; ; ;30000; ;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;2;2; ;4;1;1;1;2;1;2;2;2;2;1; ; ;01;2;02;54;1;770,817461937727
2142356;1;5;3;1;1;4;1;1;4;1; ; ;8000000;100000; ;2;2;1;2;1;2;2;2;1;2;1;2;2;2;2;2;1;1;1;2;2;2; ;2;2; ;6;1;1;1;4;1;2;1;2;1;2; ;2;01;2;02;54;1;488,586797603246
2142357;1;3;2;1;1;4;1;1;4;1; ; ;8000000;100000; ;2;2;1;1;1;2;2;2;1;2;2;1;2;1;2;2;1;1;1;2;2;1;1;2;2; ;5;1;1;1;2;1;2;1;2;1;2; ;2;01;2;02;54;1;455,798770228136
2142358;1;3;3;1;1;4;1;1;4;4; ; ; ;80000; ;2;2;1;2;2;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;2;2;2; ;4;1;1;1;4;1;2;1;2;1;2; ;2;01;2;02;54;1;417,214443431474
2142359;1;1;1;6; ;4;4;5;5;6;INVASION; ; ;20000; ;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;2;2; ;6;1;1;4;1;2;2;2;2;2; ; ; ;01;2;02;54;1;559,291579912347
2142360;1;3;2;3;1;3;2;1;5;1; ; ;8000000;100000; ;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2; ;3;1;1;1;2;1;2;2;2;2;2; ; ;01;2;02;54;1;255,319805599759
