DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P9460;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;AREA;fex_c_2011
2403126;1;3;1;70;1;20;24;1; ;2;20;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;99;55;1;2;5521;06;05;05;692,715402998796
2403128;1;2;1;70;1;20;35;4; ;2;52;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;59;81;36;1;2;3611;06;05;05;1041,16663048297
2403134;1;2;1;70;1;78;48;1; ;2;78;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;45;15;1;2;1521;06;05;05;821,585492673952
2403139;1;5;1;70;1;4;48;1; ;2;4;1; ;3;4; ; ; ; ; ; ; ; ; ;1; ;1;225000;2;53;53;55;1;1;5521;06;05;05;760,841000248309
2403143;2;2;2;70;1;4;48;4; ;2;4;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;45;52;1;1;5261;06;05;05;1046,29165914838
2403146;1;3;1;70;1;12;48;1; ;2;12;1; ;2;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5211;06;05;05;887,276209607233
2403149;1;6;1;70;1;1;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;53; ; ;1;1; ;06;05;05;950,098977762054
2403150;1;2;1;70;1;12;48;1; ;2;8;1; ;3;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;85;95;45;1;1;4521;06;05;05;1041,16663048297
2403157;1;1;1;70;1;13;48;3; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;54; ; ;1;1; ;06;05;05;752,665317531776
2403166;1;4;1;70;1;9;48;1; ;2;9;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;06;06;85;1;1;8532;06;05;05;916,386905736427
2403167;1;5;1;70;1;32;48;1; ;2;52;4; ;1;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;99;99;50;1;2;5020;06;05;05;758,762724519131
2403168;1;3;1;70;1;110;48;1; ;2;110;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;79;97;15;1;2;1581;06;05;05;884,625707931816
2403168;1;6;1;70;1;106;48;3; ;2;110;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;2;9500;06;05;05;884,625707931816
2403171;1;2;1;70;1;52;48;1; ;2;52;1; ;5;1; ; ; ; ; ; ; ; ; ;1; ;1;80000;2;45;77;55;1;2;5521;06;05;05;1051,06548294136
2403174;1;1;1;70;1;50;50;1; ;2;50;1; ;2;8; ; ; ; ; ; ; ; ; ;1; ;1;350000;2;98;98;90;1;2;9000;06;05;05;1016,73252197337
2403174;1;2;1;70;1;156;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;53; ; ;1;2; ;06;05;05;1016,73252197337
2403174;1;4;1;70;1;78;48;1; ;2;75;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;32;85;1;2;8511;06;05;05;1016,73252197337
2403174;1;5;1;70;1;156;48;1; ;2;158;1; ;6;1; ; ; ; ; ; ; ; ; ;1; ;1;35000;2;45;59;93;1;2;9303;06;05;05;1016,73252197337
