DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7430;P7440;P7450;P7450S1;P7460;P7470;P7472;P7472S1;P7454;P7456;P7458S1;P7458;P7452;INI;MES;DPTO;fex_c_2011
2212585;1;1;1;80;2;1;1;3; ;2; ;2; ; ; ; ;9;2;1;03;50;1340,27245036477
2212585;1;4;1;80;2;1;4;4; ;2; ;2; ; ; ; ;8;2;1;03;50;1340,27245036477
2212586;1;1;1;80;2;1;4;9;POR DESPLAZAMIENTO ARMADO;2; ;2; ; ; ; ;8;2;1;03;50;1482,08557975865
2212587;1;2;1;80;2;1;1;8; ;2; ;1;200000; ; ; ;9;2;1;03;50;1176,44646754936
2212589;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;50;1243,31809123743
2212590;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;50;1309,05028215081
2212590;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;50;1309,05028215081
2212591;1;1;1;80;2;1;4;8; ;2; ;2; ; ; ; ;4;2;1;03;50;1482,08557975865
2212591;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;50;1482,08557975865
2212592;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;50;1309,05028215081
2212592;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;50;1309,05028215081
2212593;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;50;1091,8655728731
2212594;1;1;1;80;2;1;2;6; ;2; ;2; ; ; ; ;8;2;1;03;50;1345,88742945682
2212595;1;1;1;80;2;1;4;9;RETIRO VOLUNTARIO;2; ;2; ; ; ; ;4;2;1;03;50;1157,61348296216
2212595;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;03;50;1157,61348296216
2214862;1;2;1;80;2;1;1;3; ;2; ;2; ; ; ; ;9;2;1;03;18;1024,50765211203
2214863;1;1;1;80;2;1;1;4; ;2; ;2; ; ; ; ;4;2;1;03;18;1381,7494884728
2214863;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;18;1381,7494884728
2214864;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;18;938,228178999318
2214865;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;03;18;1190,32059380953
2214865;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;18;1190,32059380953
2214866;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;18;1206,37688448401
2214866;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;18;1206,37688448401
2214866;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;18;1206,37688448401
2214866;1;5;1;80;2;1;2;3; ;2; ;2; ; ; ; ;9;2;1;03;18;1206,37688448401
2214869;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;18;1252,37910724135
2214870;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;18;1042,23232936645
2214870;1;3;1;80;2;1;4;4; ;2; ;2; ; ; ; ;8;2;1;03;18;1042,23232936645
2214871;1;2;1;80;2;1;1;9;ESTA INCAPACITADA;2; ;2; ; ; ;ESTA INCAPACITADA;12;2;1;03;18;696,356419400017
2214871;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;18;696,356419400017
2214872;1;1;1;80;2;1;4;4; ;2; ;2; ; ; ; ;4;2;1;03;18;868,602097639194
2214873;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;18;1347,07331741863
2214873;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;18;1347,07331741863
2214873;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;18;1347,07331741863
2214873;1;5;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;18;1347,07331741863
2214873;1;6;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;18;1347,07331741863
2229129;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;63;1433,44055110108
2229132;1;1;1;80;2;1;4;3; ;2; ;2; ; ; ; ;8;2;1;03;63;863,043844712693
2229132;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;63;863,043844712693
2229132;1;4;1;80;2;1;4;4; ;2; ;2; ; ; ; ;4;2;1;03;63;863,043844712693
