DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P9460;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;AREA;fex_c_2011
2508896;1;2;1;70;1;52;48;1; ;2;250;1; ;5;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;39;55;1;2;5521;09;05;05;533,291060466909
2508904;1;1;1;70;1;32;48;1; ;2;572;2; ;9;1; ; ; ; ; ; ; ; ;1; ;YA ES PENSIONADO;2; ;2;58;97;75;1;2;7512;09;05;05;1035,46557633934
2508912;1;3;1;70;1;24;60;1; ;2;24;1; ;5;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;2;4521;09;15;15;80,7988999914332
2508913;1;1;1;70;1;2;60;1; ;2;2;1; ;7;7; ; ; ; ; ; ; ; ; ;1; ;1;800000;2;95;95;45;1;1;4521;09;15;15;110,102461812135
2508914;1;3;1;70;1;8;48;2; ;2;8;1; ;6;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;95;45;1;1;4530;09;15;15;66,858188802803
2508918;1;4;1;70;1;28;40;1; ;2;28;2; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;03;03;40;1;2;4010;09;15;15;61,0997274787471
2508920;1;2;1;70;1;24;40;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;95; ; ;1;2; ;09;15;15;67,6409739190489
2508921;1;2;1;70;1;24;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;02; ; ;1;2; ;09;15;15;91,5660467561216
2508929;1;3;1;70;1;1;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;09;19;19;109,19890679034
2508930;1;1;1;70;1;4;48;4; ;2;4;4; ;4;1; ; ; ; ; ; ; ; ; ;1; ;1;500000;2;95;95;45;1;1;4521;09;19;19;89,2199214810247
2508931;1;1;1;70;1;8;48;1; ;2;8;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;39;55;1;1;5511;09;19;19;101,429099880491
2508931;1;2;1;70;1;2;48;3; ;2;2;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;350000;2;54;54;95;1;1;9500;09;19;19;101,429099880491
2508932;1;1;1;70;1;52;48;1; ;2;52;4; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;32;80;1;2;8050;09;19;19;89,1497990471254
2508936;1;2;1;70;1;3;24;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;37; ; ;1;1; ;09;23;23;140,299013510668
2508937;1;3;1;70;1;4;48;4; ;2;8;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;98;98;60;1;1;6031;09;23;23;154,158073785495
2508938;1;3;1;70;1;3;44;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;32; ; ;1;1; ;09;23;23;113,668345209017
2508943;1;3;1;70;1;8;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;08; ; ;1;1; ;09;23;23;131,723994989432
2508944;1;3;1;70;1;24;48;1; ;2;24;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;33;45;52;1;2;5235;09;23;23;150,772512425075
2508945;1;1;1;70;1;4;51;5; ;2;4;5; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;600000;2;95;95;26;1;1;2695;09;23;23;152,249612659987
