DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,P7430,P7440,P7450,P7450S1,P7460,P7470,P7472,P7472S1,P7454,P7456,P7458S1,P7458,P7452,INI,MES,DPTO,fex_c_2011
2659416,1,1,1,80,73,1,4,4,,3,,2,,,4,,4,1,1,4,73,233.976.511.716.297
2659419,1,3,1,80,73,2,,,,2,,2,,2,,.,,,1,4,73,2.602.430.955.803
2659426,1,1,1,80,73,1,4,3,,2,,2,,,,,9,2,1,4,73,212.716.125.066.883
2659427,1,5,1,80,73,1,1,8,,2,,2,,,,,2,2,1,4,73,172.476.581.295.972
2659431,1,1,1,80,73,2,,,,2,,2,,2,,.,,,1,4,73,363.430.923.625.174
2659431,1,2,1,80,73,2,,,,2,,2,,2,,.,,,1,4,73,363.430.923.625.174
2659433,1,1,1,80,73,1,4,7,,2,,2,,,,,8,2,1,4,73,306.945.868.008.452
2659436,1,2,1,80,73,1,3,5,,3,,2,,,,,8,2,1,4,73,287.447.314.190.271
2659436,1,3,1,80,73,2,,,,2,,2,,2,,.,,,1,4,73,287.447.314.190.271
2659437,1,1,1,80,73,2,,,,2,,2,,2,,.,,,1,4,73,184.546.260.039.371
2659437,1,2,1,80,73,2,,,,2,,2,,2,,.,,,1,4,73,184.546.260.039.371
2659437,1,3,1,80,73,2,,,,2,,2,,2,,.,,,1,4,73,184.546.260.039.371
2659437,1,4,1,80,73,1,3,4,,2,,2,,,,,4,2,1,4,73,184.546.260.039.371
2659437,1,5,1,80,73,1,4,4,,2,,2,,,,,4,2,1,4,73,184.546.260.039.371
2659444,1,1,1,80,66,1,2,4,,2,,2,,,,,4,2,1,4,66,221.700.063.440.917
2659444,1,2,1,80,66,2,,,,2,,2,,2,,.,,,1,4,66,221.700.063.440.917
2659445,1,2,1,80,66,1,4,7,,2,,2,,,,,4,2,1,4,66,226.300.908.287.899
2659445,1,3,1,80,66,2,,,,2,,2,,2,,.,,,1,4,66,226.300.908.287.899
2659445,1,4,1,80,66,2,,,,2,,2,,2,,.,,,1,4,66,226.300.908.287.899
2659446,1,3,1,80,66,2,,,,2,,2,,2,,.,,,1,4,66,286.330.907.850.114
2659446,1,5,1,80,66,2,,,,2,,2,,2,,.,,,1,4,66,286.330.907.850.114
2659448,1,1,1,80,66,1,4,3,,2,,2,,,,,9,2,1,4,66,211.776.167.287.544
2659448,1,2,1,80,66,1,4,7,,2,,2,,,,,8,2,1,4,66,211.776.167.287.544
2659448,1,3,1,80,66,1,4,3,,2,,2,,,,,4,2,1,4,66,211.776.167.287.544
2659450,1,2,1,80,66,1,2,6,,2,,2,,,,,9,2,1,4,66,256.225.099.711.121
2659451,1,2,1,80,66,1,4,3,,2,,2,,,,,9,2,1,4,66,226.300.908.287.899
2659451,1,3,1,80,66,2,,,,2,,2,,1,1,,2,,1,4,66,226.300.908.287.899
2659451,1,4,1,80,66,2,,,,2,,2,,2,,.,,,1,4,66,226.300.908.287.899
2659453,1,2,1,80,66,2,,,,2,,2,,2,,.,,,1,4,66,276.355.273.256.914
2659457,1,2,1,80,66,2,,,,2,,2,,2,,.,,,1,4,66,201.798.085.003.303
2659460,1,2,1,80,66,1,4,3,,2,,2,,,,,9,2,1,4,66,205.635.570.350.596
2659461,1,1,1,80,66,1,4,3,,2,,2,,,4,,8,1,1,4,66,25.565.100.339.748
2659462,1,3,1,80,66,2,,,,2,,2,,2,,.,,,1,4,66,318.366.499.985.903
2659465,1,2,1,80,66,2,,,,2,,2,,2,,.,,,1,4,66,228.360.570.560.638
2659467,1,3,1,80,66,2,,,,2,,2,,2,,.,,,1,4,66,281.343.090.553.514
2659468,1,2,1,80,66,2,,,,2,,2,,2,,.,,,1,4,66,231.236.987.144.672
2659472,1,2,1,80,66,1,4,3,,2,,2,,,,,9,2,1,4,66,192.298.229.891.508
2659473,1,4,1,80,66,2,,,,2,,2,,2,,.,,,1,4,66,297.216.664.086.009
2659473,1,5,1,80,66,2,,,,2,,2,,2,,.,,,1,4,66,297.216.664.086.009
2659475,1,2,1,80,66,2,,,,2,,2,,2,,.,,,1,4,66,316.024.456.474.117
2659475,1,5,1,80,66,1,3,8,,2,,2,,,,,2,2,1,4,66,316.024.456.474.117
