DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P9460;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011
2594961;1;2;1;70;73;1;48;1;;2;2;4;;9;1;;;1;;;;;;;;;1;160000;2;13;13;80;1;1;8050;1;73;203.955.009.799.341
2594962;1;1;1;70;73;2;60;4;;2;14;1;;6;8;;;;;;;;;;1;;2;;2;59;79;52;1;1;5271;1;73;203.126.257.716.881
2594965;1;3;1;70;73;2;48;1;;2;2;1;;4;4;;;;;;;;;;1;;2;;2;39;45;52;1;1;5234;1;73;296.075.421.331.634
2594980;1;1;1;70;66;13;60;1;;2;13;1;;3;1;;;;;;;;;;1;;2;;2;95;95;45;1;1;4521;1;66;238.073.200.040.215
2594981;1;1;1;70;66;52;24;1;;2;52;1;;3;1;;;;;;;;;;1;;2;;2;45;45;52;1;2;5233;1;66;235.600.266.235.053
2594983;1;2;1;70;66;52;48;1;;2;26;4;;9;4;;;;;;;;;;1;;2;;2;13;13;80;1;2;8043;1;66;257.093.092.997.104
2594983;1;3;1;70;66;52;48;1;;2;52;1;;3;4;;;;;;;;;;1;;2;;2;34;45;52;1;2;5233;1;66;257.093.092.997.104
2594986;1;1;1;70;66;2;50;5;;2;3;1;;2;1;;;;;;;;;;1;;1;800000;2;95;95;45;1;1;4521;1;66;163.461.278.745.804
2594986;1;3;1;70;66;12;50;1;;2;13;1;;2;1;;;;;;;;;;1;;1;150000;2;95;97;60;1;1;6042;1;66;163.461.278.745.804
2594986;1;4;1;70;66;2;60;1;;2;24;1;;3;1;;;;;;;;;;1;;2;;2;45;45;52;1;1;5233;1;66;163.461.278.745.804
2594988;1;3;1;70;66;10;48;1;;2;20;1;;3;4;;;;;;;;;;1;;2;;2;45;45;52;1;1;5233;1;66;289.482.565.115.404
2594991;1;6;1;70;66;1;60;3;;2;2;3;;1;1;;;;;;;;;;1;;1;280000;2;54;54;95;1;1;9500;1;66;223.438.795.797.584
2594993;1;4;1;70;66;8;50;1;;2;650;1;;3;1;;;;;;;;;;1;;2;;2;55;32;91;1;1;9191;1;66;144.781.270.711.584
2595000;1;1;1;70;66;3;48;1;;2;3;1;;2;1;;;;;;;;1;;;;1;800000;2;95;95;45;1;1;4521;1;66;317.855.270.817.965
2595000;1;3;1;70;66;32;40;1;;1;;;.;;;.;.;;;;;;;;;.;;;;45;;;1;2;;1;66;317.855.270.817.965
2595000;1;6;1;70;66;3;40;1;;2;3;1;;2;1;;;;;;;;;;1;;1;500000;2;95;95;45;1;1;4521;1;66;317.855.270.817.965
2595003;1;2;1;70;66;1;48;1;;2;1;6;;2;1;;;;;;;;;;1;;2;;2;45;45;52;1;1;5211;1;66;256.055.216.443.788
2595003;1;3;1;70;66;4;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;37;;;1;1;;1;66;256.055.216.443.788
2595004;1;1;1;70;66;4;48;1;;2;4;4;;1;1;;;;;;;;;;1;;1;500000;2;95;71;13;1;1;1320;1;66;208.432.957.465.084
2595015;1;2;1;70;17;2;48;1;;2;53;3;;1;1;;;;;;;;;;1;;2;;2;53;54;95;1;1;9500;1;17;220.941.712.607.915
2595027;1;4;1;70;17;8;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;97;;;1;1;;1;17;181.145.962.129.262
2595033;1;1;1;70;17;52;48;1;;2;250;1;;2;2;;;;;;;;;;1;;2;;2;16;16;74;1;2;7494;1;17;116.388.019.633.493
2595033;1;3;1;70;17;8;48;1;;2;3;1;;5;1;;;1;;;;;;;;;1;2500000;2;19;19;80;1;1;8042;1;17;116.388.019.633.493
2595041;1;1;1;70;17;28;48;2;;2;28;1;;6;2;;;;;;;;;;1;;2;;2;59;59;85;1;2;8511;1;17;191.341.548.756.553
2595043;1;3;1;70;17;16;50;1;;2;16;1;;9;2;;;;;;;;;;1;;2;;2;32;32;65;1;2;6512;1;17;262.743.043.165.981
2595043;1;5;1;70;17;15;50;1;;2;8;1;;3;7;;;;;;;;;;1;;1;50000;2;45;45;52;1;2;5233;1;17;262.743.043.165.981
2595116;1;1;1;70;68;1;48;4;;2;25;2;;9;1;;;;;;;;;;1;;2;;2;45;58;75;1;1;7524;1;68;559.058.836.545.711
2595117;1;3;1;70;68;25;48;4;;2;84;1;;2;1;;;;;1;;;;;;;2;;2;57;57;93;1;2;9302;1;68;488.447.098.335.843
2595128;1;3;1;70;54;24;50;3;;2;26;3;;1;1;;;;;;;;;;1;;2;;2;54;54;95;1;2;9500;1;54;218.069.809.611.829
2595129;1;1;1;70;54;2;50;1;;2;2;1;;4;1;;;;;;;;;;1;;1;600000;2;95;95;45;1;1;4521;1;54;355.623.777.469.093
2595129;1;3;1;70;54;2;30;4;;1;;;.;;;.;.;;;;;;;;;.;;;;54;;;1;1;;1;54;355.623.777.469.093
2595129;1;4;1;70;54;2;50;1;;2;2;9;TRABAJABA PARA UN ASALARIADO;2;1;;;;;;;;;;1;;1;480000;2;95;80;19;1;1;1929;1;54;355.623.777.469.093
2595133;1;4;1;70;54;2;60;1;;2;8;1;;4;4;;;;;;;;;;1;;2;;2;80;80;19;1;1;1924;1;54;445.222.234.524.791
2595174;1;1;1;70;52;52;48;4;;2;52;5;;5;1;;;;;;;;;;1;;2;;2;2;2;45;1;2;4530;1;52;605.801.244.811.149
2595186;1;1;1;70;52;13;48;4;;2;13;4;;9;2;;;;;;;;;;1;;1;3000000;2;5;5;75;1;1;7514;1;52;408.633.019.596.523
2595186;1;2;1;70;52;52;45;1;;2;52;1;;7;1;;;;;;;;;;1;;2;;2;8;8;72;1;2;7220;1;52;408.633.019.596.523
2595188;1;1;1;70;52;4;40;4;;2;4;4;;9;2;;;;;;;;;;1;;1;500000;2;12;12;75;1;1;7523;1;52;143.455.431.439.564
2595189;1;2;1;70;52;3;40;1;;2;3;1;;9;1;;;1;;;;;;;;;1;800000;2;21;21;80;1;1;8050;1;52;133.083.700.769.863
2595218;1;2;1;70;76;8;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;45;;;1;1;;1;76;782.613.365.708.211
2595220;1;2;1;70;76;12;48;5;;2;230;1;;9;2;;;;;1;;;;;;;2;;2;21;30;72;1;1;7220;1;76;976.690.965.017.953
2595233;1;1;1;70;13;26;40;1;;2;26;1;;5;2;;;;;;;;;;1;;2;;2;13;13;80;1;2;8012;1;13;389.418.879.423.652
2595271;1;2;1;70;5;52;48;1;;2;52;4;;1;8;;;;;;;;;;1;;2;;2;56;93;45;1;2;4552;1;5;112.779.151.337.208
2595273;1;1;1;70;11;8;48;1;;2;8;1;;3;4;;;;;;;;;;1;;2;;2;53;53;55;1;1;5521;1;11;251.133.244.375.964
2595274;1;5;1;70;11;2;48;1;;2;2;1;;5;2;;;;;;;;;;1;;1;240000;2;97;97;36;1;1;3699;1;11;234.087.366.774.844
2595298;1;1;1;70;73;130;48;1;;2;6;1;;4;7;;;;;;;;;;1;;2;;2;79;79;18;1;2;1810;1;73;201.873.239.313.826
2595298;1;2;1;70;73;3;60;1;;2;3;1;;4;1;;;;;;;;;;1;;1;140000;2;79;79;18;1;1;1810;1;73;201.873.239.313.826
2595299;1;2;1;70;73;12;48;3;;2;26;4;;1;1;;;;;;;;;;1;;2;;2;54;45;52;1;1;5262;1;73;237.888.357.335.311
2595303;1;2;1;70;73;8;24;1;;2;8;4;;1;2;;;;;;;;;;1;;2;;2;54;45;52;1;1;5261;1;73;235.121.141.938.122
2595304;1;2;1;70;73;8;60;1;;2;14;1;;2;4;;;;;;;;;;1;;2;;2;45;45;52;1;1;5246;1;73;214.018.473.714.233
2595306;1;1;1;70;73;3;48;1;;2;4;4;;1;1;;;;;;;;;;1;;1;100000;2;55;55;74;1;1;7493;1;73;194.021.462.865.799
2595306;1;2;1;70;73;8;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;45;;;1;1;;1;73;194.021.462.865.799
2595307;1;3;1;70;73;6;40;1;;2;58;1;;4;4;;;;;;;;;;1;;2;;2;45;45;52;1;1;5234;1;73;284.138.004.270.917
