DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P9460;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011
2621092;1;3;1;70;2;2;40;2;;1;;;.;;;.;.;;;;;;;;;.;;;;58;;;1;1;;2;63;391.486.697.021.956
2621092;1;4;1;70;2;5;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;87;;;1;1;;2;63;391.486.697.021.956
2621144;1;2;1;70;2;8;40;4;;2;24;4;;1;1;;;;;;;;;;1;;2;;2;54;41;52;1;1;5229;2;63;242.634.288.386.874
2621214;1;2;1;70;2;4;48;1;;2;1;4;;1;1;;;;;;;;;;1;;1;150000;2;45;76;19;1;1;1910;2;63;164.607.125.674.278
2621242;1;1;1;70;2;12;50;4;;2;12;4;;1;4;;;;;;;;;;1;;2;;2;98;97;45;1;1;4521;2;63;410.640.940.456.581
2621243;1;2;1;70;2;104;50;1;;2;104;4;;1;1;;;;;;;;;;1;;2;;2;13;41;52;1;2;5233;2;63;403.177.805.397.895
2621247;1;2;1;70;2;4;50;1;;1;;;.;;;.;.;;;;;;;;;.;;;;32;;;1;1;;2;63;446.123.068.846.363
2624657;1;3;1;70;2;2;40;8;;2;2;4;;4;2;;;;;;;;;;1;;1;200000;2;62;62;1;1;1;111;2;63;363.484.757.860.017
2625284;1;1;1;70;2;8;12;3;;2;8;3;;1;1;;;;;;;;;;1;;2;;2;55;54;95;1;1;9500;2;63;357.233.244.679.651
2625284;1;2;1;70;2;28;48;1;;2;28;1;;2;1;;;;;;;;;;1;;2;;2;45;55;85;1;2;8520;2;63;357.233.244.679.651
2625284;1;4;1;70;2;8;40;1;;2;8;4;;1;1;;;;;;;;;;1;;2;;2;53;55;74;1;1;7493;2;63;357.233.244.679.651
2625290;1;3;1;70;2;6;48;4;;2;7;4;;1;1;;;;;;;;;;1;;2;;2;61;61;1;1;1;111;2;63;257.981.775.746.005
2625290;2;2;2;70;2;24;48;1;;2;104;1;;3;4;;;;;;;;;;1;;2;;2;53;53;55;1;2;5521;2;63;257.981.775.746.005
2625291;1;2;1;70;2;20;48;4;;2;24;4;;1;1;;;;;;;;;;1;;2;;2;55;41;52;1;2;5239;2;63;282.058.068.751.991
2625291;1;3;1;70;2;2;40;4;;2;3;4;;1;1;;;;;;;;;;1;;1;70000;2;61;61;52;1;1;5225;2;63;282.058.068.751.991
2628417;1;2;1;70;2;2;60;8;;2;2;8;;3;1;;;;;;;;;;1;;1;255000;2;62;62;1;1;1;111;2;73;269.434.733.333.895
2628450;1;2;1;70;2;1;20;4;;2;1;6;;2;1;;;;;;;;;;1;;2;;2;53;62;1;1;1;113;2;73;195.937.819.132.695
2628452;1;2;1;70;2;12;40;4;;2;12;1;;4;8;;;;;;;;;;1;;2;;2;53;53;1;1;1;140;2;73;324.340.718.695.454
2628483;1;2;1;70;2;4;48;3;;2;4;3;;1;1;;;;;;;;;;1;;2;;2;53;53;95;1;1;9500;2;73;771.028.277.938.702
2628807;1;3;1;70;2;10;48;1;;2;40;1;;9;1;;;;;;;;;;1;;2;;2;77;77;15;1;1;1522;2;20;307.274.953.792.864
2628862;1;5;1;70;2;1;40;1;;2;4;1;;9;4;;;;;;;;;;1;;2;;2;33;39;60;1;1;6041;2;20;265.066.258.193.181
2628910;1;2;1;70;2;2;40;1;;1;;;.;;;.;.;;;;;;;;;.;;;;13;;;1;1;;2;20;147.476.567.926.866
2629093;1;3;1;70;2;12;48;3;;2;12;3;;1;1;;;;;;;;1;;;;2;;2;54;54;95;1;1;9500;2;15;366.439.174.265.216
2629172;1;2;1;70;2;2;48;1;;2;12;1;;2;1;;;;;;;;;;1;;2;;2;59;45;52;1;1;5233;2;15;142.080.803.160.477
2629204;5;1;5;70;2;4;40;1;;2;4;1;;2;4;;;;;;;;;;1;;1;700000;2;84;45;50;1;1;5030;2;15;731.670.507.383.318
2629223;1;2;1;70;2;24;40;1;;2;88;1;;2;1;;;;;;;;;;1;;2;;2;53;53;55;1;2;5521;2;15;228.235.550.290.719
2629225;1;2;1;70;2;40;40;1;;2;24;1;;9;1;;;;;1;;;;;;;2;;2;3;36;60;1;2;6042;2;15;143.766.021.173.489
2629444;1;2;1;70;2;8;40;1;;1;;;.;;;.;.;;;;;;;;;.;;;;97;;;1;1;;2;19;21.895.533.462.345
2629448;1;2;1;70;2;8;40;3;;1;;;.;;;.;.;;;;;;;;;.;;;;54;;;1;1;;2;19;214.751.088.799.048
2629449;1;2;1;70;2;8;40;3;;1;;;.;;;.;.;;;;;;;;;.;;;;54;;;1;1;;2;19;12.149.125.161.129
2629453;1;3;1;70;2;8;40;1;;1;;;.;;;.;.;;;;;;;;;.;;;;45;;;1;1;;2;19;195.721.220.958.702
2629456;1;1;1;70;2;4;40;4;;2;4;4;;1;1;;;;;;;;;;1;;1;100000;2;61;61;1;1;1;140;2;19;139.815.566.100.411
2629466;1;3;1;70;2;8;40;1;;1;;;.;;;.;.;;;;;;;;;.;;;;62;;;1;1;;2;19;249.641.329.531.321
2629467;1;3;1;70;2;12;40;4;;2;12;4;;1;1;;;;;;;;;;1;;2;;2;61;61;1;1;1;140;2;19;180.468.826.570.754
2629502;1;1;1;70;2;1;40;4;;2;1;4;;1;1;;;;;;;;;;1;;1;180000;2;61;61;1;1;1;140;2;19;247.729.582.535.005
2629502;1;4;1;70;2;12;48;3;;2;52;3;;1;4;;;;;;;;;;1;;2;;2;54;54;95;1;1;9500;2;19;247.729.582.535.005
2629507;1;2;1;70;2;52;48;1;;2;52;3;;1;4;;;;;;;;;;1;;2;;2;45;54;95;1;2;9500;2;19;216.196.565.380.961
2629508;1;2;1;70;2;12;40;1;;2;864;1;;4;4;;;;;;;;1;;;;2;;2;45;45;51;1;1;5125;2;19;21.260.073.382.696
2629515;1;3;1;70;2;20;40;2;;2;20;2;;9;1;;;;;;;;1;;;;2;;2;13;13;80;1;2;8012;2;19;19.412.610.108.258
2629560;1;1;1;70;2;5;48;4;;2;5;4;;1;8;;;;;;;;;;1;;1;30000;2;61;61;1;1;1;140;2;19;217.420.457.593.553
2629578;1;1;1;70;2;14;40;3;;2;72;3;;2;1;;;;;;;;;;1;;2;;2;54;54;95;1;2;9500;2;19;109.182.893.120.493
2629580;1;1;1;70;2;10;48;1;;2;10;1;;9;1;;;;;;;;1;;;;2;;2;55;97;21;1;1;2109;2;19;118.621.677.574.597
2629583;1;2;1;70;2;72;40;1;;2;104;1;;3;2;;;;;;;;1;;;;2;;2;97;53;55;1;2;5521;2;19;144.241.629.124.028
2629585;1;6;1;70;2;25;40;2;;2;16;2;;9;3;;;;;;;;;1;;ESTA ESTUDIANDO;2;;2;32;32;41;1;2;4100;2;19;616.117.502.437.815
2629594;1;3;1;70;2;8;40;2;;1;;;.;;;.;.;;;;;;;;;.;;;;58;;;1;1;;2;19;162.188.289.555.005
2629597;1;4;1;70;2;104;40;1;;1;;;.;;;.;.;;;;;;;;;.;;;;97;;;1;2;;2;19;173.162.362.365.496
2629608;1;2;1;70;2;28;48;3;;2;30;3;;2;3;;;;;;;;1;;;;2;;2;54;54;95;1;2;9500;2;19;888.376.884.647.311
2629610;1;5;1;70;2;5;40;1;;1;;;.;;;.;.;;;;;;;;;.;;;;97;;;1;1;;2;19;194.158.783.780.349
2629611;1;4;1;70;2;8;48;2;;1;;;.;;;.;.;;;;;;;;;.;;;;58;;;1;1;;2;19;189.677.738.905.226
2629614;1;3;1;70;2;4;40;4;;2;5;4;;1;2;;;;;;;;;1;;ESTA ESTUDIANDO;1;15000;2;61;58;92;1;1;9249;2;19;176.035.041.913.726
2629631;1;3;1;70;2;2;40;3;;2;3;3;;1;4;;;;;;;;1;;;;2;;2;54;54;95;1;1;9500;2;19;192.253.061.669.899
2629631;1;6;1;70;2;4;40;1;;2;4;1;;2;4;;;;;;;;1;;;;2;;2;97;36;60;1;1;6022;2;19;192.253.061.669.899
2629631;2;2;2;70;2;8;50;3;;1;;;.;;;.;.;;;;;;;;;.;;;;54;;;1;1;;2;19;192.253.061.669.899
2629631;2;3;2;70;2;32;60;2;;1;;;.;;;.;.;;;;;;;;;.;;;;58;;;1;2;;2;19;192.253.061.669.899
2629632;1;3;1;70;2;8;40;1;;1;;;.;;;.;.;;;;;;;;;.;;;;97;;;1;1;;2;19;160.448.945.831.397
2629634;1;4;1;70;2;16;40;1;;2;16;1;;9;4;;;;;;;;;;1;;2;;2;30;97;21;1;2;2109;2;19;200.337.184.385.253
2629635;1;2;1;70;2;8;50;1;;1;;;.;;;.;.;;;;;;;;;.;;;;55;;;1;1;;2;19;156.319.865.830.986
2629636;1;2;1;70;2;4;40;1;;1;;;.;;;.;.;;;;;;;;;.;;;;97;;;1;1;;2;19;168.538.832.230.919
2629638;1;2;1;70;2;2;40;1;;2;12;3;;1;4;;;;;;;;;;1;;2;;2;97;54;95;1;1;9500;2;19;751.915.885.340.424
2629638;1;3;1;70;2;10;40;3;;1;;;.;;;.;.;;;;;;;;;.;;;;54;;;1;1;;2;19;751.915.885.340.424
2629638;2;1;2;70;2;2;40;3;;1;;;.;;;.;.;;;;;;;;;.;;;;54;;;1;1;;2;19;751.915.885.340.424
