DIRECTORIO,SECUENCIA_P,P5000,P5010,P5020,P5030,P5040,P5050,P5070,P5080,P5090,P5090S1,P5100,P5110,P5130,P5140,P5210S1,P5210S10,P5210S11,P5210S14,P5210S15,P5210S16,P5210S17,P5210S18,P5210S19,P5210S2,P5210S20,P5210S21,P5210S22,P5210S24,P5210S3,P5210S4,P5210S5,P5210S6,P5210S7,P5210S8,P5210S9,P5220,P5220S1,P6006,P6007,P6007S1,P6008,HOGAR,P4000,P4010,P4020,P4030S1,P4030S2,P4030S3,P4030S4,P4030S5,P4030S1A1,P4030S4A1,P4040,REGIS,clase,MES,DPTO,ORDEN,fex_c_2011
2737557,1,3,2,2,1,5,2,1,5,4,,,,100000,,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,1,2,2,,4,1,1,4,3,1,2,2,2,1,1,,1,1,2,7,63,1,121.729.698.389.449
2737558,1,6,4,2,1,5,2,1,5,1,,,18000000,400000,,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,5,2,2,,9,1,1,1,2,1,2,2,2,2,1,,,1,2,7,63,1,123.466.005.764.685
2737559,1,7,2,3,1,4,1,1,4,4,,,,200000,,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,3,2,2,,3,1,1,4,2,1,2,2,2,1,1,,1,1,2,7,63,1,171.119.925.949.307
2737560,1,4,2,2,1,4,1,1,4,1,,,25000000,250000,,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1,2,2,2,,3,1,1,1,4,1,2,2,2,1,3,,1,1,2,7,63,1,171.119.925.949.307
2737561,1,4,1,3,1,1,1,1,4,1,,,98,120000,,2,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2,2,1,1,2,2,,2,1,1,1,4,1,2,2,1,1,3,2,1,1,2,7,63,1,122.803.406.084.098
2737564,1,4,3,1,1,1,1,1,3,1,,,98,80000,,2,2,1,1,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,1,2,2,1,3,3,1,1,1,4,1,1,1,1,1,1,3,1,1,2,7,63,1,176.973.197.398.665
2737565,1,4,3,1,1,1,1,1,3,1,,,12000000,80000,,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,1,3,2,2,,4,1,1,1,2,1,1,1,1,1,1,3,1,1,2,7,63,1,173.640.446.806.829
2737566,1,3,2,1,1,1,1,1,3,3,,,,,80000,2,2,1,1,1,2,2,2,2,2,1,2,2,2,2,2,1,2,1,2,2,1,2,2,2,,3,1,1,1,2,1,1,1,1,1,1,3,1,1,2,7,63,1,171.119.925.949.307
2737567,1,2,1,1,1,1,1,3,4,3,,,,,50000,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,,2,1,1,1,2,1,2,1,1,1,2,3,1,1,2,7,63,1,164.160.641.684.532
2737568,1,1,1,1,2,1,1,1,4,1,,,10000000,120000,,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,2,2,1,2,2,2,,2,1,3,1,4,1,2,1,1,1,2,3,1,1,2,7,63,1,152.765.378.394.965
