DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,CLASE,P6290,P6290S1,P6230,P6240,P6240S1,P6250,P6260,P6270,P6280,P6300,P6310,P6310S1,P6320,P6330,P6340,P6350,P6351,MES,DPTO,fex_c_2011
2709819,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,6,54,121.274.651.451.874
2709820,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,6,54,118.654.590.967.032
2709820,1,2,1,50,2,,,2,4,,2,2,2,2,2,,,,,,,,6,54,118.654.590.967.032
2709820,1,3,1,50,2,,,2,3,,2,2,2,2,2,,,,,,,,6,54,118.654.590.967.032
2709820,1,4,1,50,2,,,4,1,,,,,,,,,,,,,,6,54,118.654.590.967.032
2709821,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,6,54,143.819.528.205.643
2709821,1,2,1,50,2,,,2,4,,2,2,2,2,2,,,,,,,,6,54,143.819.528.205.643
2709822,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,6,54,110.507.345.298.501
2709822,1,2,1,50,2,,,2,4,,2,2,2,2,2,,,,,,,,6,54,110.507.345.298.501
2709823,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,6,54,171.347.334.724.535
2709823,1,2,1,50,2,,,2,4,,2,2,2,2,1,11,,,,,,,6,54,171.347.334.724.535
2709823,1,3,1,50,2,,,2,3,,2,2,2,2,1,12,,,,,,,6,54,171.347.334.724.535
2709823,1,4,1,50,2,,,4,1,,,,,,,,,,,,,,6,54,171.347.334.724.535
2709823,1,5,1,50,2,,,2,3,,2,2,2,2,2,,,,,,,,6,54,171.347.334.724.535
2709824,1,1,1,50,2,,,1,6,REPARANDO LA VIVIENDA,2,2,2,2,2,,,,,,,,6,54,120.319.200.079.043
2709824,1,2,1,50,2,,,2,1,,,,,,,,,,,,,,6,54,120.319.200.079.043
2709824,1,3,1,50,2,1,,3,4,,2,2,2,1,,,,,,,,1,6,54,120.319.200.079.043
2709824,1,4,1,50,2,,,2,3,,2,2,2,2,2,,,,,,,,6,54,120.319.200.079.043
2709825,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,6,54,13.910.529.696.152
2709825,1,2,1,50,2,,,2,4,,2,2,2,2,2,,,,,,,,6,54,13.910.529.696.152
2709825,1,3,1,50,2,,,3,1,,,,,,,,,,,,,,6,54,13.910.529.696.152
2709825,1,4,1,50,2,,,4,6,REPOSO POR ACCIDENTE LABORAL,2,2,2,2,1,11,,,,,,,6,54,13.910.529.696.152
2709826,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,6,54,106.581.894.871.012
2709826,1,2,1,50,2,,,2,4,,2,2,2,2,2,,,,,,,,6,54,106.581.894.871.012
2709826,1,3,1,50,2,,,2,3,,2,2,2,2,2,,,,,,,,6,54,106.581.894.871.012
2709826,1,4,1,50,2,,,2,3,,2,2,2,2,2,,,,,,,,6,54,106.581.894.871.012
2709826,2,1,2,50,2,,,1,4,,2,2,2,2,2,,,,,,,,6,54,106.581.894.871.012
2709827,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,6,54,100.810.184.289.255
2709827,1,2,1,50,2,,,2,4,,2,2,2,2,2,,,,,,,,6,54,100.810.184.289.255
