DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,CLASE,P6290,P6290S1,P6230,P6240,P6240S1,P6250,P6260,P6270,P6280,P6300,P6310,P6310S1,P6320,P6330,P6340,P6350,P6351,MES,DPTO,fex_c_2011
2689906,1,1,1,50,2,,,3,6,VER TV LEER,2,2,2,2,2,,,,,,,,5,63,937.681.146.004.499
2689906,1,2,1,50,2,,,2,6,ARREGLAR EL JARDIN,2,2,2,2,2,,,,,,,,5,63,937.681.146.004.499
2689906,1,3,1,50,2,1,,3,4,,2,2,2,1,,,,,,,,1,5,63,937.681.146.004.499
2689906,1,4,1,50,2,,,4,4,,2,2,2,2,1,7,,2,,2,,,5,63,937.681.146.004.499
2689906,1,5,1,50,2,,,5,1,,,,,,,,,,,,,,5,63,937.681.146.004.499
2689907,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,5,63,9.021.990.229.659
2689907,1,2,1,50,2,,,2,4,,2,2,2,2,2,,,,,,,,5,63,9.021.990.229.659
2689907,1,3,1,50,2,2,,3,4,,2,2,2,1,,,,,,,,1,5,63,9.021.990.229.659
2689907,1,4,1,50,2,,,2,6,LEER VER TV,2,2,2,2,2,,,,,,,,5,63,9.021.990.229.659
2689908,1,1,1,50,2,1,,1,4,,2,2,2,1,,,,,,,,1,5,63,572.555.517.345.524
2689908,1,2,1,50,2,,,1,3,,2,2,2,2,2,,,,,,,,5,63,572.555.517.345.524
2689908,1,3,1,50,2,,,1,3,,2,2,2,2,2,,,,,,,,5,63,572.555.517.345.524
2689909,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,5,63,906.981.847.822.276
2689909,1,2,1,50,2,,,2,4,,2,1,,,,,,,,,,,5,63,906.981.847.822.276
2689909,1,3,1,50,2,,,1,3,,2,2,2,2,2,,,,,,,,5,63,906.981.847.822.276
2689910,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,5,63,146.308.077.205.122
2689910,1,2,1,50,2,,,2,4,,1,,,,,,,,,,,,5,63,146.308.077.205.122
2689910,1,3,1,50,2,,,3,1,,,,,,,,,,,,,,5,63,146.308.077.205.122
2689910,1,4,1,50,2,,,4,6,VER TV JUGAR FOOTBALL,2,2,2,2,1,9,,,,,,,5,63,146.308.077.205.122
2689911,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,5,63,145.841.237.615.224
2689911,1,2,1,50,2,,,1,3,,2,2,2,2,2,,,,,,,,5,63,145.841.237.615.224
2689911,1,3,1,50,2,,,1,3,,2,2,2,2,2,,,,,,,,5,63,145.841.237.615.224
2689911,1,5,1,50,2,,,5,4,,2,2,2,2,2,,,,,,,,5,63,145.841.237.615.224
2689911,1,6,1,50,2,,,6,1,,,,,,,,,,,,,,5,63,145.841.237.615.224
2689911,1,8,1,50,2,,,8,1,,,,,,,,,,,,,,5,63,145.841.237.615.224
2689912,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,5,63,106.400.726.595.967
2689912,1,2,1,50,2,,,2,1,,,,,,,,,,,,,,5,63,106.400.726.595.967
2689912,1,3,1,50,2,,,3,1,,,,,,,,,,,,,,5,63,106.400.726.595.967
