Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7454;P7456;P7458s1;P7458;P7452;Ini;Mes;Dpto;Fex_c_2011
3012326;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;08;63;419,904423508762
3012330;1;1;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;08;63;518,100374636267
3012330;1;6;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;63;518,100374636267
3012332;1;2;1;80;2;1;4;8; ;2; ;2; ; ; ; ;9;2;1;08;63;334,208030706326
3012332;1;3;1;80;2;1;2;4; ;2; ;2; ; ; ; ;4;2;1;08;63;334,208030706326
3012334;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;08;63;291,899157752258
3012334;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;63;291,899157752258
3012335;2;1;2;80;2;1;1;3; ;2; ;1;20000; ; ; ;9;2;1;08;63;405,371347831934
3012335;2;2;2;80;2;1;1;2; ;2; ;2; ; ; ; ;2;2;1;08;63;405,371347831934
3012335;2;4;2;80;2;1;1;3; ;2; ;2; ; ; ; ;9;2;1;08;63;405,371347831934
3012336;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;63;664,723356646401
3012337;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;08;63;496,681398816936
3012337;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;63;496,681398816936
3012337;1;4;1;80;2;1;1;2; ;2; ;2; ; ; ; ;2;2;1;08;63;496,681398816936
3012339;1;1;1;80;2;1;2;1; ;2; ;2; ; ; ; ;9;2;1;08;63;388,879234723096
3012339;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;63;388,879234723096
3012340;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;08;63;719,599163494944
3012342;1;1;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;08;63;648,132456752449
3012342;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;63;648,132456752449
3012342;1;5;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;63;648,132456752449
3012343;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;63;502,601850373558
3012343;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;63;502,601850373558
3012344;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;63;295,031525584696
3012345;1;2;1;80;2;1;1;3; ;2; ;2; ; ; ; ;9;2;1;08;63;640,156066683535
3012348;1;2;1;80;2;1;3;3; ;2; ;2; ; ; ; ;9;2;1;08;63;539,057046031599
3012350;1;2;1;80;2;1;2;8; ;2; ;2; ; ; ; ;4;2;1;08;63;453,160477073769
3012352;1;2;1;80;2;1;3;3; ;2; ;2; ; ; ; ;9;2;1;08;63;355,623181158089
3012352;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;63;355,623181158089
3012353;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;08;63;355,623181158089
3012353;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;63;355,623181158089
3012360;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;63;741,148470116808
3012360;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;63;741,148470116808
3012365;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;08;63;1045,34313777447
3012365;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;63;1045,34313777447
3012365;1;7;1;80;2;1;3;1; ;2; ;2; ; ; ; ;8;2;1;08;63;1045,34313777447
3012366;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;63;496,681398816936
3012366;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;63;496,681398816936
3012367;1;2;1;80;2;1;3;7; ;2; ;2; ; ; ; ;9;2;1;08;63;529,937452381944
3012367;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;63;529,937452381944
3012369;1;2;1;80;2;1;1;3; ;2; ;2; ; ; ; ;9;2;1;08;63;496,681398816936
3012369;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;63;496,681398816936
3012371;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;08;63;496,7880160356
3012371;1;5;1;80;2;1;1;8; ;1;1;2; ; ; ; ;1;2;1;08;63;496,7880160356
3012372;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;08;63;503,595439219688
3012372;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;63;503,595439219688
3012372;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;63;503,595439219688
3012372;1;6;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;63;503,595439219688
3012372;1;8;1;80;2;1;4;4; ;2; ;2; ; ; ; ;4;2;1;08;63;503,595439219688
3012372;1;9;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;63;503,595439219688
3012373;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;63;719,599163494944
3012374;1;2;1;80;2;1;3;3; ;2; ;2; ; ; ; ;9;2;1;08;63;546,660219382902
3012374;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;63;546,660219382902
3012374;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;63;546,660219382902
3012375;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;08;63;410,9850060145
3012375;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;63;410,9850060145
3012375;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;63;410,9850060145
3012376;1;2;1;80;2;1;1;3; ;2; ;2; ; ; ; ;9;2;1;08;63;401,609446940286
3012376;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;63;401,609446940286
3012377;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;08;63;435,754809609238
