Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011;Area
2883109;1;3;1;70;1;4;24;1; ;2;51;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5211;02;73;335,556036652347;73
2883110;1;3;1;70;1;8;48;1; ;2;8;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;03;51;1;1;5170;02;73;505,463477057252;73
2883112;1;2;1;70;1;6;48;1; ;2;6;1; ;4;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;02;02;45;1;1;4530;02;73;234,867415251931;73
2883117;1;2;1;70;1;2;48;1; ;2;160;1; ;4;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;79;59;85;1;1;8512;02;73;280,053647225525;73
2883118;1;2;1;70;1;56;48;1; ;2;24;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;62;01;1;2;0140;02;73;261,208331244141;73
2883121;1;2;1;70;1;2;48;1; ;2;2;1; ;2;1; ; ;1; ; ; ; ; ; ; ; ;1;350000;2;95;95;45;1;1;4521;02;73;207,478384814747;73
2883128;1;3;1;70;1;3;48;1; ;2;52;1; ;4;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;21;32;80;1;1;8022;02;18;52,9185885658757;18
2883141;1;1;1;70;1;2;40;1; ;2;2;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;70000;2;45;54;74;1;1;7493;02;18;60,6467639343832;18
2883142;1;3;1;70;1;28;48;1; ;2;32;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;62;01;1;2;0121;02;18;48,9534246229677;18
2883142;1;4;1;70;1;12;48;1; ;2;6;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5233;02;18;48,9534246229677;18
