Directorio;Secuencia_p;Orden;Hogar;Regis;P6016;P6020;P6030;P6030s1;P6030s3;P6040;P6050;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210s1;P6220;Area;Esc;Mes;Dpto;Fex_c_2011
2969397;1;1;1;10;1;1;1;5;1962;50;1;3;1; ; ;1;3;70900;2;1;2; ;3;5; ;73;5;06;73;231,665037459272
2969397;1;2;1;10;2;2;1;5;1961;51;2;3;1; ; ;1;5; ;2;1;2; ;3;5; ;73;5;06;73;231,665037459272
2969398;1;1;1;10;1;1;1;7;1944;67;1;3;1; ; ;2;2;420000;2;1;2; ;6;9;5;73;20;06;73;235,535506470169
2969398;1;2;1;10;2;2;1;1;1948;64;2;3;1; ; ;2;5; ;2;1;2; ;5;11;2;73;11;06;73;235,535506470169
2969399;1;1;1;10;1;1;1;1;1984;28;1;3;1; ; ;1;1;32000;2;1;2; ;6;5;4;73;16;06;73;301,312007374586
2969399;1;2;1;10;2;2;1;5;1989;23;2;3;1; ; ;1;5; ;2;1;2; ;5;11;2;73;11;06;73;301,312007374586
2969399;1;3;1;10;2;2;1;3;2010;2;3; ;1; ; ;1;5; ;2; ; ; ; ; ; ;73; ;06;73;301,312007374586
2969399;2;1;2;10;1;1;1;12;1981;30;1;2;1; ; ;1;1;26000;2;1;2; ;5;11;2;73;11;06;73;301,312007374586
2969399;2;2;2;10;2;2;1;1;1978;34;2;2;1; ; ;1;5; ;2;1;2; ;6;2;3;73;13;06;73;301,312007374586
2969399;2;3;2;10;2;1;1;5;2004;8;3; ;1; ; ;1;5; ;2;1;1;2;3;1; ;73;1;06;73;301,312007374586
2969399;2;4;2;10;2;1;1;12;2007;4;3; ;1; ; ;1;5; ;2;2;1;2;2;0; ;73;0;06;73;301,312007374586
2969400;1;1;1;10;1;2;1;8;1960;51;1;4;1; ; ;2;1;320000;2;1;2; ;6;9;5;73;20;06;73;175,771861820795
2969401;1;1;1;10;1;1;1;3;1954;58;1;4;2;1;180; ; ; ;2;1;2; ;3;4; ;73;4;06;73;370,091184698319
2969401;1;2;1;10;2;1;1;4;1968;44;5;6;2;1;120; ; ; ;2;1;2; ;3;3; ;73;3;06;73;370,091184698319
2969401;1;3;1;10;3;1;1;7;1969;42;9;6;2;2; ; ; ; ;2;1;2; ;3;5; ;73;5;06;73;370,091184698319
