Directorio;Secuencia_p;Orden;Hogar;Regis;Area;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011
2903873;1;1;1;70;54;8;36;5; ;2;8;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;1;300000;2;21;79;18;1;1;1810;03;54;453,930869552387
2903873;1;2;1;70;54;6;48;1; ;2;24;1; ;6;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5233;03;54;453,930869552387
2903878;1;2;1;70;54;104;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;39; ; ;1;2; ;03;54;389,413823183468
2903885;1;1;1;70;54;14;48;4; ;2;14;5; ;4;6; ; ; ;1; ; ; ; ; ; ; ;2; ;2;02;02;45;1;2;4530;03;54;400,50335068085
2903898;1;1;1;70;17;104;48;1; ;2;104;1; ;6;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;33;33;52;1;2;5211;03;17;194,832184227713
2903904;1;1;1;70;17;8;8;1; ;2;250;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;85;85;80;1;1;8043;03;17;180,246273466319
2903922;1;4;1;70;17;8;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;32; ; ;1;1; ;03;17;146,516445470941
2903985;1;1;1;70;66;3;60;3; ;2;3;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;250000;2;54;71;14;1;1;1411;03;66;202,813221490897
2903991;1;2;1;70;66;32;48;1; ;2;32;1; ;7;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;58;70;1;2;7020;03;66;192,980548400484
2903995;1;2;1;70;66;13;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;03;66;162,392984533912
