Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7454;P7456;P7458s1;P7458;P7452;Ini;Mes;Dpto;Fex_c_2011;Area
2903873;1;3;1;80;1;1;2;2; ;2; ;2; ; ; ; ;2;2;1;03;54;453,930869552387;54
2903873;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;54;453,930869552387;54
2903874;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;4;2;1;03;54;376,09766668538;54
2903878;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;4;2;1;03;54;389,413823183468;54
2903878;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;54;389,413823183468;54
2903878;1;4;1;80;1;1;4;4; ;2; ;2; ; ; ; ;4;2;1;03;54;389,413823183468;54
2903887;1;3;1;80;1;1;1;2; ;2; ;2; ; ; ; ;2;2;1;03;15;108,425140765176;15
2903887;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;15;108,425140765176;15
2903888;1;1;1;80;1;1;3;4; ;2; ;2; ; ;2; ;8;1;1;03;15;68,6390572059394;15
2903888;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;15;68,6390572059394;15
2903889;1;2;1;80;1;1;4;4; ;2; ;2; ; ; ; ;4;2;1;03;15;106,411302900887;15
2903891;1;1;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;15;181,799729502944;15
2903892;1;2;1;80;1;1;1;2; ;2; ;2; ; ; ; ;2;2;1;03;15;185,947067208759;15
2903893;1;1;1;80;1;1;4;5; ;2; ;2; ; ; ; ;8;2;1;03;15;123,855737943606;15
2903893;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;15;123,855737943606;15
2903894;1;1;1;80;1;1;3;4; ;2; ;2; ; ; ; ;4;2;1;03;15;190,124256033055;15
2903894;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;15;190,124256033055;15
2903894;1;5;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;15;190,124256033055;15
2903896;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;15;110,06661703868;15
2903896;1;3;1;80;1;1;4;7; ;2; ;2; ; ; ; ;8;2;1;03;15;110,06661703868;15
2903896;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;15;110,06661703868;15
2903897;1;3;1;80;1;1;1;2; ;2; ;2; ; ; ; ;2;2;1;03;15;227,620063967471;15
2903900;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;17;172,341425642973;17
2903900;1;3;1;80;1;1;1;2; ;2; ;2; ; ; ; ;2;2;1;03;17;172,341425642973;17
2903903;1;1;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;17;180,246273466319;17
2903905;1;1;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;17;213,01579357462;17
2903905;1;2;1;80;1;1;4;4; ;2; ;2; ; ; ; ;4;2;1;03;17;213,01579357462;17
2903906;1;1;1;80;1;1;4;4; ;3; ;2; ; ; ; ;4;2;1;03;17;204,328164807443;17
2903906;1;2;1;80;1;1;4;5; ;3; ;2; ; ; ; ;4;2;1;03;17;204,328164807443;17
2903906;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;17;204,328164807443;17
2903907;1;1;1;80;1;1;3;5; ;3; ;2; ; ; ; ;4;2;1;03;17;213,01579357462;17
2903907;1;2;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;03;17;213,01579357462;17
2903909;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;17;185,161081078796;17
