Directorio;Secuencia_p;Orden;Hogar;Regis;Area;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011
3074930;1;3;1;70;17;12;48;1; ;2;12;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;03;03;33;1;1;3312;11;17;185,019008304178
3074932;1;2;1;70;17;8;48;1; ;2;16;3; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;54;95;1;1;9500;11;17;208,45523656401
3074944;1;1;1;70;17;2;48;1; ;2;40;1; ;7;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;1;4521;11;17;172,827443401891
3074944;1;2;1;70;17;1;20;3; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;54; ; ;1;1; ;11;17;172,827443401891
3074953;1;3;1;70;17;52;48;1; ;2;52;1; ;7;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;97;55;92;1;2;9242;11;17;185,498067546561
3074957;1;2;1;70;17;12;48;1; ;2;12;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5233;11;17;137,639849527856
3074966;1;3;1;70;66;4;24;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;11;66;275,169164454679
3074967;1;2;1;70;66;3;50;1; ;2;3;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;1;650000;2;80;80;19;1;1;1921;11;66;352,931439663003
3074967;1;3;1;70;66;32;48;1; ;2;32;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;2;4521;11;66;352,931439663003
3074967;1;4;1;70;66;26;60;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;95; ; ;1;2; ;11;66;352,931439663003
3074973;1;1;1;70;66;20;48;1; ;2;20;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;62;95;45;1;2;4530;11;66;291,918260363108
3075063;1;2;1;70;73;2;40;1; ;2;2;1; ;3;7; ; ; ; ; ; ; ; ; ;1; ;1;300000;2;53;53;55;1;1;5521;11;73;154,658884598137
3075064;1;2;1;70;73;104;48;2; ;2;52;4; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;11;11;75;1;2;7512;11;73;230,703437267095
3075121;1;3;1;70;76;1;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;57; ; ;1;1; ;11;76;728,591747902643
3075123;1;1;1;70;76;8;48;1; ;2;34;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;45;52;1;1;5261;11;76;721,97714703171
3075223;1;4;1;70;52;45;45;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;2; ;11;52;84,8362036869843
3075223;1;7;1;70;52;4;45;1; ;2;52;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5211;11;52;84,8362036869843
3075227;1;2;1;70;52;13;40;3; ;2;13;3; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;11;52;179,730309096618
3075228;1;1;1;70;52;78;48;1; ;2;78;2; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;85;40;1;2;4010;11;52;129,451920665847
