Directorio;Secuencia_p;Orden;Hogar;Regis;Area;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011
3031901;1;2;1;70;17;4;48;1; ;2;260;1; ;8;2; ; ; ; ; ; ; ; ; ;1; ;1;35000;2;45;79;18;1;1;1810;09;17;129,189032682382
3031903;1;1;1;70;17;1;48;1; ;2;1;1; ;5;1; ; ; ; ; ; ; ; ; ;1; ;1;720000;2;58;58;63;1;1;6331;09;17;279,61281055048
3031905;1;2;1;70;17;2;36;1; ;2;4;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;1;275000;2;03;38;74;1;1;7499;09;17;319,48664256416
3031909;1;2;1;70;17;2;48;1; ;2;4;1; ;9;5; ; ;1; ; ; ; ; ; ; ; ;1;566700;2;38;03;92;1;1;9242;09;17;393,405090695086
3031914;1;3;1;70;17;4;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;38; ; ;1;1; ;09;17;147,040309920402
3031915;1;2;1;70;17;4;48;3; ;2;12;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;26000;2;54;54;95;1;1;9500;09;17;154,435241702313
3031916;1;1;1;70;17;120;48;1; ;2;120;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;55;1;2;5522;09;17;356,874266151512
3031916;1;2;1;70;17;24;48;1; ;2;24;1; ;3;8; ; ; ; ; ; ; ; ; ;1; ;1;28000;2;58;58;74;1;2;7492;09;17;356,874266151512
3031917;1;1;1;70;17;52;48;4; ;2;52;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;98;98;60;1;2;6031;09;17;168,957775958348
3031921;1;3;1;70;17;4;70;2; ;2;16;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;58;64;1;1;6412;09;17;161,8289600509
3031932;1;3;1;70;17;8;48;1; ;2;56;1; ;9;9;ES BENEFICIARIA DE SU EXESPOSO; ; ; ; ; ; ; ; ;1; ;2; ;2;32;32;85;1;1;8511;09;17;192,588831573211
3031934;1;3;1;70;17;50;48;1; ;2;50;1; ;6;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;32;74;1;2;7492;09;17;82,5976947452147
3031958;1;1;1;70;66;4;30;4; ;2;5;4; ;1;1; ; ; ; ;1; ; ; ; ; ; ;2; ;2;53;53;55;1;1;5529;09;66;850,160967111044
