Directorio;Secuencia_p;Orden;Hogar;Regis;Area;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011
3353671;1;1;1;70;17;48;48;1; ;2;48;1; ;9;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;79;80;19;1;2;1921;12;17;109,099971120771
3353690;1;1;1;70;17;4;48;4; ;2;4;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;1;300000;2;85;85;52;1;1;5272;12;17;188,618125579696
3353730;1;3;1;70;73;2;40;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;12;73;348,268532450693
3353740;1;1;1;70;73;208;24;4; ;2;208;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;44;70;1;2;7020;12;73;157,442693484239
3353740;1;4;1;70;73;12;40;3; ;2;4;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;30000;2;54;56;93;1;1;9301;12;73;157,442693484239
3353744;1;3;1;70;73;2;48;1; ;2;2;2; ;9;8; ; ; ; ; ; ; ; ; ;1; ;1;87000;2;45;58;75;1;1;7522;12;73;304,910430978473
3353752;1;2;1;70;76;2;48;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;59; ; ;1;1; ;12;76;942,543242466333
3353754;1;2;1;70;76;8;48;1; ;2;16;1; ;3;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;54;80;1;1;8011;12;76;1408,42898294034
3353770;1;1;1;70;52;1;40;2; ;2;1;2; ;9;1; ; ;1; ; ; ; ; ; ; ; ;1;4900000;2;12;12;75;1;1;7523;12;52;207,111755337268
3353776;1;1;1;70;52;52;30;1; ;2;2;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;1;30000;2;53;45;52;1;2;5261;12;52;215,755574925586
3353779;1;2;1;70;52;52;48;1; ;2;52;1; ;3;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;44;63;1;2;6340;12;52;213,796570423857
3353802;1;1;1;70;50;52;25;1; ;2;105;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;55;1;2;5529;12;50;171,937233639777
3353820;1;1;1;70;76;4;48;1; ;2;4;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;1;400000;2;33;33;52;1;1;5211;12;76;1076,97839408864
3353822;1;1;1;70;76;52;48;1; ;2;60;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;44;70;1;2;7020;12;76;883,165729025546
3353830;1;3;1;70;76;24;48;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;03; ; ;1;2; ;12;76;1214,61631787724
3353875;1;10;1;70;17;4;48;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;73; ; ;1;1; ;12;17;297,391210089755
3353876;1;2;1;70;17;8;48;1; ;2;28;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;97;99;91;1;1;9199;12;17;241,486555083471
3353883;1;3;1;70;17;16;50;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;53; ; ;1;2; ;12;17;202,566104383665
3353886;1;2;1;70;17;2;48;1; ;2;2;1; ;5;1; ; ; ; ; ; ; ; ; ;1; ;1;600000;2;95;58;45;1;1;4522;12;17;157,259098793221
3353898;1;1;1;70;17;99;48;1; ;2;99;1; ;6;7; ; ; ;1; ; ; ; ; ; ; ;2; ;2;55;32;65;1;2;6512;12;17;144,505049557499
3353921;1;4;1;70;17;4;48;1; ;2;52;3; ;1;2; ; ; ; ;1; ; ; ; ; ; ;2; ;2;38;54;95;1;1;9500;12;17;331,960061399065
3354050;1;3;1;70;66;16;48;1; ;2;16;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;21;45;35;1;2;3591;12;66;267,042783014284
3354052;1;1;1;70;66;4;48;4; ;2;4;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;7000;2;56;56;93;1;1;9301;12;66;272,722789759166
3354066;1;3;1;70;66;12;48;1; ;2;12;2; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;58;75;1;1;7522;12;66;287,369725100608
3354068;1;2;1;70;66;8;48;1; ;2;8;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5239;12;66;346,706286084711
3354074;1;4;1;70;66;32;48;1; ;2;32;1; ;7;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;39;52;1;2;5233;12;66;228,604543195201
3354076;1;2;1;70;66;24;48;1; ;2;24;1; ;5;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;58;70;1;2;7020;12;66;254,900449369904
3354087;1;1;1;70;66;3;48;1; ;2;3;1; ;5;2; ; ; ; ; ; ; ; ; ;1; ;1;800000;2;21;21;50;1;1;5020;12;66;284,562542103901
3354091;1;2;1;70;66;52;60;1; ;2;52;1; ;5;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;79;79;18;1;2;1810;12;66;688,393207420167
