Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7454;P7456;P7458s1;P7458;P7452;Ini;Mes;Dpto;Fex_c_2011;Area
3117897;1;1;1;80;1;1;4;9;LOS HIJOS NO LA DEJABAN;2; ;2; ; ; ; ;10;2;1;01;73;247,787473924792;73
3117900;1;2;1;80;1;1;1;6; ;2; ;2; ; ; ; ;6;2;1;01;73;234,780400146907;73
3117901;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;01;73;279,448163873517;73
3117901;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;01;73;279,448163873517;73
3117902;1;1;1;80;1;1;4;7; ;2; ;2; ; ; ; ;1;2;1;01;73;228,129050197745;73
3117902;1;2;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;01;73;228,129050197745;73
3117903;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;8;2;1;01;73;263,696449134841;73
3117903;1;2;1;80;1;1;4;4; ;3; ;2; ; ; ; ;4;2;1;01;73;263,696449134841;73
3117905;1;3;1;80;1;1;2;8; ;2; ;2; ; ;2; ;2;1;1;01;73;218,245258735545;73
3117906;1;2;1;80;1;2; ; ; ;2; ;2; ;1;4; ;9; ;1;01;73;179,046723129167;73
3117908;1;2;1;80;1;1;3;7; ;2; ;2; ; ;2; ;9;1;1;01;17;214,091907188192;17
3117908;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;01;17;214,091907188192;17
3117908;1;6;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;01;17;214,091907188192;17
3117908;1;8;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;01;17;214,091907188192;17
3117909;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;01;17;155,330053361772;17
3117911;1;3;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;01;17;194,51016165982;17
3117912;1;1;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;01;17;149,813132884652;17
3117912;1;2;1;80;1;1;1;8; ;2; ;2; ; ; ; ;7;2;1;01;17;149,813132884652;17
3117912;1;3;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;01;17;149,813132884652;17
3117913;1;2;1;80;1;1;1;8; ;2; ;1;60000; ; ; ;9;2;1;01;17;193,01810216705;17
3117915;1;2;1;80;1;1;4;6; ;2; ;2; ; ; ; ;9;2;1;01;17;152,027805745789;17
3117917;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;01;17;171,300833887796;17
3117917;1;4;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;01;17;171,300833887796;17
3117919;1;1;1;80;1;1;4;7; ;2; ;2; ; ; ; ;8;2;1;01;17;84,9806813460719;17
3117919;1;5;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;01;17;84,9806813460719;17
3117921;1;1;1;80;1;1;2;5; ;3; ;2; ; ; ; ;10;2;1;01;17;119,022771712349;17
3117921;1;2;1;80;1;1;4;4; ;2; ;2; ; ; ; ;4;2;1;01;17;119,022771712349;17
3117921;1;3;1;80;1;1;1;2; ;2; ;2; ; ; ; ;2;2;1;01;17;119,022771712349;17
3117925;1;2;1;80;1;1;4;7; ;2; ;2; ; ; ; ;8;2;1;01;17;202,638601100681;17
3117929;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;10;2;1;01;17;167,920515956454;17
3117930;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;10;2;1;01;17;182,642959590308;17
3117932;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;01;17;243,65980234473;17
3117932;1;3;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;01;17;243,65980234473;17
3117933;1;2;1;80;1;1;2;3; ;2; ;2; ; ; ; ;9;2;1;01;17;190,068296539433;17
3117933;1;3;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;01;17;190,068296539433;17
3117934;1;1;1;80;1;1;4;8; ;2; ;2; ; ;2; ;8;1;1;01;17;136,715179007253;17
3117935;1;1;1;80;1;1;2;7; ;3; ;2; ; ; ; ;8;2;1;01;17;137,616408238539;17
3117936;1;2;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;01;17;193,01810216705;17
3117937;1;1;1;80;1;1;4;3; ;2; ;2; ; ; ; ;8;2;1;01;20;105,816031212567;20
3117939;1;1;1;80;1;1;3;5; ;3; ;2; ; ; ; ;10;2;1;01;20;105,816031212567;20
3117941;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;01;20;131,937361859293;20
3117941;1;3;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;01;20;131,937361859293;20
3117941;1;4;1;80;1;1;4;6; ;2; ;2; ; ; ; ;4;2;1;01;20;131,937361859293;20
3117943;1;3;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;01;20;130,489639674947;20
3117944;1;1;1;80;1;1;4;7; ;2; ;2; ; ; ; ;9;2;1;01;20;105,816031212567;20
3117947;1;5;1;80;1;1;4;4; ;2; ;2; ; ; ; ;4;2;1;01;73;223,360437669928;73
3117947;1;6;1;80;1;1;4;4; ;2; ;2; ; ; ; ;4;2;1;01;73;223,360437669928;73
3117948;1;1;1;80;1;1;2;5; ;3; ;2; ; ; ; ;10;2;1;01;73;218,200427435581;73
3117950;1;1;1;80;1;1;1;8; ;2; ;2; ; ; ; ;8;2;1;01;73;247,787473924792;73
3117951;1;1;1;80;1;1;4;9;DECIDIO DESCANSAR;3; ;2; ; ; ; ;11;2;1;01;76;932,052015473202;76
3117951;1;2;1;80;1;1;4;5; ;3; ;2; ; ; ; ;11;2;1;01;76;932,052015473202;76
3117954;1;1;1;80;1;1;1;8; ;3; ;1;1400000; ; ; ;8;2;1;01;73;241,585740593385;73
