Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011
3251175;1;1;1;70;2;1;48;8; ;2;144;8; ;5;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;62;62;01;1;1;0115;07;73;879,081231685228
3251177;1;2;1;70;2;48;40;1; ;2;48;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;97;54;95;1;2;9500;07;73;933,069094487492
3251179;1;2;1;70;2;8;48;1; ;2;8;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;40;52;1;1;5211;07;73;892,692562300894
3251181;1;3;1;70;2;2;48;8; ;2;2;8; ;3;1; ; ; ; ; ; ; ; ; ;1; ;1;300000;2;62;62;01;1;1;0117;07;73;628,295393324207
3251187;1;3;1;70;2;1;45;8; ;2;2;8; ;3;1; ; ; ; ; ; ; ; ; ;1; ;1;300000;2;62;62;01;1;1;0118;07;73;960,542872239238
3251187;1;4;1;70;2;16;45;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;33; ; ;1;2; ;07;73;960,542872239238
3251223;1;3;1;70;2;4;48;1; ;2;4;8; ;3;1; ; ; ; ; ; ; ; ; ;1; ;1;200000;2;95;62;01;1;1;0115;07;73;1102,25799992061
3251263;1;3;1;70;2;4;42;4; ;2;3;1; ;4;3; ; ; ; ; ; ; ; ; ;1; ;1;500000;2;77;58;70;1;1;7020;07;73;472,819366846787
3252486;1;2;1;70;2;4;70;4; ;2;300;3; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;41;55;95;1;1;9500;07;63;1142,58226904657
3252496;1;2;1;70;2;52;40;3; ;2;104;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;55;74;1;2;7493;07;63;2186,89731066288
3252508;1;3;1;70;2;12;48;4; ;2;12;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;55;1;1;5529;07;63;1214,83742479252
3252509;1;3;1;70;2;3;48;1; ;2;28;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;38;64;1;1;6421;07;63;2186,89731066288
3252509;1;4;1;70;2;3;40;4; ;2;3;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;144000;2;61;61;01;1;1;0113;07;63;2186,89731066288
3252512;1;2;1;70;2;52;48;4; ;2;52;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;55;1;2;5529;07;63;932,232352073236
3252512;1;3;1;70;2;12;48;1; ;2;12;2; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;97;58;75;1;1;7522;07;63;932,232352073236
3252521;2;2;2;70;2;16;50;1; ;2;16;3; ;1;6; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;54;95;1;2;9500;07;63;1248,60844204936
