Directorio;Secuencia_p;Orden;Hogar;Regis;Area;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7454;P7456;P7458s1;P7458;P7452;Ini;Mes;Dpto;Fex_c_2011
3160003;1;1;1;80;17;1;4;3; ;2; ;2; ; ; ; ;9;2;1;03;17;147,295531904042
3160005;1;2;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;17;149,244262189979
3160006;1;2;1;80;17;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;17;136,583934159035
3160008;1;2;1;80;17;1;1;8; ;2; ;2; ; ; ; ;9;2;1;03;17;236,011822640133
3160010;1;2;1;80;17;1;3;7; ;2; ;2; ; ;2; ;1;1;1;03;17;168,647154769482
3160010;1;3;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;17;168,647154769482
3160010;1;4;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;17;168,647154769482
3160014;1;2;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;17;136,583934159035
3160015;1;2;1;80;17;1;4;3; ;2; ;2; ; ; ; ;9;2;1;03;17;232,454244273465
3160015;1;3;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;17;232,454244273465
3160016;1;2;1;80;17;1;4;9;VIAJE AL EXTERIOR;3; ;2; ; ; ; ;10;2;1;03;17;153,240120983208
3160017;1;2;1;80;17;1;2;8; ;2; ;2; ; ; ; ;11;2;1;03;17;164,814292684983
3160018;1;2;1;80;17;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;17;182,124249015748
3160021;1;2;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;17;168,450677607546
3160021;1;3;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;17;168,450677607546
3160022;1;1;1;80;17;1;4;5; ;3; ;2; ; ; ; ;11;2;1;03;17;138,008632366073
3160024;1;1;1;80;17;1;4;3; ;2; ;2; ; ; ; ;7;2;1;03;17;160,772626150309
3160025;1;1;1;80;17;1;1;7; ;3; ;2; ; ; ; ;8;2;1;03;17;179,849304140183
3160025;1;2;1;80;17;1;4;3; ;2; ;2; ; ; ; ;9;2;1;03;17;179,849304140183
3160025;1;3;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;17;179,849304140183
3160026;1;3;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;17;180,045781302118
3160026;1;4;1;80;17;1;1;8; ;2; ;2; ; ; ; ;2;2;1;03;17;180,045781302118
3160029;1;2;1;80;17;1;2;8; ;3; ;2; ; ; ; ;10;2;1;03;17;153,240120983208
3160030;1;2;1;80;17;1;4;3; ;2; ;2; ; ; ; ;9;2;1;03;17;183,203941887229
3160030;1;4;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;17;183,203941887229
3160030;1;5;1;80;17;1;4;3; ;2; ;2; ; ; ; ;9;2;1;03;17;183,203941887229
3160030;1;7;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;17;183,203941887229
3160031;1;1;1;80;17;1;2;4; ;3; ;2; ; ; ; ;4;2;1;03;17;119,273977828271
3160032;1;2;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;17;206,458487297158
3160032;2;1;2;80;17;1;1;8; ;2; ;2; ; ; ; ;2;2;1;03;17;206,458487297158
3160033;1;1;1;80;17;1;3;3; ;2; ;2; ; ; ; ;9;2;1;03;17;174,591743848647
3160033;1;2;1;80;17;1;3;4; ;1;4;2; ; ; ; ;4;2;1;03;17;174,591743848647
3160033;1;3;1;80;17;1;2;2; ;2; ;2; ; ; ; ;2;2;1;03;17;174,591743848647
3160037;1;1;1;80;17;1;4;5; ;3; ;2; ; ; ; ;10;2;1;03;17;143,462669819544
3160040;1;1;1;80;17;1;4;5; ;3; ;2; ; ; ; ;10;2;1;03;17;143,266192657609
3160040;1;2;1;80;17;1;4;5; ;3; ;2; ; ; ; ;10;2;1;03;17;143,266192657609
3160041;1;1;1;80;17;1;4;5; ;3; ;2; ; ; ; ;10;2;1;03;17;147,982560691672
3160041;1;2;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;17;147,982560691672
3160042;1;1;1;80;17;1;4;5; ;3; ;2; ; ;4; ;10;1;1;03;17;153,240120983208
3160042;1;2;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;17;153,240120983208
3160045;1;1;1;80;17;1;2;4; ;3; ;2; ; ; ; ;4;2;1;03;17;116,999032952706
3160045;1;2;1;80;17;1;2;9;CAMBIO DE RESIDENCIA;2; ;2; ; ; ; ;9;2;1;03;17;116,999032952706
3160047;1;1;1;80;17;1;4;4; ;3; ;2; ; ; ; ;10;2;1;03;17;157,845651510519
