DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P9460;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011;AREA
3202791;1;1;1;70;1;125;48;1; ;2;250;1; ;9;5; ; ; ; ; ; ; ; ;1; ;DE LA PENSION QUE TIENE;2; ;2;15;45;15;1;2;1530;05;17;145,45189702255;17
3202792;1;4;1;70;1;8;48;1; ;2;12;1; ;7;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;34;70;1;1;7020;05;17;172,765169917201;17
3202808;1;3;1;70;1;8;48;1; ;2;12;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;38;38;64;1;1;6421;05;17;230,769466817864;17
3202810;1;2;1;70;1;1;20;4; ;2;52;1; ;2;2; ; ; ; ;1; ; ; ; ; ; ;2; ;2;59;53;55;1;1;5522;05;17;277,832053832426;17
3202815;1;2;1;70;1;4;48;1; ;2;16;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;38;38;74;1;1;7499;05;17;204,458179736613;17
3202819;1;2;1;70;1;24;50;4; ;2;30;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;2;4521;05;18;65,4798987557305;18
3202824;1;1;1;70;1;48;20;1; ;2;20;1; ;9;1; ; ; ; ;1; ; ; ; ; ; ;2; ;2;02;02;45;1;2;4530;05;18;70,6520432363405;18
3202826;1;2;1;70;1;2;48;2; ;2;3;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;1;1800000;2;01;01;85;1;1;8511;05;18;117,936326530615;18
3202837;1;6;1;70;1;20;40;1; ;2;20;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;03;03;72;1;2;7250;05;18;91,1544557346356;18
3202837;1;8;1;70;1;4;54;1; ;2;30;1; ;2;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;84;50;1;1;5040;05;18;91,1544557346356;18
