DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S2;P5210S20;P5210S21;P5210S22;P5210S24;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5220;P5220S1;P6006;P6007;P6007S1;P6008;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;clase;MES;DPTO;fex_c_2011;AREA
3202771;1;5;2;1;1;1;1;1;3;2; ;220000;70000000;300000; ;2;1;1;2;1;1;2;2;2;1;2;2;2;2;2;1;1;1;1;2;2;1;2;2;2; ;3;1;1;1;4;1;1;1;1;1;3;3;1;01;1;05;15;99,0505311729287;15
3202772;1;3;2;1;1;1;1;1;3;1; ; ;60000000;400000; ;1;1;1;2;2;1;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;2;1;1;1;4;1;1;1;1;1;3;3;1;01;1;05;15;80,017995508227;15
3202773;1;3;2;1;1;1;1;1;3;1; ; ;120000000;500000; ;1;1;1;2;2;1;2;2;2;1;2;2;2;2;1;1;1;1;1;2;2;1;1;2;2; ;2;1;1;1;4;1;1;1;1;1;3;3;1;01;1;05;15;79,792879768443;15
3202774;1;4;1;1;1;1;1;1;3;1; ; ;120000000;400000; ;2;1;1;2;2;2;2;2;2;1;2;2;2;2;2;2;1;2;1;1;1;1;1;2;2; ;1;1;1;1;4;1;1;1;1;1;3;3;1;01;1;05;15;76,4111228764791;15
3202775;1;5;1;1;1;1;1;1;3;1; ; ;100000000;300000; ;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;2;2;2; ;2;2; ;1;1;1;1;4;1;1;1;1;1;3;3;1;01;1;05;15;76,4111228764791;15
3202777;1;5;2;1;1;1;1;1;3;3; ; ; ; ;300000;1;1;1;2;1;1;2;2;2;1;2;2;2;2;1;1;2;1;1;1;1;1;2;2;2; ;4;1;1;1;4;1;1;1;1;1;2;3;1;01;1;05;15;116,390845002584;15
3202778;1;4;2;1;1;1;1;1;3;1; ; ;45000000;350000; ;1;1;1;1;1;1;2;2;2;1;2;2;1;2;1;1;1;1;1;2;1;1;2;2;2; ;2;1;2;1;4;1;1;1;1;1;2;3;1;01;1;05;15;69,1739184059025;15
3202779;1;3;1;1;1;1;1;1;4;4; ; ; ;98; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2; ;2;1;2;1;4;1;2;1;1;1;1;2;1;01;1;05;15;61,0625994591345;15
3202781;1;1;1;1;1;1;1;1;3;1; ; ;99;200000; ;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;1;2;1;1;2;1;1;2;2; ;2;1;1;1;2;1;1;1;1;1;1;3;1;01;1;05;15;69,3990341456865;15
3202782;1;1;1;1;1;1;1;1;4;3; ; ; ; ;260000;1;1;1;1;2;1;2;2;2;1;1;2;2;2;1;1;1;1;1;1;1;1;2;2;2; ;2;1;2;1;5;1;2;1;1;1;4;2;1;01;1;05;17;175,472368843876;17
3202783;1;7;2;1;1;1;1;1;4;2; ;380000;200000000;1000000; ;1;1;1;2;1;2;1;1;2;1;2;2;1;2;1;1;1;1;1;2;1;1;3;2;2; ;3;1;2;1;5;1;2;1;1;1;4;2;1;01;1;05;17;134,303554342381;17
3202784;1;5;3;1;1;1;1;1;4;1; ; ;90000000;700000; ;1;2;1;1;1;1;2;2;1;1;1;2;1;2;1;1;1;1;1;2;2;1;3;2;2; ;5;1;2;1;4;1;2;1;1;1;4;2;1;01;1;05;17;131,629030530894;17
3202785;1;3;2;1;1;1;1;1;3;3; ; ; ; ;400000;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;2;1;2;1;4;1;1;1;1;1;4;2;1;01;1;05;17;180,301732023875;17
3202788;1;5;1;1;1;1;1;1;3;3; ; ; ; ;600000;2;1;1;2;2;2;2;2;1;1;2;2;1;2;2;2;1;1;1;1;2;1;1;2;2; ;1;1;2;1;4;1;1;1;1;1;4;2;1;01;1;05;17;175,502117248355;17
3202789;1;4;3;1;1;1;1;1;3;1; ; ;90000000;550000; ;1;1;1;2;1;1;1;2;2;1;1;1;2;2;1;1;1;1;1;1;1;1;4;2;2; ;4;1;1;1;4;1;1;1;1;1;4;2;1;01;1;05;17;147,624727725834;17
3202790;1;5;3;1;1;1;1;1;3;2; ;300000;100000000;600000; ;1;1;1;1;1;1;1;2;2;1;1;2;2;2;1;1;1;1;1;2;2;1;2;2;2; ;4;1;1;1;6;1;1;1;1;1;3;2;1;01;1;05;17;139,18358397234;17
3202791;1;3;1;1;1;1;1;1;3;1; ; ;140000000;500000; ;1;2;1;1;1;1;2;2;2;1;2;1;2;2;1;1;1;1;1;2;1;1;1;2;2; ;1;1;1;1;4;1;1;1;1;1;3;2;1;01;1;05;17;145,45189702255;17
3202792;1;5;3;1;1;1;1;1;3;3; ; ; ; ;400000;1;1;1;1;1;1;1;2;2;1;2;2;1;1;1;1;1;1;1;2;1;1;4;2;2; ;4;1;1;1;4;1;1;1;1;1;3;2;1;01;1;05;17;172,765169917201;17
3202794;1;4;2;1;1;1;1;1;3;3; ; ; ; ;450000;1;1;1;1;1;1;1;2;2;1;1;2;2;2;1;1;1;1;1;1;2;1;3;2;2; ;3;1;1;1;3;1;1;1;1;1;3;2;1;01;1;05;17;134,303554342381;17
3202796;1;3;1;1;1;1;1;1;3;1; ; ;50000000;500000; ;1;1;1;2;2;1;2;2;2;1;2;2;2;2;1;1;1;1;1;2;1;1;1;2;2; ;1;1;1;1;4;1;1;1;1;1;3;2;1;01;1;05;17;169,643325382202;17
3202797;1;3;1;1;1;1;1;1;3;2; ;110000;50000000;400000; ;1;1;1;1;1;1;1;2;2;1;2;2;1;2;1;1;1;1;1;1;1;1;2;2;2; ;2;1;1;1;4;1;1;1;1;1;3;2;1;01;1;05;17;154,812306203279;17
3202798;1;4;2;1;1;1;1;1;3;1; ; ;130000000;600000; ;1;1;1;2;1;2;2;2;2;1;1;2;2;2;2;1;1;1;1;2;1;1;2;2;2; ;3;1;1;3;4;1;1;1;1;1;3;2;1;01;1;05;17;176,358959155924;17
3202799;1;4;1;1;1;1;1;1;3;1; ; ;90000000;400000; ;1;1;1;1;1;1;1;2;2;1;1;2;1;2;1;1;1;1;1;1;2;1;2;2;2; ;2;1;1;1;4;1;1;1;1;1;3;2;1;01;1;05;17;166,998549975194;17
3202800;1;5;2;1;1;1;1;1;3;1; ; ;80000000;350000; ;1;1;1;2;1;1;2;2;2;1;1;1;1;2;1;1;1;1;1;2;1;1;3;2;2; ;3;1;1;1;4;1;1;1;1;1;3;2;1;01;1;05;17;151,218516964556;17
3202801;1;6;2;1;1;1;1;1;3;1; ; ;120000000;400000; ;1;1;1;2;1;2;2;2;2;1;2;2;2;2;2;1;1;1;1;2;2;1;1;2;2; ;2;1;1;1;4;1;1;1;1;1;3;2;1;01;1;05;17;166,998549975194;17
3202802;1;4;3;1;1;1;1;1;3;3; ; ; ; ;360000;1;1;1;1;1;1;2;2;2;1;1;2;2;2;1;1;1;1;1;2;2;1;4;2;2; ;4;1;1;1;4;1;1;1;1;1;3;2;1;01;1;05;17;161,87692360623;17
3202803;1;4;3;1;1;1;1;1;3;1; ; ;48000000;300000; ;1;2;1;2;1;1;2;2;2;1;2;2;2;2;1;1;1;1;1;2;2;1;2;2;2; ;3;1;2;1;3;1;1;1;1;1;2;2;1;01;1;05;17;189,662141204605;17
3202804;1;4;3;1;1;1;1;1;3;4; ; ; ;200000; ;1;2;1;1;1;1;2;2;2;1;2;1;2;2;1;1;1;1;1;1;2;1;2;2;2; ;5;1;2;1;4;1;1;1;1;1;2;2;1;01;1;05;17;248,204996121494;17
