Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P6290;P6290s1;P6230;P6240;P6240s1;P6250;P6260;P6270;P6280;P6300;P6310;P6310s1;P6320;P6330;P6340;P6350;P6351;Mes;Dpto;Fex_c_2011
3207351;1;1;1;50;2; ; ;1;6;VER TELEVISION Y CAMINAR;2;1; ; ; ; ; ; ; ; ; ; ;05;63;592,264308943605
3207351;1;2;1;50;2; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;63;592,264308943605
3207351;1;3;1;50;2;2; ;3;3; ;2;2;2;1; ; ; ; ; ; ; ;1;05;63;592,264308943605
3207351;1;5;1;50;2; ; ;5;4; ;2;2;2;2;2; ; ; ; ; ; ; ;05;63;592,264308943605
3207352;1;1;1;50;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;63;1399,25709764442
3207352;1;2;1;50;2;2; ;2;4; ;2;2;2;1; ; ; ; ; ; ; ;1;05;63;1399,25709764442
3207352;1;3;1;50;2; ; ;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ;05;63;1399,25709764442
3207352;1;4;1;50;2; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;05;63;1399,25709764442
3207352;1;5;1;50;2; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;05;63;1399,25709764442
3207352;1;6;1;50;2; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;05;63;1399,25709764442
3207352;1;7;1;50;2; ; ;7;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;63;1399,25709764442
3207352;1;8;1;50;2; ; ;8;4; ;2;2;2;2;2; ; ; ; ; ; ; ;05;63;1399,25709764442
3207352;1;9;1;50;2; ; ;9;5; ; ; ; ; ; ; ; ; ; ; ; ; ;05;63;1399,25709764442
3207352;1;10;1;50;2; ; ;10;3; ;2;2;2;2;1;12; ; ; ; ; ; ;05;63;1399,25709764442
3207353;1;1;1;50;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;63;900,236116814588
3207354;1;1;1;50;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;63;900,974328661403
3207354;1;2;1;50;2; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;05;63;900,974328661403
3207423;1;1;1;50;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;63;919,179649804203
3207423;1;2;1;50;2; ; ;2;4; ;2;2;2;2;1;7; ;2; ;2; ; ;05;63;919,179649804203
3207423;1;3;1;50;2; ; ;3;3; ;1; ; ; ; ; ; ; ; ; ; ; ;05;63;919,179649804203
3207423;1;4;1;50;2; ; ;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;63;919,179649804203
3207423;1;5;1;50;2; ; ;5;4; ;2;2;2;2;1;2; ;2; ;2; ; ;05;63;919,179649804203
3207424;1;1;1;50;2; ; ;1;6;VER TELEVISION, CAMINAR, VISITAR AMIGOS;2;2;2;2;2; ; ; ; ; ; ; ;05;63;1561,6424559654
3207424;1;2;1;50;2; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;05;63;1561,6424559654
3207424;1;3;1;50;2; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;63;1561,6424559654
3207424;1;4;1;50;2; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;05;63;1561,6424559654
3207425;1;1;1;50;2; ; ;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ;05;63;686,489854472648
3207425;1;2;1;50;2; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;63;686,489854472648
3207425;1;3;1;50;2; ; ;3;4; ;1; ; ; ; ; ; ; ; ; ; ; ;05;63;686,489854472648
3207425;1;4;1;50;2; ; ;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;63;686,489854472648
3207425;1;5;1;50;2; ; ;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ;05;63;686,489854472648
3207531;1;1;1;50;2; ; ;1;4; ;2;2;2;2;1;10; ; ; ; ; ; ;05;63;816,744322502314
3207531;1;2;1;50;2; ; ;2;3; ;2;2;2;2;1;8; ;2; ;1;4;1;05;63;816,744322502314
3207531;1;5;1;50;2; ; ;5;4; ;2;2;2;2;1;6; ;2; ;2; ; ;05;63;816,744322502314
3207532;1;1;1;50;2; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;05;63;1211,9633907289
3207532;1;2;1;50;2; ; ;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ;05;63;1211,9633907289
3207532;1;3;1;50;2; ; ;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ;05;63;1211,9633907289
3207533;1;1;1;50;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;63;1814,3967917091
3207533;1;2;1;50;2;2; ;2;4; ;2;2;2;1; ; ; ; ; ; ; ;1;05;63;1814,3967917091
3207533;2;1;2;50;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;63;1814,3967917091
3207533;2;2;2;50;2; ; ;1;6;INCAPACITADO TEMPORAL DIETA DE MATERNIDAD;2;2;2;2;2; ; ; ; ; ; ; ;05;63;1814,3967917091
3211557;1;1;1;50;2;1; ;1;4; ;2;2;2;1; ; ; ; ; ; ; ;1;05;63;1362,49232855739
3211557;1;2;1;50;2; ; ;2;4; ;2;2;2;2;1;10; ; ; ; ; ; ;05;63;1362,49232855739
3211557;1;3;1;50;2; ; ;3;6;DE PASEO DONDE LA ABUELA;1; ; ; ; ; ; ; ; ; ; ; ;05;63;1362,49232855739
3211558;1;1;1;50;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;63;1143,804370887
3211558;1;2;1;50;2; ; ;2;4; ;1; ; ; ; ; ; ; ; ; ; ; ;05;63;1143,804370887
3211558;1;3;1;50;2; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;63;1143,804370887
3211559;1;1;1;50;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;63;925,846858052452
3211559;1;2;1;50;2; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;05;63;925,846858052452
3211560;1;1;1;50;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;63;970,044143698454
3211560;1;2;1;50;2; ; ;2;4; ;1; ; ; ; ; ; ; ; ; ; ; ;05;63;970,044143698454
3211560;1;3;1;50;2; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;05;63;970,044143698454
3211561;1;1;1;50;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;63;1203,47215087682
3211561;1;2;1;50;2; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;63;1203,47215087682
3211561;1;3;1;50;2; ; ;3;3; ;1; ; ; ; ; ; ; ; ; ; ; ;05;63;1203,47215087682
3211561;1;4;1;50;2; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;05;63;1203,47215087682
3211562;1;1;1;50;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;63;632,679032082373
3211562;1;2;1;50;2; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;63;632,679032082373
3211562;1;3;1;50;2; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;05;63;632,679032082373
3211562;1;4;1;50;2; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;05;63;632,679032082373
3211563;1;1;1;50;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;63;900,974328661403
3211563;1;2;1;50;2; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;63;900,974328661403
3211570;1;1;1;50;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;63;1144,15073067746
