Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011;Area
3617991;1;3;1;70;1;1;35;1; ;2;1;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;700000;2;39;95;45;1;1;4521;12;18;159,188597589728;18
3617992;1;2;1;70;1;3;40;2; ;2;180;2; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;13;80;1;1;8012;12;18;258,234466988655;18
3617998;1;1;1;70;1;8;48;1; ;2;8;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;03;03;74;1;1;7491;12;18;74,2180101666376;18
3618011;1;1;1;70;1;4;50;4; ;2;4;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;500000;2;95;95;45;1;1;4521;12;18;78,5739453616302;18
3618034;1;1;1;70;1;1;40;1; ;2;4;1; ;9;1; ; ; ; ;1; ; ; ; ; ; ;1;2200000;2;08;08;72;1;1;7220;12;17;187,271697521859;17
3618035;1;2;1;70;1;3;40;1; ;2;260;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;22;1;1;2211;12;17;182,881324005148;17
3618036;1;1;1;70;1;12;48;1; ;2;12;1; ;5;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;53;55;1;1;5521;12;17;193,014765777206;17
3618036;1;2;1;70;1;1;24;1; ;2;12;1; ;4;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;53;55;1;1;5521;12;17;193,014765777206;17
3618052;1;4;1;70;1;3;40;1; ;2;50;1; ;4;1; ; ; ; ;1; ; ; ; ; ; ;2; ;2;45;32;74;1;1;7411;12;15;102,238625874687;15
3618061;1;2;1;70;1;48;48;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;2; ;12;15;83,9654588725763;15
3618070;2;1;2;70;1;2;55;5; ;2;8;5; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;1;4521;12;73;237,731002902716;73
3618074;1;1;1;70;1;5;48;1; ;2;5;1; ;9;1; ; ;1; ; ; ; ; ; ; ; ;2; ;1;98;33;17;1;1;1710;12;73;314,51147789859;73
3618075;1;4;1;70;1;2;24;1; ;2;40;4; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;33;39;74;1;1;7413;12;73;330,442102594892;73
3618078;1;1;1;70;1;3;60;1; ;2;12;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;1;4521;12;63;141,17080605954;63
3618085;1;2;1;70;1;3;20;4; ;2;99;3; ;1;5; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;12;63;175,088186960423;63
3618090;1;3;1;70;1;12;48;1; ;2;12;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;09;21;60;1;1;6021;12;76;696,565023288754;76
3618092;1;1;1;70;1;52;48;1; ;2;60;5; ;7;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;12;21;52;1;2;5229;12;76;717,6049227609;76
3618096;1;1;1;70;1;52;48;1; ;2;24;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;37;37;64;1;2;6412;12;76;667,710078848925;76
3618097;1;2;1;70;1;2;48;1; ;2;2;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;50000;2;93;93;45;1;1;4521;12;76;1009,32326536339;76
3618099;1;1;1;70;1;8;48;4; ;2;8;4; ;1;1; ; ; ; ; ; ; ;1; ; ; ;2; ;2;41;41;52;1;1;5243;12;76;1542,06065350695;76
