Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7454;P7456;P7458s1;P7458;P7452;Ini;Mes;Dpto;Fex_c_2011
3405429;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;02;63;5621,25881514974
3405429;1;4;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;02;63;5621,25881514974
3405429;1;5;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;02;63;5621,25881514974
3405432;1;2;1;80;2;1;1;8; ;2; ;2; ; ; ; ;9;2;1;02;63;3873,20386591092
3405432;1;3;1;80;2;1;1;2; ;2; ;2; ; ; ; ;2;2;1;02;63;3873,20386591092
3405432;1;4;1;80;2;1;1;2; ; ; ;2; ; ; ; ;2;2;1;02;63;3873,20386591092
3405433;1;3;1;80;2;1;4;3; ;2; ;2; ; ; ; ;8;2;1;02;63;2402,71634905586
3405434;1;4;1;80;2;1;1;2; ;2; ;2; ; ; ; ;2;2;1;02;63;3809,67790480218
3405434;1;5;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;02;63;3809,67790480218
3405434;1;6;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;02;63;3809,67790480218
3405435;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;63;1946,77417877736
3405435;1;4;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;02;63;1946,77417877736
3405435;1;5;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;02;63;1946,77417877736
3405436;1;2;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;02;63;3388,92416812008
3405438;1;2;1;80;2;1;1;8; ;2; ;2; ; ; ; ;9;2;1;02;63;2603,67336650295
3405442;1;1;1;80;2;1;3;3; ;2; ;2; ; ; ; ;9;2;1;02;63;4373,71035924557
3405443;1;4;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;02;63;1882,26086346461
3405443;1;5;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;02;63;1882,26086346461
3405446;1;3;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;02;63;4898,81015054274
3405446;1;4;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;02;63;4898,81015054274
3405447;1;2;1;80;2;1;1;8; ;2; ;2; ; ; ; ;9;2;1;02;63;3188,98660806902
3405448;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;02;63;3664,20472677782
3405451;1;1;1;80;2;1;4;9;LA EDAD;2; ;2; ; ; ; ;8;2;1;02;63;3733,75587427602
3405453;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;63;4283,87656611494
3405453;1;4;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;02;63;4283,87656611494
3405453;1;5;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;02;63;4283,87656611494
3405865;1;3;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;02;63;3822,17668353109
3405868;1;6;1;80;2;1;4;4; ;2; ;2; ; ; ; ;8;2;1;02;63;1882,26086346461
3405870;1;1;1;80;2;1;1;8; ;2; ;2; ; ; ;ESTA DESCANSANDO UNO DIAS;12;2;1;02;63;3002,84340229017
3405870;1;2;1;80;2;1;3;7; ;2; ;2; ; ;3; ;1;1;1;02;63;3002,84340229017
3405871;1;1;1;80;2;2; ; ; ;3; ;2; ;1;4; ;4; ;1;02;63;2948,5050726589
3405871;1;2;1;80;2;1;4;4; ;2; ;2; ; ; ; ;4;2;1;02;63;2948,5050726589
3405875;1;4;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;02;63;4348,42198461972
3405891;1;2;1;80;2;1;1;8; ;2; ;2; ; ; ; ;9;2;1;02;63;3547,21186154288
3405891;1;3;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;02;63;3547,21186154288
