Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7454;P7456;P7458s1;P7458;P7452;Ini;Mes;Dpto;Fex_c_2011;Area
3507809;1;1;1;80;1;1;1;6; ;2; ;2; ; ; ; ;9;2;1;07;47;113,277908746178;47
3507809;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;47;113,277908746178;47
3507814;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;47;237,740216561229;47
3507814;1;3;1;80;1;1;3;3; ;2; ;2; ; ; ; ;9;2;1;07;47;237,740216561229;47
3507815;1;1;1;80;1;1;4;4; ;2; ;2; ; ; ; ;4;2;1;07;47;132,85337881339;47
3507816;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;47;171,758271836435;47
3507816;1;4;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;47;171,758271836435;47
3507818;1;1;1;80;1;1;3;4; ;2; ;2; ; ; ; ;4;2;1;07;47;240,640220267621;47
3507818;1;4;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;47;240,640220267621;47
3507820;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;47;263,030014656415;47
3507820;1;3;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;47;263,030014656415;47
3507824;1;2;1;80;1;2; ; ; ;2; ;2; ;1;4; ;9; ;1;07;17;138,403086343554;17
3507824;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;17;138,403086343554;17
3507833;1;2;1;80;1;1;4;4; ;2; ;2; ; ; ; ;4;2;1;07;17;169,631902551075;17
3507833;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;17;169,631902551075;17
3507833;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;17;169,631902551075;17
3507833;2;1;2;80;1;1;2;6; ;2; ;2; ; ; ; ;11;2;1;07;17;169,631902551075;17
3507834;1;5;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;17;182,173162135937;17
3507835;1;1;1;80;1;1;3;5; ;3; ;2; ; ; ; ;11;2;1;07;17;142,657063127751;17
3507835;1;2;1;80;1;1;4;4; ;2; ;2; ; ; ; ;4;2;1;07;17;142,657063127751;17
3507838;1;3;1;80;1;1;2;2; ;2; ;2; ; ; ; ;2;2;1;07;17;91,6021653188442;17
3507841;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;17;146,533911249857;17
3507841;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;17;146,533911249857;17
3507841;1;5;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;17;146,533911249857;17
3507842;1;1;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;07;17;179,725329754211;17
3507846;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;10;2;1;07;17;142,657063127751;17
3507847;1;1;1;80;1;1;1;4; ;2; ;2; ; ; ; ;4;2;1;07;20;76,9639657980488;20
3507847;1;2;1;80;1;1;4;4; ;2; ;2; ; ; ; ;4;2;1;07;20;76,9639657980488;20
3507848;1;2;1;80;1;1;4;4; ;2; ;2; ; ; ; ;8;2;1;07;15;87,3289914699291;15
3507849;1;2;1;80;1;1;4;8; ;2; ;2; ; ;3; ;8;1;1;07;15;94,5658808090565;15
3507849;1;4;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;15;94,5658808090565;15
3507849;1;6;1;80;1;1;1;4; ;2; ;2; ; ; ; ;4;2;1;07;15;94,5658808090565;15
3507850;1;2;1;80;1;1;1;8; ;2; ;2; ; ; ; ;9;2;1;07;15;86,4362553011097;15
3507850;1;3;1;80;1;1;2;8; ;2; ;2; ; ; ; ;2;2;1;07;15;86,4362553011097;15
3507850;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;15;86,4362553011097;15
3507852;1;3;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;15;60,2603912185421;15
3507852;1;4;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;15;60,2603912185421;15
3507853;1;2;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;07;15;87,7530418264912;15
3507855;1;2;1;80;1;1;4;3; ;2; ;2; ; ; ; ;4;2;1;07;15;87,3289914699291;15
3507856;1;1;1;80;1;1;3;6; ;2; ;2; ; ; ; ;9;2;1;07;18;114,142851089376;18
3507858;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;11;2;1;07;18;149,860948045992;18
3507858;1;2;1;80;1;1;3;5; ;3; ;2; ; ; ; ;11;2;1;07;18;149,860948045992;18
3507859;1;1;1;80;1;1;1;3; ;2; ;2; ; ; ; ;9;2;1;07;18;116,896257406962;18
3507860;1;1;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;18;54,1452649120366;18
3507861;1;1;1;80;1;2; ; ; ;2; ;2; ;1;4; ;9; ;1;07;18;60,8865414518707;18
3507864;1;1;1;80;1;1;4;4; ;2; ;2; ; ; ; ;4;2;1;07;18;54,1452649120366;18
3507865;1;2;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;18;53,7028895294597;18
3507868;1;3;1;80;1;1;1;6; ;1;1;2; ; ; ; ;3;2;1;07;41;115,626181360681;41
3507868;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;41;115,626181360681;41
3507870;1;1;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;07;76;2387,39393550163;76
3507871;1;2;1;80;1;1;1;3; ;2; ;1;2000000; ; ; ;9;2;1;07;76;2750,40138561185;76
3507872;1;4;1;80;1;1;2;6; ;2; ;2; ; ; ; ;2;2;1;07;76;2144,67459855297;76
3507873;1;1;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;76;2750,40138561185;76
3507875;1;5;1;80;1;1;3;3; ;2; ;2; ; ; ; ;9;2;1;07;76;823,548975112979;76
3507877;1;1;1;80;1;1;4;7; ;2; ;2; ; ; ; ;4;2;1;07;76;816,516708851374;76
3507878;1;1;1;80;1;1;1;8; ;1;2;2; ; ; ;NO BUSCA EMPLEO ESPERA QUE LO LLAMEN;12;2;1;07;76;806,785588161238;76
3507878;1;3;1;80;1;1;1;8; ;2; ;2; ; ;1;YA ENCONTRO TRABAJO EL CUAL LO INICIA DENTRO DE 2 MESES;12;1;1;07;76;806,785588161238;76
3507880;1;2;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;76;751,083857008295;76
3507880;2;1;2;80;1;1;3;6; ;2; ;2; ; ; ; ;1;2;1;07;76;751,083857008295;76
3507881;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;11;2;1;07;76;872,218440004318;76
3507881;1;2;1;80;1;1;4;9;LA EDAD;2; ;2; ; ; ; ;8;2;1;07;76;872,218440004318;76
3507882;1;1;1;80;1;1;4;1; ;2; ;2; ; ; ; ;8;2;1;07;76;883,472958527504;76
3507883;1;1;1;80;1;1;2;7; ;3; ;2; ; ; ; ;4;2;1;07;76;872,218440004318;76
3507883;1;2;1;80;1;1;4;5; ;3; ;2; ; ; ; ;10;2;1;07;76;872,218440004318;76
3507884;1;2;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;07;76;872,218440004318;76
3507885;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;76;941,932767025723;76
3507887;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;8;2;1;07;76;947,18128134866;76
3507887;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;76;947,18128134866;76
3507888;1;1;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;76;752,505749779511;76
3507888;1;3;1;80;1;2; ; ; ;2; ;2; ;1;4; ;5; ;1;07;76;752,505749779511;76
3507889;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;10;2;1;07;76;883,472958527504;76
3507891;1;1;1;80;1;1;4;7; ;2; ;2; ; ; ; ;9;2;1;07;76;883,472958527504;76
3507892;1;3;1;80;1;1;1;2; ;2; ;2; ; ; ; ;2;2;1;07;76;825,017259312988;76
3507892;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;76;825,017259312988;76
3507893;1;1;1;80;1;1;4;4; ;2; ;2; ; ; ; ;4;2;1;07;66;298,389750568272;66
3507894;1;2;1;80;1;1;3;3; ;2; ;2; ; ; ; ;9;2;1;07;66;298,389750568272;66
3507895;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;10;2;1;07;66;298,855399409533;66
3507895;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;66;298,855399409533;66
3507897;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;10;2;1;07;66;280,325292222021;66
3507898;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;66;328,77905198245;66
3507898;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;66;328,77905198245;66
3507901;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;8;2;1;07;66;280,790941063282;66
3507901;1;2;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;07;66;280,790941063282;66
3507902;4;1;4;80;1;1;4;5; ;3; ;2; ; ; ; ;10;2;1;07;66;288,132647062392;66
3507903;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;10;2;1;07;66;243,408376037445;66
3507903;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;66;243,408376037445;66
3507904;1;1;1;80;1;1;4;4; ;2; ;2; ; ; ; ;4;2;1;07;66;280,790941063282;66
3507904;1;2;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;07;66;280,790941063282;66
3507905;1;3;1;80;1;1;1;2; ;2; ;2; ; ; ; ;2;2;1;07;66;325,607761156891;66
3507906;1;2;1;80;1;1;1;8; ;2; ;2; ; ; ; ;2;2;1;07;66;303,745987409687;66
3507907;1;2;1;80;1;1;1;8; ;2; ;2; ; ; ; ;2;2;1;07;66;252,00373036989;66
3507908;1;1;1;80;1;1;4;9;DESCANSAR;2; ;2; ; ; ; ;8;2;1;07;66;325,14211231563;66
3507910;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;66;298,855399409533;66
3507911;1;1;1;80;1;1;4;4; ;2; ;2; ; ; ; ;4;2;1;07;66;281,256589904543;66
3507911;1;2;1;80;1;1;4;4; ;2; ;2; ; ; ; ;4;2;1;07;66;281,256589904543;66
3507911;1;3;1;80;1;1;4;4; ;2; ;2; ; ; ; ;4;2;1;07;66;281,256589904543;66
3507913;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;10;2;1;07;66;298,855399409533;66
3507913;1;2;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;07;66;298,855399409533;66
3507914;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;66;252,00373036989;66
3507918;1;3;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;66;1095,8608380769;66
3507921;1;2;1;80;1;1;3;3; ;2; ;2; ; ; ; ;9;2;1;07;66;285,834682410201;66
3507922;1;2;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;07;66;1193,55900227309;66
3507923;1;1;1;80;1;2; ; ; ;1;1;2; ;2; ;.; ; ;1;07;66;1330,33439103584;66
3507924;1;2;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;07;66;350,64805610521;66
3507925;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;66;291,87651451871;66
3507926;1;1;1;80;1;1;3;6; ;2; ;2; ; ; ; ;2;2;1;07;66;1298,70585389748;66
3507928;1;6;1;80;1;1;4;4; ;3; ;2; ; ; ; ;4;2;1;07;66;1334,45840337444;66
3507931;1;1;1;80;1;1;4;4; ;2; ;2; ; ; ; ;4;2;1;07;66;280,790941063282;66
3507931;1;2;1;80;1;1;4;4; ;2; ;2; ; ; ; ;4;2;1;07;66;280,790941063282;66
3507933;1;4;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;52;179,119136368962;52
3507933;1;5;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;52;179,119136368962;52
3507933;1;9;1;80;1;1;4;4; ;2; ;2; ; ; ; ;8;2;1;07;52;179,119136368962;52
3507933;1;10;1;80;1;1;4;4; ;2; ;2; ; ; ; ;8;2;1;07;52;179,119136368962;52
3507934;1;2;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;52;129,768621806397;52
3507936;1;2;1;80;1;1;4;8; ;2; ;2; ; ; ; ;9;2;1;07;52;196,031513804751;52
3507936;1;4;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;52;196,031513804751;52
3507939;1;1;1;80;1;1;4;6; ;3; ;2; ; ; ; ;8;2;1;07;52;365,432480318357;52
3507940;1;1;1;80;1;1;4;3; ;3; ;2; ; ;4; ;5;1;1;07;52;381,33413984136;52
3507943;1;4;1;80;1;1;4;4; ;2; ;2; ; ; ; ;4;2;1;07;52;342,567656721403;52
3507945;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;4;2;1;07;52;329,478626698444;52
3507945;1;2;1;80;1;1;4;3; ;2; ;2; ; ; ; ;8;2;1;07;52;329,478626698444;52
3507946;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;52;187,00686825179;52
3507947;1;2;1;80;1;1;4;4; ;3; ;2; ; ; ; ;8;2;1;07;52;190,430196845553;52
3507948;1;1;1;80;1;1;4;4; ;2; ;2; ; ; ; ;4;2;1;07;52;182,716240159179;52
3507949;1;3;1;80;1;2; ; ; ;2; ;2; ;1;1; ;9; ;1;07;52;245,995053067991;52
3507951;1;3;1;80;1;1;1;8; ;2; ;2; ; ;1;REALIZAR TRAMITES PARA GRADUARSE;12;1;1;07;52;174,394385325904;52
3507951;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;52;174,394385325904;52
3507954;1;3;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;52;148,703501829573;52
3507955;1;3;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;52;148,703501829573;52
3507959;1;4;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;52;110,163262332229;52
3507961;1;3;1;80;1;1;1;8; ;2; ;2; ; ; ; ;2;2;1;07;73;326,812465135047;73
3507962;1;1;1;80;1;1;4;2; ;2; ;2; ; ; ; ;4;2;1;07;73;272,139799383365;73
3507964;1;2;1;80;1;2; ; ; ;2; ;2; ;1;1; ;9; ;1;07;73;182,434758621546;73
3507969;1;2;1;80;1;1;3;4; ;2; ;2; ; ; ; ;4;2;1;07;73;177,704038887602;73
3507970;1;3;1;80;1;2; ; ; ;2; ;2; ;1;2; ;2; ;1;07;73;190,003652148337;73
3507970;1;4;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;73;190,003652148337;73
3507971;1;2;1;80;1;1;4;3; ;2; ;2; ; ; ; ;8;2;1;07;73;255,412460476249;73
3507975;1;1;1;80;1;1;2;5; ;3; ;2; ; ; ; ;10;2;1;07;73;198,265600144792;73
3507975;1;2;1;80;1;1;4;8; ;2; ;2; ; ; ; ;9;2;1;07;73;198,265600144792;73
3507978;1;1;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;50;198,344326331545;50
3507978;1;2;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;50;198,344326331545;50
3507979;1;3;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;50;166,991492768524;50
3507983;1;1;1;80;1;1;4;1; ;3; ;2; ; ;4; ;8;1;1;07;47;168,47191833338;47
3507984;1;2;1;80;1;2; ; ; ;2; ;2; ;1;4; ;8; ;1;07;47;85,8313365780569;47
3507986;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;47;155,927213605675;47
3507987;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;47;149,250852019499;47
3507989;1;2;1;80;1;1;4;4; ;2; ;2; ; ; ; ;4;2;1;07;47;92,635150050304;47
3507990;1;5;1;80;1;1;1;8; ;2; ;2; ; ;1; ;6;1;1;07;47;327,765943158884;47
3507991;1;2;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;47;271,536328080979;47
3507992;1;1;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;07;47;294,964566626597;47
3507992;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;47;294,964566626597;47
3507992;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;47;294,964566626597;47
3507993;1;3;1;80;1;1;4;6; ;2; ;2; ; ; ; ;4;2;1;07;47;85,8313365780569;47
3507997;1;2;1;80;1;1;3;5; ;3; ;2; ; ; ; ;4;2;1;07;47;322,766390771561;47
3507997;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;47;322,766390771561;47
3507997;1;4;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;47;322,766390771561;47
3507997;1;5;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;47;322,766390771561;47
3507998;1;3;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;47;125,624232687516;47
3507999;1;1;1;80;1;1;4;5; ;3; ;2; ; ; ; ;10;2;1;07;41;172,573075056974;41
3508000;1;2;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;07;41;145,683651439081;41
3508001;1;6;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;41;154,504491694662;41
3508001;1;9;1;80;1;1;4;9;EDAD;2; ;2; ; ; ; ;8;2;1;07;41;154,504491694662;41
3508002;1;2;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;41;117,404950267866;41
3508005;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;17;220,597207121229;17
3508006;1;1;1;80;1;1;1;8; ;2; ;2; ; ; ; ;8;2;1;07;17;177,422305908999;17
3508007;1;2;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;17;128,670431945304;17
3508008;1;1;1;80;1;1;4;2; ;2; ;2; ; ;4; ;9;1;1;07;17;207,62075254463;17
3508008;1;2;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;17;207,62075254463;17
3508009;1;1;1;80;1;1;4;4; ;3; ;2; ; ; ; ;4;2;1;07;17;214,033189375153;17
3508009;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;17;214,033189375153;17
3508011;1;3;1;80;1;1;4;5; ;3; ;2; ; ; ; ;10;2;1;07;17;171,329047906336;17
3508013;1;2;1;80;1;1;4;4; ;2; ;2; ; ; ; ;4;2;1;07;17;163,573466146398;17
3508014;1;2;1;80;1;1;4;4; ;2; ;2; ; ; ; ;11;2;1;07;17;171,158364408122;17
3508014;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;17;171,158364408122;17
3508014;1;4;1;80;1;2; ; ; ; ; ;2; ;2; ;.; ; ;1;07;17;171,158364408122;17
3508015;1;2;1;80;1;1;1;8; ;2; ;1;30000; ; ; ;2;2;1;07;17;128,670431945304;17
