Directorio;Secuencia_p;Orden;Hogar;Regis;Area;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7454;P7456;P7458s1;P7458;P7452;Ini;Mes;Dpto;Fex_c_2011
3486680;1;2;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;17;164,333924505585
3486681;1;2;1;80;17;1;4;8; ;2; ;2; ; ; ; ;11;2;1;06;17;179,844663373758
3486682;1;3;1;80;17;1;1;2; ;2; ;2; ; ; ; ;2;2;1;06;17;269,724444724267
3486683;1;3;1;80;17;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;17;259,593060153229
3486685;1;1;1;80;17;1;4;3; ;2; ;2; ; ; ; ;11;2;1;06;17;144,095695591149
3486685;1;2;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;17;144,095695591149
3486687;1;1;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;17;203,956683915134
3486687;1;5;1;80;17;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;17;203,956683915134
3486688;1;1;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;17;181,387593177042
3486689;1;2;1;80;17;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;17;154,683877057788
3486690;1;1;1;80;17;1;4;5; ;3; ;2; ; ; ; ;10;2;1;06;17;171,256208606004
3486692;1;1;1;80;17;1;4;3; ;2; ;2; ; ; ; ;9;2;1;06;17;342,512417212009
3486693;1;1;1;80;17;1;3;2; ;1;1;2; ; ; ; ;2;2;1;06;17;361,730176459305
3486693;1;3;1;80;17;1;3;2; ;2; ;2; ; ; ; ;2;2;1;06;17;361,730176459305
3486695;1;2;1;80;17;1;1;3; ;1;1;2; ; ; ; ;9;2;1;06;17;462,824244564959
3486696;1;1;1;80;17;1;4;4; ;2; ;2; ; ; ; ;4;2;1;06;17;231,639701877378
3486697;1;1;1;80;17;1;1;8; ;2; ;2; ; ; ; ;2;2;1;06;17;366,774639751855
3486698;1;1;1;80;17;1;4;8; ;2; ;2; ; ; ; ;9;2;1;06;17;462,824244564959
3486701;1;1;1;80;17;1;4;1; ;3; ;2; ; ;4; ;8;1;1;06;17;342,512417212009
3486702;1;1;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;17;398,874292953508
3486705;1;2;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;17;386,074734647448
3486746;1;1;1;80;05;1;3;4; ;2; ;2; ; ; ; ;4;2;1;06;05;1108,75488906951
3486746;1;2;1;80;05;1;3;3; ;2; ;2; ; ; ; ;9;2;1;06;05;1108,75488906951
3486751;1;2;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;05;1025,51481141831
3486751;1;3;1;80;05;1;1;9;EMBARAZO;2; ;2; ; ; ;EMBARAZO;12;2;1;06;05;1025,51481141831
3486752;1;1;1;80;05;1;4;9;CAMBIO DE PUEBLO A CUIDAD;2; ;2; ; ; ; ;9;2;1;06;05;1198,56899083178
