Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7454;P7456;P7458s1;P7458;P7452;Ini;Mes;Dpto;Fex_c_2011
3496081;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;13;2870,38028023057
3496082;1;4;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;13;4333,94347010977
3496083;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;13;5084,79188602945
3496084;1;2;1;80;2;1;1;3; ;2; ;2; ; ; ; ;9;2;1;06;13;4590,08496440326
3496108;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;13;4602,98083008319
3496109;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;06;13;3973,02759892717
3496112;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;13;3370,90400427682
3496113;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;13;4521,99174342474
3496114;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;13;3172,57241906708
3496153;1;4;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;13;2822,3498359323
3496154;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;13;3795,67261366002
3496154;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;13;3795,67261366002
3496154;1;4;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;13;3795,67261366002
3496154;1;5;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;13;3795,67261366002
3496155;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;13;4640,40598191808
3496156;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;13;4822,0894455476
3496157;1;1;1;80;2;1;4;4; ;2; ;2; ; ; ; ;8;2;1;06;13;3176,84279203888
3496158;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;13;4521,99174342474
3496158;1;4;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;06;13;4521,99174342474
3496159;1;1;1;80;2;1;4;3; ;2; ;2; ; ; ; ;8;2;1;06;13;2920,70129774539
3496159;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;13;2920,70129774539
3496180;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;13;3370,90400427682
3496180;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;13;3370,90400427682
3496181;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;06;13;3408,13301960881
3496182;1;2;1;80;2;1;2;3; ;2; ;2; ; ; ; ;9;2;1;06;13;5041,03181470298
3496184;1;1;1;80;2;1;3;5; ;3; ;2; ; ; ; ;10;2;1;06;13;2684,42644362925
3496184;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;06;13;2684,42644362925
