Directorio;Secuencia_p;Orden;Hogar;Regis;Area;P6290;P6290s1;P6230;P6240;P6240s1;P6250;P6260;P6270;P6280;P6300;P6310;P6310s1;P6320;P6330;P6340;P6350;P6351;Mes;Ft;Dpto;Fex_c_2011
3594694;1;1;1;50;17; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;11;1;17;171,904318755474
3594695;1;1;1;50;17;4; ;1;4; ;2;2;2;1; ; ; ; ; ; ; ;1;11;1;17;175,232034962237
3594695;1;2;1;50;17; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;11;1;17;175,232034962237
3594696;1;1;1;50;17; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;11;1;17;171,904318755474
3594698;1;1;1;50;17; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;11;1;17;161,933720930657
3594698;1;2;1;50;17; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;11;1;17;161,933720930657
3594699;1;1;1;50;17; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;11;1;17;162,452668628582
3594701;1;1;1;50;17; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;11;1;17;171,086971133214
3594701;1;2;1;50;17; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;11;1;17;171,086971133214
3594701;1;3;1;50;17; ; ;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ;11;1;17;171,086971133214
3594702;1;1;1;50;17; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;11;1;17;177,973786860451
3594703;1;1;1;50;17; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;11;1;17;146,412602698788
3594703;1;2;1;50;17; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;11;1;17;146,412602698788
3594705;1;1;1;50;17; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;11;1;17;159,941490271613
3594705;1;2;1;50;17; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;11;1;17;159,941490271613
3594706;1;1;1;50;17;1; ;1;6;CAMINAR;2;2;2;1; ; ; ; ; ; ; ;1;11;1;17;198,82295001325
3594706;1;2;1;50;17; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;11;1;17;198,82295001325
3594706;1;3;1;50;17; ; ;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ;11;1;17;198,82295001325
3594706;1;4;1;50;17; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;11;1;17;198,82295001325
3594706;1;5;1;50;17; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;11;1;17;198,82295001325
3594707;1;1;1;50;17; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;11;1;17;207,858703603676
