Directorio;Secuencia_p;Orden;Hogar;Regis;Area;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7454;P7456;P7458s1;P7458;P7452;Ini;Mes;Dpto;Fex_c_2011
3594695;1;2;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;17;175,232034962237
3594698;1;1;1;80;17;1;4;3; ;2; ;2; ; ; ; ;9;2;1;11;17;161,933720930657
3594701;1;2;1;80;17;2; ; ; ; ; ;2; ;2; ;.; ; ;1;11;17;171,086971133214
3594701;1;3;1;80;17;1;1;8; ;2; ;1;800000; ; ; ;2;2;1;11;17;171,086971133214
3594703;1;2;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;17;146,412602698788
3594705;1;2;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;17;159,941490271613
3594706;1;3;1;80;17;1;1;8; ;2; ;2; ; ; ; ;2;2;1;11;17;198,82295001325
3594706;1;4;1;80;17;1;1;8; ;2; ;2; ; ; ; ;2;2;1;11;17;198,82295001325
3594706;1;5;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;17;198,82295001325
3594707;1;2;1;80;17;1;1;1; ;2; ;2; ; ;1;POR FALTA DE DINERO;12;1;1;11;17;207,858703603676
3594708;1;1;1;80;17;1;4;3; ;2; ;2; ; ; ; ;9;2;1;11;17;188,737138911653
3594709;1;2;1;80;17;1;4;3; ;2; ;2; ; ; ; ;9;2;1;11;17;190,231476310738
3594709;1;4;1;80;17;1;4;4; ;2; ;2; ; ; ; ;4;2;1;11;17;190,231476310738
3594710;1;2;1;80;17;1;4;8; ;2; ;2; ; ; ; ;9;2;1;11;17;159,941490271613
3594748;1;1;1;80;73;1;4;4; ;2; ;2; ; ; ; ;4;2;1;11;73;213,474886793996
3594751;1;2;1;80;73;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;73;352,23072323886
3594753;1;4;1;80;73;1;4;5; ;2; ;2; ; ; ; ;8;2;1;11;73;200,449208624763
3594754;1;1;1;80;73;1;4;4; ;2; ;2; ; ; ; ;4;2;1;11;73;213,474886793996
3594754;1;2;1;80;73;1;4;4; ;2; ;2; ; ; ; ;4;2;1;11;73;213,474886793996
3594755;1;1;1;80;73;1;4;4; ;2; ;2; ; ; ; ;8;2;1;11;73;269,709705347478
3594756;1;2;1;80;73;1;4;6; ;2; ;2; ; ; ; ;9;2;1;11;73;233,869785871862
3594756;1;4;1;80;73;2; ; ; ; ; ;2; ;2; ;.; ; ;1;11;73;233,869785871862
3594757;1;1;1;80;73;1;4;4; ;2; ;2; ; ; ; ;4;2;1;11;73;197,735698985177
3594758;1;1;1;80;73;1;4;5; ;3; ;2; ; ; ; ;4;2;1;11;73;181,002379256528
3594758;1;2;1;80;73;1;4;5; ;3; ;2; ; ; ; ;10;2;1;11;73;181,002379256528
3594761;1;1;1;80;73;1;4;3; ;2; ;2; ; ; ; ;9;2;1;11;73;230,849774980475
3594761;1;3;1;80;73;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;73;230,849774980475
3594761;1;4;1;80;73;2; ; ; ; ; ;2; ;2; ;.; ; ;1;11;73;230,849774980475
3594762;1;2;1;80;73;1;4;3; ;2; ;2; ; ; ; ;9;2;1;11;73;244,654143576709
3594762;1;3;1;80;73;2; ; ; ; ; ;2; ;2; ;.; ; ;1;11;73;244,654143576709
3594763;1;1;1;80;73;1;4;8; ;2; ;2; ; ; ; ;8;2;1;11;73;200,449208624763
3594763;1;4;1;80;73;2; ; ; ; ; ;2; ;2; ;.; ; ;1;11;73;200,449208624763
3594764;1;3;1;80;73;1;1;8; ;2; ;2; ; ; ; ;2;2;1;11;73;355,728871806227
3594764;1;5;1;80;73;1;1;2; ; ; ;2; ; ; ; ;2;2;1;11;73;355,728871806227
3594772;1;1;1;80;66;1;1;4; ;2; ;2; ; ; ; ;8;2;1;11;66;283,500587912682
3594773;1;1;1;80;66;1;4;6; ;2; ;2; ; ; ; ;8;2;1;11;66;275,455171700713
3594776;1;1;1;80;66;1;4;4; ;2; ;2; ; ; ; ;4;2;1;11;66;223,585751949387
3594776;1;2;1;80;66;1;4;5; ;3; ;2; ; ; ; ;10;2;1;11;66;223,585751949387
3594785;1;2;1;80;66;1;4;5; ;3; ;2; ; ; ; ;10;2;1;11;66;211,260182225397
3594785;1;3;1;80;66;1;4;4; ;2; ;2; ; ; ; ;4;2;1;11;66;211,260182225397
3594786;1;3;1;80;66;2; ; ; ; ; ;2; ;2; ;.; ; ;1;11;66;358,89418955513
