Directorio;Secuencia_p;Orden;Hogar;Regis;P7480s1;P7480s3;P7480s4;P7480s5;P7480s6;P7480s7;P7480s8;P7480s9;P7480s10;P7480s11;P7480s1a1;P7480s3a1;P7480s4a1;P7480s5a1;P7480s6a1;P7480s7a1;P7480s8a1;P7480s9a1;P7480s10a1;P7480s11a1;Clase;Mes;Dpto;Fex_c_2011
3601648;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;11;63;379,113158537457
3601648;1;2;1;90;1;1;2;2;2;2;2;2;2;2;1;28; ; ; ; ; ; ; ; ;2;11;63;379,113158537457
3601648;1;3;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;11;63;379,113158537457
3601653;1;1;1;90;2;2;2;2;2;2;1;2;2;2; ; ; ; ; ; ;4; ; ; ;2;11;63;633,708914931246
3601653;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;42; ;21; ; ; ; ; ; ;2;11;63;633,708914931246
3601653;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;2; ; ; ; ; ; ; ; ;2;11;63;633,708914931246
3601654;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;11;63;679,466849365443
3601654;1;2;1;90;2;1;2;2;2;2;2;2;2;1; ;42; ; ; ; ; ; ; ;16;2;11;63;679,466849365443
3601654;1;3;1;90;2;1;2;2;2;2;2;2;2;1; ;21; ; ; ; ; ; ; ;6;2;11;63;679,466849365443
3601655;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;11;63;266,123111421071
3601655;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;21; ; ; ; ; ; ; ; ;2;11;63;266,123111421071
3601655;1;3;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;11;63;266,123111421071
3601656;1;1;1;90;1;1;2;2;2;2;2;2;2;2;1;24; ; ; ; ; ; ; ; ;2;11;63;644,383951957948
3601656;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;4; ; ; ; ; ; ; ; ;2;11;63;644,383951957948
3601656;1;3;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;11;63;644,383951957948
3601657;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;11;63;620,615044068403
